County Code,District Code,Subgroup ID,Test Id,Mean Scale Score,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Students with Scores,Total Standard Exceeded,Total Standard Met,Total Standard Met and Above,Total Standard Nearly Met,Total Standard Not Met
40,75457,204,1,2476.9571428571426,9233.0,9226.0,1362.0,1319.0,1318.0,96.0,322.0,419.0,385.0,515.0
40,75457,206,2,2494.171428571429,2310.0,2310.0,342.0,330.0,330.0,44.0,73.0,117.0,96.0,117.0
40,75457,226,2,2538.0714285714284,7119.0,7119.0,1045.0,1017.0,1017.0,253.0,295.0,548.0,256.0,213.0
40,75457,226,1,2555.2285714285713,7133.0,7112.0,1045.0,1019.0,1016.0,340.0,361.0,701.0,191.0,126.0
40,75457,224,2,2497.9857142857145,3759.0,3759.0,560.0,537.0,537.0,56.0,125.0,181.0,171.0,185.0
40,75457,224,1,2523.7714285714287,3780.0,3773.0,559.0,540.0,539.0,107.0,191.0,299.0,132.0,109.0
40,75457,206,1,2507.628571428572,2310.0,2310.0,343.0,330.0,330.0,59.0,99.0,158.0,85.0,87.0
40,75465,226,1,2634.366666666667,469.0,469.0,52.0,45.0,45.0,15.0,22.0,37.0,6.0,2.0
40,75465,226,2,2612.133333333333,476.0,476.0,52.0,46.0,46.0,12.0,15.0,27.0,15.0,4.0
40,75465,204,2,2505.742857142857,1344.0,1344.0,194.0,192.0,192.0,22.0,38.0,60.0,75.0,57.0
40,75465,204,1,2502.242857142857,1344.0,1344.0,194.0,192.0,192.0,17.0,59.0,76.0,61.0,55.0
27,75473,224,1,2504.171428571429,1057.0,1057.0,154.0,151.0,151.0,20.0,45.0,65.0,48.0,38.0
27,75473,224,2,2480.1142857142854,1057.0,1057.0,154.0,151.0,151.0,7.0,35.0,42.0,50.0,59.0
27,75473,204,1,2472.5,7749.0,7714.0,1121.0,1107.0,1102.0,73.0,255.0,328.0,336.0,444.0
27,75473,204,2,2447.871428571429,7721.0,7721.0,1122.0,1103.0,1103.0,30.0,121.0,151.0,333.0,619.0
11,75481,206,1,2473.1857142857143,1624.0,1624.0,244.0,232.0,232.0,17.0,58.0,75.0,58.0,99.0
11,75481,204,2,2445.8142857142852,4151.0,4144.0,618.0,593.0,592.0,9.0,61.0,70.0,163.0,360.0
11,75481,226,1,2557.06,679.0,679.0,84.0,79.0,79.0,12.0,36.0,48.0,18.0,13.0
11,75481,224,2,2473.775,560.0,560.0,64.0,62.0,62.0,1.0,9.0,10.0,21.0,31.0
11,75481,224,1,2486.275,539.0,539.0,64.0,59.0,59.0,5.0,16.0,21.0,14.0,24.0
11,75481,204,1,2460.157142857143,4123.0,4116.0,618.0,589.0,588.0,28.0,111.0,139.0,174.0,275.0
11,75481,206,2,2455.128571428571,1652.0,1652.0,244.0,236.0,236.0,7.0,26.0,33.0,80.0,123.0
11,75481,226,2,2545.66,679.0,679.0,84.0,79.0,79.0,11.0,22.0,33.0,24.0,22.0
39,75499,207,1,2477.25,805.0,791.0,108.0,105.0,103.0,12.0,29.0,41.0,22.0,41.0
39,75499,226,1,2533.442857142857,7385.0,7385.0,1070.0,1055.0,1055.0,247.0,401.0,648.0,222.0,185.0
39,75499,224,1,2502.214285714286,7462.0,7462.0,1083.0,1066.0,1066.0,143.0,333.0,476.0,300.0,290.0
39,75499,223,2,2542.8857142857146,1778.0,1715.0,256.0,254.0,245.0,55.0,80.0,135.0,74.0,45.0
39,75499,223,1,2546.371428571428,1757.0,1757.0,256.0,251.0,251.0,68.0,103.0,171.0,46.0,34.0
39,75499,222,2,2549.7428571428572,2863.0,2821.0,412.0,409.0,403.0,121.0,104.0,225.0,112.0,71.0
39,75499,222,1,2550.014285714286,2856.0,2856.0,412.0,408.0,408.0,138.0,137.0,275.0,68.0,65.0
