,Unnamed: 0,District Code,Agency Name,American Indian/Alaska Native,Black,Hispanic,White,Hawaiian Nat./Pacific Isl.,Two or More Races,Asian or Asian/Pacific Islander,Total Enrollment,Total Revenue,Revenue per student,County Code,Subgroup ID,Test Id,Mean Scale Score,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Students with Scores,Total Standard Exceeded,Total Standard Met,Total Standard Met and Above,Total Standard Nearly Met,Total Standard Not Met,Student tested %
20,20.0,61994.0,ALVINA ELEMENTARY,2.0,0.0,154.0,24.0,1.0,0.0,1.0,182.0,1769000.0,9719.78,20.0,156.0,3.0,4926.200000000001,1080.0,1080.0,140.0,140.0,140.0,28.0,28.0,56.0,27.0,57.0,76.92307692307693
21,21.0,66977.0,ALVORD UNIFIED,40.0,720.0,15161.0,2034.0,85.0,245.0,949.0,19234.0,222608000.0,11573.67,462.0,1216.0,21.0,35088.92857142857,141274.0,141162.0,20406.0,20105.0,20089.0,2180.0,4541.0,6721.0,5612.0,7768.0,104.52843922221066
22,22.0,10033.0,AMADOR COUNTY OFFICE OF EDUCATION,9.0,0.0,51.0,143.0,0.0,19.0,0.0,222.0,12859000.0,57923.42,6.0,160.0,3.0,4961.5,1197.0,1197.0,114.0,108.0,108.0,2.0,18.0,20.0,29.0,59.0,48.64864864864865
23,23.0,73981.0,AMADOR COUNTY UNIFIED,101.0,23.0,780.0,2652.0,9.0,245.0,54.0,3864.0,17515000.0,4532.87,24.0,754.0,12.0,19858.52857142857,27538.0,27496.0,3992.0,3855.0,3849.0,506.0,984.0,1493.0,1152.0,1207.0,99.76708074534162
24,24.0,66423.0,ANAHEIM ELEMENTARY,18.0,265.0,15961.0,873.0,67.0,328.0,1046.0,18558.0,164715000.0,8875.69,420.0,1216.0,21.0,34409.125,80732.0,80724.0,20366.0,20147.0,20145.0,1607.0,3215.0,4822.0,5130.0,10194.0,108.56234508028881
25,25.0,66431.0,ANAHEIM UNION HIGH,145.0,716.0,20555.0,3135.0,167.0,726.0,5287.0,30731.0,349807000.0,11382.87,480.0,1366.0,24.0,40944.68333333333,89019.0,88899.0,30398.0,29659.0,29619.0,4420.0,6636.0,11061.0,7088.0,11507.0,96.51166574468778
26,26.0,69856.0,ANDERSON UNION HIGH,104.0,30.0,293.0,1274.0,10.0,52.0,49.0,1812.0,17738000.0,9789.18,270.0,466.0,9.0,15394.9,741.0,741.0,826.0,741.0,741.0,97.0,220.0,317.0,194.0,230.0,40.894039735099334
27,27.0,65540.0,ANDERSON VALLEY UNIFIED,4.0,5.0,384.0,110.0,0.0,3.0,1.0,507.0,6682000.0,13179.49,92.0,316.0,6.0,10283.1,3458.0,3451.0,422.0,408.0,408.0,37.0,93.0,130.0,144.0,134.0,80.4733727810651
28,28.0,71472.0,ANTELOPE ELEMENTARY,16.0,9.0,187.0,568.0,1.0,24.0,11.0,816.0,7755000.0,9503.68,208.0,316.0,6.0,10017.866666666667,6192.0,6192.0,1038.0,1032.0,1032.0,192.0,326.0,518.0,281.0,233.0,126.47058823529412
29,29.0,64246.0,ANTELOPE VALLEY UNION HIGH,77.0,4207.0,14647.0,3260.0,46.0,1030.0,628.0,23895.0,288343000.0,12067.09,266.0,1208.0,21.0,35960.48333333333,32360.0,32345.0,10975.0,10754.0,10749.0,971.0,2178.0,3149.0,2722.0,4882.0,45.00523121992048
30,30.0,61648.0,ANTIOCH UNIFIED,104.0,4333.0,7533.0,2623.0,214.0,889.0,1630.0,17326.0,167684000.0,9678.17,112.0,1366.0,24.0,39658.18571428572,121800.0,121674.0,17903.0,17281.0,17263.0,1258.0,3156.0,4415.0,4574.0,8288.0,99.74027473161722
31,31.0,75077.0,APPLE VALLEY UNIFIED,58.0,1287.0,6520.0,5718.0,72.0,291.0,424.0,14370.0,140868000.0,9802.92,360.0,904.0,15.0,24903.959523809524,93751.0,93744.0,13606.0,13385.0,13384.0,1391.0,2841.0,4232.0,3863.0,5290.0,93.1454418928323
32,32.0,64261.0,ARCADIA UNIFIED,12.0,170.0,1380.0,1290.0,8.0,182.0,6483.0,9525.0,77631000.0,8150.24,190.0,770.0,15.0,25680.710714285717,71085.0,71071.0,10314.0,10111.0,10109.0,5178.0,2693.0,7873.0,1338.0,900.0,106.1522309711286
33,33.0,62679.0,ARCATA ELEMENTARY,34.0,13.0,159.0,715.0,3.0,121.0,19.0,1064.0,11841000.0,11128.76,48.0,316.0,6.0,10030.583333333332,3186.0,3186.0,484.0,471.0,471.0,101.0,125.0,226.0,136.0,109.0,44.266917293233085
34,34.0,67280.0,ARCOHE UNION ELEMENTARY,5.0,12.0,204.0,198.0,2.0,23.0,7.0,451.0,4052000.0,8984.48,136.0,316.0,6.0,10004.490000000002,2892.0,2892.0,470.0,464.0,464.0,65.0,128.0,193.0,141.0,130.0,102.88248337028824
35,35.0,65557.0,ARENA UNION ELEMENTARY,28.0,0.0,154.0,113.0,0.0,18.0,0.0,313.0,0.0,0.0,92.0,316.0,6.0,9956.683333333334,1794.0,1794.0,242.0,237.0,237.0,15.0,52.0,67.0,60.0,110.0,75.71884984025559
36,36.0,63875.0,ARMONA UNION ELEMENTARY,27.0,54.0,1051.0,348.0,2.0,38.0,22.0,1542.0,14613000.0,9476.65,64.0,316.0,6.0,9848.02380952381,9576.0,9576.0,1334.0,1306.0,1306.0,69.0,236.0,305.0,358.0,643.0,84.69520103761349
37,38.0,63313.0,ARVIN UNION,5.0,16.0,2902.0,95.0,0.0,3.0,7.0,3028.0,40148000.0,13258.92,60.0,316.0,6.0,9794.050000000001,23118.0,23112.0,3835.0,3815.0,3814.0,262.0,688.0,950.0,1010.0,1854.0,125.99075297225892
38,39.0,68700.0,ATASCADERO UNIFIED,47.0,64.0,1288.0,2983.0,5.0,132.0,108.0,4627.0,28220000.0,6098.98,240.0,604.0,9.0,15066.442857142858,32102.0,32095.0,4663.0,4548.0,4547.0,764.0,1258.0,2023.0,1290.0,1235.0,98.29263021396153
39,40.0,65631.0,ATWATER ELEMENTARY,35.0,113.0,3511.0,969.0,13.0,105.0,218.0,4964.0,60592000.0,12206.29,240.0,904.0,15.0,24886.838333333333,38106.0,38088.0,6351.0,6299.0,6296.0,874.0,1689.0,2564.0,1733.0,2000.0,126.89363416599517
40,41.0,66787.0,AUBURN UNION ELEMENTARY,21.0,28.0,626.0,1209.0,2.0,100.0,49.0,2035.0,15804000.0,7766.09,186.0,604.0,9.0,14954.45,14862.0,14838.0,2514.0,2417.0,2413.0,257.0,541.0,800.0,743.0,876.0,118.77149877149877
41,42.0,64279.0,AZUSA UNIFIED,19.0,116.0,8073.0,296.0,1.0,56.0,184.0,8745.0,115452000.0,13202.06,76.0,316.0,6.0,9947.2,60081.0,60074.0,8715.0,8583.0,8582.0,731.0,1773.0,2504.0,2418.0,3660.0,98.147512864494
42,43.0,73858.0,BAKER VALLEY UNIFIED,0.0,0.0,110.0,14.0,0.0,0.0,0.0,124.0,964000.0,7774.19,72.0,156.0,3.0,4826.6,882.0,882.0,78.0,78.0,78.0,0.0,6.0,6.0,25.0,47.0,62.903225806451616
43,44.0,63321.0,BAKERSFIELD CITY,150.0,2422.0,23959.0,2899.0,37.0,537.0,368.0,30372.0,380895000.0,12540.99,210.0,1208.0,21.0,34640.13333333333,228120.0,227604.0,38801.0,37986.0,37900.0,3653.0,7197.0,10857.0,9919.0,17208.0,125.069142631371
44,45.0,64287.0,BALDWIN PARK UNIFIED,230.0,564.0,14575.0,577.0,41.0,697.0,1049.0,17733.0,200607000.0,11312.64,114.0,462.0,9.0,15205.628571428573,99211.0,99204.0,14304.0,14173.0,14172.0,1463.0,3066.0,4529.0,4160.0,5483.0,79.92443466982462
45,46.0,69104.0,BALLARD ELEMENTARY,0.0,1.0,18.0,105.0,0.0,2.0,3.0,129.0,640000.0,4961.24,84.0,160.0,3.0,5146.766666666666,464.0,464.0,96.0,96.0,96.0,55.0,23.0,78.0,13.0,5.0,74.4186046511628
46,47.0,65649.0,BALLICO-CRESSEY ELEMENTARY,3.0,5.0,211.0,104.0,0.0,39.0,11.0,373.0,3684000.0,9876.68,96.0,316.0,6.0,9975.166666666668,2454.0,2454.0,348.0,341.0,341.0,43.0,86.0,129.0,115.0,97.0,91.42091152815014
47,48.0,61382.0,BANGOR UNION ELEMENTARY,4.0,0.0,13.0,67.0,0.0,3.0,0.0,87.0,1125000.0,12931.03,,,,,,,,,,,,,,,
48,49.0,66985.0,BANNING UNIFIED,128.0,365.0,3072.0,580.0,7.0,140.0,249.0,4541.0,53443000.0,11768.99,396.0,1054.0,18.0,29437.431904761903,32592.0,32564.0,4717.0,4585.0,4581.0,257.0,781.0,1038.0,1201.0,2346.0,100.96894957057916
