County Code,District Code,Subgroup ID,Test Id,Mean Scale Score,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Students with Scores,Total Standard Exceeded,Total Standard Met,Total Standard Met and Above,Total Standard Nearly Met,Total Standard Not Met
36,10363,1,1,2374.2714285714287,3689.0,3675.0,717.0,527.0,525.0,5.0,23.0,28.0,73.0,426.0
37,10371,1,2,2389.2428571428572,3703.0,3682.0,735.0,529.0,526.0,0.0,15.0,15.0,62.0,452.0
37,10371,1,1,2401.2,3745.0,3675.0,724.0,535.0,525.0,6.0,48.0,54.0,107.0,374.0
38,10389,1,1,2508.3500000000004,315.0,301.0,84.0,28.0,26.0,3.0,7.0,11.0,2.0,15.0
39,10397,1,2,2368.54,2310.0,2310.0,609.0,313.0,313.0,1.0,3.0,4.0,18.0,291.0
39,10397,1,1,2376.8166666666666,2247.0,2240.0,618.0,314.0,313.0,3.0,18.0,21.0,56.0,237.0
40,10405,1,1,2453.75,1344.0,1330.0,198.0,173.0,172.0,1.0,16.0,17.0,49.0,107.0
40,10405,1,2,2418.25,1337.0,1337.0,199.0,172.0,172.0,0.0,2.0,2.0,7.0,163.0
41,10413,1,2,2439.6,255.0,255.0,50.0,32.0,32.0,0.0,0.0,0.0,3.0,29.0
41,10413,1,1,2491.0,250.0,250.0,51.0,31.0,31.0,0.0,9.0,9.0,4.0,18.0
42,10421,1,1,2433.1,630.0,623.0,79.0,71.0,70.0,1.0,3.0,4.0,12.0,55.0
42,10421,1,2,2383.1499999999996,630.0,630.0,78.0,71.0,71.0,1.0,0.0,1.0,2.0,68.0
43,10439,1,1,2411.65,1232.0,1218.0,225.0,152.0,150.0,2.0,9.0,11.0,25.0,115.0
43,10439,1,2,2390.625,1148.0,1148.0,226.0,142.0,142.0,0.0,2.0,2.0,9.0,131.0
44,10447,1,2,2573.066666666667,1461.0,1461.0,615.0,487.0,487.0,128.0,92.0,220.0,76.0,191.0
44,10447,1,1,2591.0333333333333,1488.0,1482.0,615.0,496.0,494.0,152.0,127.0,279.0,93.0,124.0
48,10488,1,1,2448.9,215.0,215.0,37.0,29.0,29.0,0.0,3.0,3.0,7.0,19.0
48,10488,1,2,2432.8,210.0,210.0,37.0,28.0,28.0,0.0,0.0,0.0,1.0,27.0
49,10496,1,2,2395.1,595.0,595.0,76.0,50.0,50.0,0.0,1.0,1.0,5.0,44.0
49,10496,1,1,2431.7,609.0,609.0,77.0,54.0,54.0,0.0,7.0,7.0,12.0,35.0
50,10504,1,1,2399.7,1435.0,1393.0,414.0,194.0,190.0,2.0,11.0,13.0,22.0,158.0
50,10504,1,2,2382.82,1351.0,1351.0,412.0,184.0,184.0,0.0,4.0,4.0,14.0,166.0
51,10512,1,1,2351.2000000000003,469.0,469.0,64.0,38.0,38.0,1.0,0.0,1.0,2.0,35.0
51,10512,1,2,2355.9,455.0,455.0,64.0,39.0,39.0,0.0,0.0,0.0,1.0,38.0
52,10520,1,1,2483.62,875.0,861.0,122.0,112.0,110.0,6.0,31.0,38.0,24.0,49.0
52,10520,1,2,2462.2799999999997,889.0,889.0,122.0,114.0,114.0,6.0,14.0,20.0,22.0,72.0
54,10546,1,2,2430.2000000000003,1135.0,1135.0,253.0,226.0,226.0,13.0,19.0,32.0,25.0,169.0
54,10546,1,1,2464.8,1170.0,1165.0,252.0,233.0,232.0,29.0,32.0,61.0,44.0,127.0
56,10561,1,1,2391.825,1190.0,1176.0,189.0,149.0,148.0,0.0,5.0,5.0,15.0,129.0
56,10561,1,2,2355.95,1190.0,1190.0,188.0,149.0,149.0,0.0,0.0,0.0,11.0,138.0
57,10579,1,2,2372.8,210.0,196.0,60.0,16.0,14.0,0.0,0.0,0.0,0.0,16.0
57,10579,1,1,2384.1,217.0,217.0,60.0,15.0,15.0,0.0,0.0,0.0,1.0,14.0
58,10587,1,2,2430.433333333333,780.0,768.0,141.0,124.0,122.0,1.0,1.0,2.0,15.0,107.0
58,10587,1,1,2490.25,768.0,762.0,127.0,113.0,112.0,3.0,27.0,30.0,22.0,61.0
1,31617,1,1,2383.566666666667,889.0,889.0,124.0,117.0,117.0,2.0,8.0,10.0,12.0,95.0
1,31617,1,2,2404.6428571428573,896.0,896.0,136.0,128.0,128.0,1.0,9.0,10.0,15.0,103.0
33,31625,1,1,2400.2000000000003,889.0,889.0,128.0,127.0,127.0,5.0,12.0,17.0,20.0,90.0
33,31625,1,2,2407.285714285714,889.0,889.0,128.0,127.0,127.0,3.0,5.0,8.0,24.0,95.0
34,32276,1,1,2436.1,74.0,74.0,125.0,74.0,74.0,0.0,5.0,5.0,16.0,53.0
34,32276,1,2,2405.4,70.0,69.0,125.0,70.0,69.0,0.0,0.0,0.0,4.0,66.0
1,61119,1,2,2549.4428571428575,32935.0,32928.0,4829.0,4705.0,4704.0,1498.0,1238.0,2737.0,1058.0,910.0
1,61119,1,1,2551.4999999999995,32620.0,32613.0,4829.0,4660.0,4659.0,1597.0,1475.0,3073.0,806.0,781.0
