County Code,District Code,Subgroup ID,Mean Scale Score,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Total Standard Exceeded,Total Standard Met,Total Standard Met and Above,Total Standard Nearly Met,Total Standard Not Met,Students with Scores
56,72520,80,2521.592857142857,12560.0,12560.0,3228.0,3140.0,612.0,946.0,1558.0,822.0,760.0,3140.0
56,72538,144,2480.05,959.0,959.0,238.0,237.0,26.0,53.0,79.0,81.0,77.0,237.0
56,72538,80,2472.4083333333333,4004.0,4004.0,1188.0,1144.0,116.0,288.0,404.0,296.0,444.0,1144.0
56,72538,78,2430.8583333333336,140686.0,140672.0,40568.0,40196.0,1452.0,5232.0,6685.0,10419.0,23092.0,40192.0
56,72538,77,2507.4249999999997,2254.0,2254.0,648.0,644.0,116.0,194.0,310.0,164.0,170.0,644.0
56,72538,76,2515.3125000000005,1239.0,1239.0,322.0,316.0,58.0,104.0,162.0,84.0,70.0,316.0
56,72538,74,2434.5833333333335,1911.0,1911.0,552.0,546.0,28.0,74.0,102.0,120.0,324.0,546.0
56,72546,74,2542.8999999999996,248.0,246.0,264.0,248.0,28.0,58.0,86.0,46.0,116.0,246.0
56,72546,76,2670.3,300.0,300.0,304.0,300.0,136.0,90.0,226.0,44.0,30.0,300.0
56,72546,77,2633.8,600.0,594.0,604.0,600.0,186.0,196.0,384.0,124.0,92.0,594.0
56,72546,78,2535.55,12010.0,11930.0,12390.0,12010.0,1030.0,2448.0,3478.0,3086.0,5446.0,11930.0
56,72546,79,2580.0,60.0,60.0,60.0,60.0,10.0,14.0,24.0,18.0,18.0,60.0
56,72546,80,2618.35,1810.0,1806.0,1916.0,1810.0,506.0,570.0,1074.0,364.0,370.0,1806.0
56,72546,144,2623.95,218.0,218.0,224.0,218.0,60.0,68.0,128.0,56.0,34.0,218.0
56,72553,80,2544.0499999999997,27503.0,27503.0,8022.0,7858.0,2492.0,2546.0,5038.0,1796.0,1024.0,7858.0
56,72553,78,2485.608333333333,20118.0,20118.0,5812.0,5748.0,770.0,1492.0,2262.0,1612.0,1874.0,5748.0
56,72553,144,2534.633333333333,3745.0,3745.0,1084.0,1070.0,300.0,324.0,624.0,280.0,166.0,1070.0
56,72553,76,2583.2083333333335,3983.0,3983.0,1164.0,1138.0,588.0,310.0,898.0,184.0,56.0,1138.0
56,72553,74,2483.2916666666665,1904.0,1904.0,568.0,544.0,86.0,112.0,198.0,160.0,186.0,544.0
56,72553,77,2538.8833333333328,2863.0,2863.0,820.0,818.0,214.0,302.0,516.0,198.0,104.0,818.0
56,72561,77,2535.941666666667,1631.0,1631.0,468.0,466.0,138.0,152.0,290.0,108.0,68.0,466.0
56,72561,78,2455.2250000000004,41111.0,41097.0,11866.0,11746.0,796.0,2144.0,2940.0,3386.0,5417.0,11742.0
56,72561,80,2510.1,1750.0,1750.0,512.0,500.0,108.0,148.0,256.0,136.0,108.0,500.0
56,72561,144,2525.9,686.0,686.0,142.0,142.0,23.0,46.0,69.0,44.0,29.0,142.0
56,72603,144,2546.171428571429,6120.0,6120.0,1548.0,1530.0,402.0,532.0,934.0,316.0,280.0,1530.0
56,72603,80,2533.6142857142854,68752.0,68664.0,17718.0,17188.0,3863.0,5560.0,9428.0,4394.0,3368.0,17166.0
56,72603,78,2487.557142857143,49792.0,49712.0,12708.0,12448.0,1189.0,3044.0,4234.0,3660.0,4554.0,12428.0
56,72603,76,2584.485714285714,11256.0,11256.0,2824.0,2814.0,1264.0,848.0,2112.0,450.0,252.0,2814.0
56,72603,74,2521.75,1384.0,1376.0,330.0,312.0,52.0,75.0,128.0,98.0,85.0,310.0
56,72603,77,2566.5083333333337,2232.0,2232.0,540.0,538.0,160.0,156.0,316.0,150.0,72.0,538.0
56,72611,78,2492.9,1526.0,1526.0,440.0,436.0,58.0,116.0,174.0,120.0,142.0,436.0
56,72652,144,2550.0714285714284,5624.0,5624.0,1448.0,1406.0,446.0,420.0,866.0,322.0,218.0,1406.0
56,72652,80,2554.0,56016.0,56008.0,14410.0,14004.0,4492.0,4462.0,8956.0,2902.0,2146.0,14002.0
56,72652,76,2585.035714285714,3968.0,3968.0,1012.0,992.0,432.0,324.0,756.0,142.0,94.0,992.0
56,72652,77,2650.9,816.0,816.0,115.0,113.0,41.0,40.0,81.0,18.0,14.0,113.0
56,72652,74,2480.985714285714,1928.0,1928.0,496.0,482.0,62.0,122.0,184.0,96.0,202.0,482.0
56,72652,78,2489.535714285714,75864.0,75840.0,19378.0,18966.0,2420.0,4427.0,6847.0,5246.0,6869.0,18960.0
57,72678,144,2583.5285714285715,4344.0,4344.0,1124.0,1086.0,482.0,362.0,844.0,142.0,100.0,1086.0
57,72678,80,2578.2999999999997,35896.0,35840.0,9532.0,8974.0,3762.0,2835.0,6599.0,1520.0,854.0,8960.0
57,72678,76,2612.2642857142855,11320.0,11320.0,3000.0,2830.0,1634.0,740.0,2374.0,290.0,166.0,2830.0
57,72678,77,2644.5750000000003,714.0,707.0,156.0,150.0,56.0,60.0,118.0,16.0,16.0,148.0
57,72678,74,2503.8642857142854,1888.0,1888.0,500.0,472.0,84.0,96.0,180.0,122.0,170.0,472.0
57,72678,78,2496.035714285714,14880.0,14848.0,3940.0,3720.0,552.0,869.0,1423.0,975.0,1320.0,3712.0
57,72686,78,2440.0785714285716,6224.0,6224.0,1576.0,1556.0,42.0,214.0,256.0,380.0,920.0,1556.0
57,72686,80,2489.45,1712.0,1712.0,410.0,396.0,31.0,88.0,119.0,109.0,168.0,396.0
57,72694,144,2506.7999999999997,2192.0,2192.0,556.0,548.0,84.0,152.0,236.0,142.0,170.0,548.0
57,72694,80,2520.807142857143,20368.0,20352.0,5280.0,5092.0,940.0,1636.0,2576.0,1274.0,1240.0,5088.0
57,72694,79,2527.433333333333,1040.0,1040.0,214.0,210.0,31.0,63.0,94.0,59.0,57.0,210.0
57,72694,78,2463.1714285714284,30384.0,30376.0,7702.0,7596.0,478.0,1400.0,1878.0,2088.0,3629.0,7594.0
57,72694,77,2551.7666666666664,1456.0,1456.0,344.0,344.0,98.0,102.0,200.0,91.0,53.0,344.0
57,72694,76,2527.05,6784.0,6776.0,1748.0,1696.0,394.0,478.0,873.0,388.0,434.0,1694.0
57,72694,74,2449.721428571429,3680.0,3672.0,958.0,920.0,36.0,142.0,178.0,254.0,486.0,918.0
57,72702,78,2467.0714285714284,8224.0,8200.0,2114.0,2056.0,126.0,346.0,474.0,611.0,971.0,2050.0
57,72702,80,2523.157142857143,3856.0,3856.0,1012.0,964.0,196.0,276.0,472.0,262.0,230.0,964.0
57,72710,80,2519.2357142857145,17736.0,17696.0,4638.0,4434.0,869.0,1254.0,2125.0,1203.0,1103.0,4424.0
57,72710,78,2473.4714285714285,56664.0,56624.0,14540.0,14166.0,1064.0,2795.0,3860.0,4182.0,6121.0,14156.0
57,72710,144,2525.4199999999996,1320.0,1320.0,300.0,292.0,57.0,82.0,139.0,59.0,94.0,292.0
57,72710,76,2513.5714285714284,3952.0,3952.0,1032.0,988.0,168.0,292.0,460.0,242.0,286.0,988.0
57,72710,74,2460.775,1016.0,1016.0,188.0,185.0,17.0,20.0,37.0,60.0,88.0,185.0
58,72736,144,2495.9785714285713,3432.0,3432.0,900.0,858.0,122.0,226.0,348.0,234.0,276.0,858.0
58,72736,80,2487.8928571428573,29344.0,29336.0,7738.0,7336.0,940.0,1680.0,2621.0,2016.0,2698.0,7334.0
58,72736,76,2476.414285714286,7424.0,7408.0,1868.0,1856.0,150.0,382.0,532.0,544.0,776.0,1852.0
58,72736,75,2462.0428571428565,2120.0,2120.0,560.0,530.0,26.0,110.0,136.0,148.0,246.0,530.0
58,72736,74,2448.3214285714284,2904.0,2904.0,756.0,726.0,42.0,118.0,160.0,158.0,408.0,726.0
58,72736,78,2464.342857142857,34688.0,34680.0,8920.0,8672.0,588.0,1680.0,2268.0,2456.0,3947.0,8670.0
58,72744,144,2500.3,1232.0,1232.0,344.0,334.0,63.0,96.0,159.0,106.0,69.0,334.0
58,72744,80,2506.1999999999994,5754.0,5754.0,1692.0,1644.0,318.0,454.0,772.0,474.0,398.0,1644.0
58,72744,78,2487.1583333333333,2954.0,2954.0,852.0,844.0,130.0,190.0,320.0,264.0,260.0,844.0
58,72751,74,2398.05,602.0,602.0,118.0,110.0,5.0,32.0,37.0,45.0,28.0,110.0
58,72751,78,2494.0,2394.0,2394.0,684.0,684.0,84.0,184.0,268.0,228.0,188.0,684.0
58,72751,80,2498.3833333333337,6608.0,6608.0,1940.0,1888.0,250.0,580.0,830.0,604.0,454.0,1888.0
58,72751,144,2460.3125000000005,938.0,938.0,250.0,246.0,32.0,62.0,94.0,67.0,85.0,246.0
58,72769,78,2578.75,174.0,174.0,184.0,174.0,22.0,44.0,66.0,64.0,44.0,174.0
58,72769,80,2582.85,480.0,480.0,330.0,320.0,30.0,110.0,140.0,102.0,78.0,320.0
21,73361,78,2492.1857142857148,2264.0,2264.0,620.0,566.0,50.0,120.0,170.0,204.0,192.0,566.0
21,73361,80,2529.5,1464.0,1464.0,364.0,331.0,92.0,125.0,217.0,76.0,38.0,331.0
43,73387,74,2511.1583333333338,1896.0,1896.0,456.0,454.0,62.0,112.0,174.0,113.0,167.0,454.0
43,73387,76,2607.221428571429,41704.0,41704.0,10568.0,10426.0,5858.0,2724.0,8582.0,1228.0,616.0,10426.0
43,73387,77,2554.0642857142857,15800.0,15800.0,4012.0,3950.0,1156.0,1316.0,2472.0,960.0,518.0,3950.0
43,73387,78,2490.65,17856.0,17848.0,4622.0,4464.0,534.0,1054.0,1588.0,1232.0,1642.0,4462.0
43,73387,79,2529.8999999999996,808.0,808.0,124.0,123.0,23.0,35.0,58.0,33.0,32.0,123.0
43,73387,80,2563.4,4480.0,4480.0,1200.0,1120.0,422.0,290.0,712.0,242.0,166.0,1120.0
43,73387,144,2544.1500000000005,3264.0,3256.0,832.0,816.0,240.0,198.0,439.0,216.0,160.0,814.0
19,73437,74,2434.285714285714,33216.0,33200.0,8604.0,8304.0,456.0,1208.0,1664.0,1926.0,4713.0,8300.0
19,73437,78,2463.8642857142854,156896.0,156832.0,39764.0,39224.0,4281.0,7380.0,11661.0,9710.0,17851.0,39208.0
19,73437,79,2517.533333333333,1136.0,1136.0,238.0,232.0,23.0,58.0,81.0,64.0,87.0,232.0
19,73437,80,2429.9166666666665,936.0,936.0,208.0,200.0,13.0,33.0,46.0,49.0,105.0,200.0
19,73437,144,2400.85,616.0,616.0,110.0,103.0,15.0,15.0,30.0,21.0,52.0,103.0
19,73445,76,2599.8642857142854,21008.0,21008.0,5344.0,5252.0,2844.0,1292.0,4136.0,680.0,436.0,5252.0
19,73445,77,2555.7785714285715,3072.0,3072.0,772.0,768.0,270.0,218.0,488.0,142.0,138.0,768.0
19,73445,78,2497.2000000000003,126984.0,126912.0,32058.0,31746.0,4092.0,8057.0,12149.0,9123.0,10471.0,31728.0
