,County Code,District Code,Subgroup ID,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Students with Scores,Total Standard Exceeeded,Total Standard Met,Total Standard Met and Above,Total Standard Nearly Met,Total Standard Not Met
50,1,61168,74,2648.0,2648.0,700.0,662.0,662.0,288.0,1260.0,1548.0,2583.0,6461.0
51,1,61168,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,1,61168,76,608.0,608.0,80.0,76.0,76.0,12.0,42.0,54.0,52.0,46.0
53,1,61168,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,1,61168,78,1320.0,1320.0,316.0,298.0,298.0,393.0,627.0,1020.0,1040.0,1516.0
55,1,61168,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,1,61168,80,624.0,624.0,82.0,78.0,78.0,24.0,38.0,62.0,30.0,64.0
57,1,61168,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,1,61176,74,6512.0,6496.0,1658.0,1628.0,1624.0,2903.0,6121.0,9023.0,7322.0,9703.0
59,1,61176,75,752.0,752.0,124.0,118.0,118.0,95.0,151.0,246.0,124.0,102.0
60,1,61176,76,182232.0,182168.0,46120.0,45558.0,45542.0,479762.0,155430.0,635202.0,59471.0,34251.0
61,1,61176,77,14504.0,14504.0,3672.0,3626.0,3626.0,17293.0,21069.0,38363.0,12303.0,7351.0
62,1,61176,78,43176.0,43136.0,10974.0,10794.0,10784.0,21089.0,42747.0,63837.0,49399.0,59466.0
63,1,61176,79,1504.0,1504.0,360.0,356.0,356.0,645.0,1077.0,1722.0,1497.0,1765.0
64,1,61176,80,35520.0,35496.0,9128.0,8880.0,8874.0,42920.0,42169.0,85088.0,30345.0,26647.0
65,1,61176,144,11184.0,11184.0,2838.0,2796.0,2796.0,17277.0,13210.0,30487.0,7920.0,6329.0
66,1,61192,74,16400.0,16376.0,4246.0,4100.0,4094.0,3400.0,10807.0,14207.0,17365.0,34026.0
67,1,61192,75,518.0,518.0,94.0,87.0,87.0,40.0,29.0,69.0,51.0,142.0
68,1,61192,76,13392.0,13392.0,3428.0,3348.0,3348.0,14447.0,13281.0,27729.0,12861.0,12980.0
69,1,61192,77,12160.0,12160.0,3092.0,3040.0,3040.0,12005.0,13702.0,25708.0,12323.0,10611.0
70,1,61192,78,114888.0,114768.0,29456.0,28722.0,28692.0,30474.0,84219.0,114693.0,122387.0,222466.0
71,1,61192,79,5464.0,5464.0,1384.0,1366.0,1366.0,1605.0,4046.0,5651.0,6797.0,9408.0
72,1,61192,80,7424.0,7416.0,1940.0,1856.0,1854.0,4092.0,7257.0,11349.0,8545.0,9803.0
73,1,61192,144,4920.0,4920.0,1256.0,1230.0,1230.0,3503.0,5220.0,8723.0,4727.0,6230.0
74,1,61200,74,1576.0,1576.0,370.0,360.0,360.0,579.0,984.0,1563.0,1295.0,1462.0
75,1,61200,75,196.0,196.0,28.0,28.0,28.0,6.0,14.0,20.0,12.0,24.0
76,1,61200,76,7840.0,7840.0,1978.0,1960.0,1960.0,14667.0,8638.0,23305.0,4647.0,3408.0
77,1,61200,77,3048.0,3048.0,768.0,762.0,762.0,3545.0,3889.0,7433.0,2701.0,2057.0
78,1,61200,78,34264.0,34232.0,8772.0,8566.0,8558.0,16248.0,34864.0,51112.0,38460.0,47486.0
79,1,61200,79,384.0,384.0,48.0,48.0,48.0,20.0,28.0,48.0,28.0,20.0
80,1,61200,80,53816.0,53776.0,13814.0,13454.0,13444.0,64835.0,70420.0,135252.0,47498.0,32512.0
81,1,61200,144,9848.0,9848.0,2512.0,2462.0,2462.0,13249.0,12950.0,26201.0,7628.0,5564.0
82,1,61218,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,1,61218,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,1,61218,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,1,61218,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,1,61234,74,2032.0,2032.0,517.0,499.0,499.0,687.0,1557.0,2244.0,1957.0,3285.0
87,1,61234,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,1,61234,76,6504.0,6504.0,1644.0,1626.0,1626.0,8996.0,7508.0,16505.0,5577.0,3935.0
89,1,61234,77,3792.0,3792.0,960.0,948.0,948.0,3775.0,5163.0,8938.0,3898.0,2332.0
90,1,61234,78,26456.0,26440.0,6804.0,6614.0,6610.0,9594.0,23146.0,32740.0,30152.0,42933.0
91,1,61234,79,968.0,968.0,172.0,171.0,171.0,85.0,352.0,437.0,281.0,307.0
92,1,61234,80,6072.0,6072.0,1560.0,1518.0,1518.0,5168.0,7487.0,12655.0,6573.0,5060.0
93,1,61234,144,2256.0,2256.0,560.0,545.0,545.0,1840.0,1876.0,3716.0,2131.0,1783.0
94,1,61242,74,5424.0,5424.0,1400.0,1356.0,1356.0,2118.0,3427.0,5546.0,4739.0,11410.0
95,1,61242,75,210.0,210.0,32.0,30.0,30.0,2.0,18.0,20.0,24.0,16.0
96,1,61242,76,22688.0,22688.0,5776.0,5672.0,5672.0,31502.0,25861.0,57363.0,17415.0,15974.0
97,1,61242,77,18392.0,18392.0,4656.0,4598.0,4598.0,16038.0,24685.0,40723.0,19326.0,13518.0
98,1,61242,78,36936.0,36928.0,9488.0,9234.0,9232.0,11572.0,30792.0,42363.0,42201.0,63183.0
99,1,61242,79,1928.0,1928.0,474.0,464.0,464.0,470.0,1853.0,2323.0,1859.0,2314.0
100,1,61242,80,5800.0,5800.0,1492.0,1450.0,1450.0,4562.0,6390.0,10952.0,6502.0,5745.0
101,1,61242,144,5832.0,5832.0,1494.0,1458.0,1458.0,5501.0,7256.0,12757.0,5215.0,5357.0
102,1,61259,74,74400.0,74080.0,19850.0,18600.0,18520.0,10170.0,32693.0,42862.0,63177.0,191561.0
103,1,61259,75,760.0,728.0,98.0,95.0,91.0,12.0,27.0,39.0,52.0,98.0
104,1,61259,76,38656.0,38560.0,10020.0,9664.0,9640.0,33919.0,39526.0,73446.0,37018.0,44160.0
105,1,61259,77,2464.0,2456.0,652.0,616.0,614.0,1072.0,2498.0,3570.0,2543.0,3743.0
106,1,61259,78,121104.0,120656.0,32108.0,30276.0,30164.0,23658.0,71851.0,95503.0,117289.0,271621.0
107,1,61259,79,3200.0,3192.0,832.0,800.0,798.0,849.0,1911.0,2760.0,3023.0,7016.0
108,1,61259,80,31200.0,31168.0,8128.0,7800.0,7792.0,44038.0,34538.0,78572.0,22024.0,24199.0
109,1,61259,144,10264.0,10232.0,2712.0,2566.0,2558.0,10349.0,11736.0,22086.0,9087.0,9884.0
110,1,61275,74,272.0,272.0,36.0,34.0,34.0,12.0,20.0,32.0,18.0,18.0
111,1,61275,76,2632.0,2624.0,664.0,658.0,656.0,6981.0,2306.0,9287.0,707.0,534.0
112,1,61275,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,1,61275,78,1904.0,1904.0,470.0,460.0,460.0,3140.0,1646.0,4786.0,1078.0,576.0
114,1,61275,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,1,61275,80,14560.0,14544.0,3736.0,3640.0,3636.0,33615.0,16473.0,50087.0,6248.0,1904.0
116,1,61275,144,4280.0,4280.0,1096.0,1070.0,1070.0,10081.0,4486.0,14567.0,1826.0,727.0
117,1,61291,74,9744.0,9728.0,2514.0,2436.0,2432.0,1940.0,5073.0,7014.0,9409.0,22554.0
118,1,61291,75,224.0,224.0,32.0,32.0,32.0,0.0,14.0,14.0,10.0,40.0
119,1,61291,76,11240.0,11232.0,2872.0,2810.0,2808.0,12124.0,13505.0,25629.0,10459.0,8872.0
120,1,61291,77,5248.0,5248.0,1352.0,1312.0,1312.0,3331.0,5902.0,9233.0,6468.0,5291.0
121,1,61291,78,34912.0,34888.0,8972.0,8728.0,8722.0,7998.0,25399.0,33401.0,40045.0,66203.0
122,1,61291,79,968.0,968.0,148.0,146.0,146.0,7.0,86.0,93.0,224.0,267.0
123,1,61291,80,6120.0,6104.0,1580.0,1530.0,1526.0,4867.0,5909.0,10776.0,6253.0,7452.0
124,1,61291,144,3136.0,3136.0,800.0,784.0,784.0,2005.0,3393.0,5398.0,3437.0,3708.0
125,1,61309,74,8656.0,8624.0,2284.0,2164.0,2156.0,635.0,3220.0,3856.0,8013.0,22756.0
