County Code,District Code,Subgroup ID,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Total Standard Exceeeded,Total Standard Met,Total Standard Met and Above,Total Standard Nearly Met,Total Standard Not Met,Students with Scores
1,61176,144,11184.0,11184.0,2838.0,2796.0,1060.0,836.0,1896.0,502.0,398.0,2796.0
1,61192,74,16400.0,16376.0,4246.0,4100.0,214.0,668.0,882.0,1093.0,2124.0,4094.0
1,61192,75,518.0,518.0,94.0,87.0,13.0,12.0,25.0,16.0,46.0,87.0
1,61192,76,13392.0,13392.0,3428.0,3348.0,894.0,824.0,1718.0,812.0,818.0,3348.0
1,61192,77,12160.0,12160.0,3092.0,3040.0,750.0,856.0,1606.0,768.0,666.0,3040.0
1,61192,78,114888.0,114768.0,29456.0,28722.0,1887.0,5216.0,7103.0,7694.0,13919.0,28692.0
1,61192,79,5464.0,5464.0,1384.0,1366.0,98.0,252.0,350.0,426.0,590.0,1366.0
1,61192,80,7424.0,7416.0,1940.0,1856.0,258.0,452.0,710.0,532.0,612.0,1854.0
1,61192,144,4920.0,4920.0,1256.0,1230.0,230.0,316.0,546.0,316.0,368.0,1230.0
1,61200,74,1576.0,1576.0,370.0,360.0,50.0,82.0,132.0,105.0,123.0,360.0
1,61200,75,196.0,196.0,28.0,28.0,3.0,7.0,10.0,6.0,12.0,28.0
1,61200,76,7840.0,7840.0,1978.0,1960.0,912.0,544.0,1456.0,290.0,214.0,1960.0
1,61200,77,3048.0,3048.0,768.0,762.0,218.0,248.0,466.0,170.0,126.0,762.0
1,61200,78,34264.0,34232.0,8772.0,8566.0,1016.0,2175.0,3192.0,2405.0,2967.0,8558.0
1,61200,79,384.0,384.0,48.0,48.0,10.0,14.0,24.0,14.0,10.0,48.0
1,61200,80,53816.0,53776.0,13814.0,13454.0,4027.0,4389.0,8421.0,2973.0,2059.0,13444.0
1,61200,144,9848.0,9848.0,2512.0,2462.0,822.0,806.0,1628.0,482.0,352.0,2462.0
1,61218,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,61218,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,61218,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,61218,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,61234,74,2032.0,2032.0,517.0,499.0,40.0,102.0,142.0,123.0,234.0,499.0
1,61234,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,61234,76,6504.0,6504.0,1644.0,1626.0,560.0,468.0,1028.0,350.0,248.0,1626.0
1,61234,77,3792.0,3792.0,960.0,948.0,232.0,320.0,552.0,244.0,152.0,948.0
1,61234,78,26456.0,26440.0,6804.0,6614.0,598.0,1444.0,2043.0,1887.0,2684.0,6610.0
1,61234,79,968.0,968.0,172.0,171.0,15.0,57.0,72.0,49.0,50.0,171.0
1,61234,80,6072.0,6072.0,1560.0,1518.0,324.0,460.0,784.0,410.0,324.0,1518.0
1,61234,144,2256.0,2256.0,560.0,545.0,138.0,136.0,274.0,147.0,124.0,545.0
1,61242,74,5424.0,5424.0,1400.0,1356.0,128.0,216.0,344.0,294.0,718.0,1356.0
1,61242,75,210.0,210.0,32.0,30.0,1.0,9.0,10.0,12.0,8.0,30.0
1,61242,76,22688.0,22688.0,5776.0,5672.0,1970.0,1622.0,3592.0,1084.0,996.0,5672.0
1,61242,77,18392.0,18392.0,4656.0,4598.0,1004.0,1544.0,2548.0,1210.0,840.0,4598.0
1,61242,78,36936.0,36928.0,9488.0,9234.0,724.0,1924.0,2648.0,2628.0,3957.0,9232.0
1,61242,79,1928.0,1928.0,474.0,464.0,36.0,129.0,165.0,131.0,168.0,464.0
1,61242,80,5800.0,5800.0,1492.0,1450.0,290.0,402.0,692.0,398.0,360.0,1450.0
1,61242,144,5832.0,5832.0,1494.0,1458.0,346.0,446.0,792.0,326.0,340.0,1458.0
1,61259,74,74400.0,74080.0,19850.0,18600.0,656.0,2039.0,2696.0,3985.0,11918.0,18520.0
1,61259,75,760.0,728.0,98.0,95.0,6.0,13.0,20.0,26.0,49.0,91.0
1,61259,76,38656.0,38560.0,10020.0,9664.0,2158.0,2452.0,4609.0,2283.0,2771.0,9640.0
1,61259,77,2464.0,2456.0,652.0,616.0,64.0,158.0,222.0,158.0,235.0,614.0
1,61259,78,121104.0,120656.0,32108.0,30276.0,1524.0,4438.0,5962.0,7370.0,16940.0,30164.0
1,61259,79,3200.0,3192.0,832.0,800.0,54.0,116.0,170.0,186.0,444.0,798.0
1,61259,80,31200.0,31168.0,8128.0,7800.0,2970.0,2126.0,5097.0,1352.0,1349.0,7792.0
1,61259,144,10264.0,10232.0,2712.0,2566.0,739.0,702.0,1442.0,560.0,565.0,2558.0
1,61275,74,272.0,272.0,36.0,34.0,6.0,10.0,16.0,9.0,9.0,34.0
1,61275,76,2632.0,2624.0,664.0,658.0,438.0,142.0,580.0,44.0,34.0,656.0
1,61275,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,61275,78,1904.0,1904.0,470.0,460.0,217.0,122.0,339.0,79.0,42.0,460.0
1,61275,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,61275,80,14560.0,14544.0,3736.0,3640.0,2097.0,1036.0,3134.0,388.0,118.0,3636.0
1,61275,144,4280.0,4280.0,1096.0,1070.0,636.0,280.0,916.0,110.0,44.0,1070.0
1,61291,74,9744.0,9728.0,2514.0,2436.0,124.0,318.0,442.0,586.0,1408.0,2432.0
1,61291,75,224.0,224.0,32.0,32.0,0.0,7.0,7.0,5.0,20.0,32.0
1,61291,76,11240.0,11232.0,2872.0,2810.0,760.0,836.0,1596.0,654.0,558.0,2808.0
1,61291,77,5248.0,5248.0,1352.0,1312.0,202.0,376.0,578.0,400.0,334.0,1312.0
1,61291,78,34912.0,34888.0,8972.0,8728.0,502.0,1588.0,2091.0,2498.0,4136.0,8722.0
1,61291,79,968.0,968.0,148.0,146.0,3.0,21.0,24.0,52.0,70.0,146.0
1,61291,80,6120.0,6104.0,1580.0,1530.0,308.0,368.0,677.0,391.0,461.0,1526.0
1,61291,144,3136.0,3136.0,800.0,784.0,130.0,200.0,330.0,222.0,232.0,784.0
1,61309,74,8656.0,8624.0,2284.0,2164.0,40.0,202.0,242.0,501.0,1421.0,2156.0
1,61309,75,288.0,288.0,36.0,36.0,1.0,10.0,11.0,9.0,16.0,36.0
1,61309,76,11648.0,11648.0,2946.0,2912.0,736.0,896.0,1632.0,758.0,522.0,2912.0
1,61309,77,6056.0,6056.0,1542.0,1514.0,244.0,440.0,684.0,434.0,396.0,1514.0
1,61309,78,49392.0,49312.0,12598.0,12348.0,512.0,1898.0,2411.0,3765.0,6169.0,12328.0
1,61309,79,1464.0,1456.0,360.0,346.0,8.0,69.0,77.0,100.0,169.0,344.0
1,61309,80,6936.0,6920.0,1808.0,1734.0,218.0,382.0,600.0,488.0,642.0,1730.0
1,61309,144,1768.0,1760.0,438.0,426.0,58.0,77.0,135.0,130.0,160.0,424.0
1,75093,74,3184.0,3176.0,820.0,796.0,100.0,226.0,326.0,184.0,284.0,794.0
1,75093,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,75093,76,42720.0,42720.0,10776.0,10680.0,6800.0,2580.0,9380.0,920.0,380.0,10680.0
1,75093,77,4256.0,4256.0,1072.0,1064.0,414.0,404.0,818.0,206.0,40.0,1064.0
1,75093,78,10552.0,10552.0,2708.0,2638.0,472.0,814.0,1286.0,680.0,672.0,2638.0
1,75093,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,75093,80,21536.0,21536.0,5500.0,5384.0,1844.0,1772.0,3616.0,1108.0,660.0,5384.0
1,75093,144,8128.0,8128.0,2088.0,2032.0,852.0,598.0,1450.0,362.0,220.0,2032.0
1,75101,74,1512.0,1512.0,358.0,346.0,87.0,104.0,191.0,82.0,73.0,346.0
1,75101,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,75101,76,50328.0,50328.0,12760.0,12582.0,8742.0,2596.0,11338.0,864.0,380.0,12582.0
1,75101,77,2176.0,2176.0,564.0,544.0,216.0,196.0,412.0,104.0,28.0,544.0
1,75101,78,12328.0,12328.0,3132.0,3082.0,720.0,906.0,1626.0,836.0,620.0,3082.0
1,75101,79,210.0,210.0,32.0,30.0,11.0,8.0,19.0,6.0,5.0,30.0
1,75101,80,54496.0,54488.0,13916.0,13624.0,5682.0,4590.0,10274.0,2170.0,1180.0,13622.0
1,75101,144,7080.0,7080.0,1800.0,1770.0,848.0,534.0,1382.0,214.0,174.0,1770.0
1,75119,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,75119,76,392.0,392.0,56.0,56.0,31.0,18.0,49.0,6.0,1.0,56.0
1,75119,78,546.0,546.0,80.0,78.0,21.0,33.0,54.0,12.0,12.0,78.0
1,75119,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,75119,80,1022.0,1022.0,244.0,240.0,82.0,82.0,164.0,68.0,8.0,240.0
1,75119,144,350.0,350.0,50.0,50.0,30.0,15.0,45.0,4.0,1.0,50.0
2,61333,75,322.0,322.0,48.0,46.0,3.0,12.0,15.0,12.0,19.0,46.0
2,61333,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,61333,80,434.0,434.0,64.0,62.0,16.0,16.0,32.0,20.0,10.0,62.0
2,61333,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,10033,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,10033,78,385.0,385.0,66.0,55.0,1.0,5.0,6.0,3.0,46.0,55.0
3,10033,80,1368.0,1368.0,312.0,279.0,4.0,37.0,41.0,61.0,177.0,279.0
3,10033,144,66.0,66.0,13.0,11.0,0.0,1.0,1.0,4.0,6.0,11.0
3,73981,74,208.0,208.0,28.0,26.0,1.0,5.0,6.0,10.0,10.0,26.0
3,73981,75,904.0,904.0,178.0,167.0,12.0,34.0,46.0,44.0,77.0,167.0
3,73981,76,238.0,238.0,36.0,34.0,10.0,8.0,18.0,13.0,3.0,34.0
3,73981,77,182.0,175.0,26.0,26.0,4.0,10.0,14.0,6.0,5.0,25.0
3,73981,78,6744.0,6728.0,1744.0,1686.0,148.0,377.0,526.0,539.0,621.0,1682.0
3,73981,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,73981,80,22040.0,22008.0,5700.0,5510.0,817.0,1453.0,2272.0,1631.0,1605.0,5502.0
3,73981,144,1784.0,1784.0,448.0,426.0,48.0,120.0,168.0,113.0,145.0,426.0
4,10041,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10041,75,156.0,156.0,26.0,26.0,0.0,1.0,1.0,6.0,19.0,26.0
4,10041,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10041,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10041,78,816.0,816.0,148.0,136.0,2.0,18.0,20.0,39.0,77.0,136.0
4,10041,80,1624.0,1624.0,354.0,338.0,20.0,41.0,61.0,105.0,172.0,338.0
4,10041,144,156.0,156.0,26.0,26.0,0.0,4.0,4.0,4.0,18.0,26.0
4,61382,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,61382,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,61382,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,61382,80,616.0,616.0,94.0,88.0,8.0,20.0,28.0,29.0,31.0,88.0
4,61382,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,61408,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,61408,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,61408,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,61408,78,1960.0,1952.0,518.0,474.0,12.0,58.0,70.0,138.0,266.0,472.0
4,61408,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,61408,80,2416.0,2416.0,662.0,604.0,50.0,132.0,182.0,168.0,254.0,604.0
4,61408,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,61424,74,2752.0,2752.0,708.0,688.0,82.0,160.0,242.0,158.0,288.0,688.0
4,61424,75,1560.0,1560.0,384.0,374.0,50.0,74.0,124.0,100.0,150.0,374.0
4,61424,76,5904.0,5904.0,1500.0,1476.0,268.0,392.0,660.0,402.0,414.0,1476.0
4,61424,77,768.0,768.0,100.0,96.0,32.0,33.0,65.0,19.0,12.0,96.0
4,61424,78,24680.0,24656.0,6328.0,6170.0,594.0,1366.0,1961.0,1751.0,2456.0,6164.0
4,61424,79,536.0,536.0,70.0,67.0,12.0,27.0,39.0,22.0,6.0,67.0
4,61424,80,57048.0,57024.0,14716.0,14262.0,3274.0,4536.0,7812.0,3377.0,3074.0,14256.0
4,61424,144,3472.0,3472.0,900.0,868.0,148.0,196.0,344.0,234.0,290.0,868.0
4,61432,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,61432,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,61432,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,61432,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,61432,78,1736.0,1736.0,422.0,416.0,10.0,100.0,110.0,128.0,178.0,416.0
4,61432,80,5832.0,5832.0,1492.0,1458.0,314.0,496.0,810.0,388.0,260.0,1458.0
4,61432,144,384.0,384.0,48.0,48.0,14.0,15.0,29.0,12.0,7.0,48.0
4,61440,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,61440,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,61440,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,61440,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
