County Code,District Code,Subgroup ID,Test Id,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Total Standard Exceeded,Mean Scale Score,Total Standard Met,Total Standard Nearly Met,Total Standard Not Met,Students with Scores,Total Standard Met and Above
9,73783,1,1,5368.0,5360.0,1386.0,1342.0,136.0,17440.800000000003,386.0,384.0,434.0,1340.0,523.0
9,73783,1,2,5368.0,5360.0,1384.0,1342.0,100.0,17404.8,264.0,472.0,504.0,1340.0,364.0
10,10108,1,1,1496.0,1496.0,442.0,355.0,0.0,9568.6,18.0,31.0,306.0,355.0,18.0
10,10108,1,2,1480.0,1480.0,446.0,351.0,0.0,9452.400000000001,0.0,16.0,335.0,351.0,0.0
10,61994,1,1,756.0,756.0,216.0,216.0,44.0,14982.4,54.0,46.0,72.0,216.0,98.0
10,61994,1,2,756.0,756.0,216.0,216.0,46.0,14985.5,48.0,46.0,76.0,216.0,94.0
10,62026,1,1,210.0,210.0,36.0,35.0,11.0,0.0,10.0,8.0,6.0,35.0,21.0
10,62026,1,2,210.0,210.0,36.0,35.0,7.0,0.0,8.0,9.0,11.0,35.0,15.0
10,62042,1,1,504.0,504.0,124.0,124.0,2.0,9793.300000000001,29.0,43.0,50.0,124.0,31.0
10,62042,1,2,504.0,504.0,124.0,124.0,5.0,9875.100000000002,33.0,43.0,43.0,124.0,38.0
10,62109,1,1,1183.0,1183.0,342.0,338.0,152.0,15466.1,132.0,36.0,18.0,338.0,284.0
10,62109,1,2,1183.0,1183.0,342.0,338.0,172.0,15479.199999999999,74.0,72.0,20.0,338.0,246.0
10,62117,1,1,178136.0,178096.0,45248.0,44534.0,15319.0,17929.1,15717.0,8145.0,5352.0,44524.0,31037.0
10,62117,1,2,177888.0,177856.0,45244.0,44472.0,12513.0,17840.5,12648.0,11488.0,7822.0,44464.0,25161.0
10,62125,1,1,18488.0,18472.0,4774.0,4622.0,320.0,17191.3,881.0,1112.0,2310.0,4618.0,1202.0
10,62125,1,2,18776.0,18760.0,4772.0,4694.0,124.0,17062.8,528.0,1152.0,2889.0,4690.0,652.0
10,62158,1,1,11264.0,11264.0,2846.0,2816.0,426.0,17513.5,760.0,814.0,816.0,2816.0,1186.0
10,62158,1,2,11280.0,11280.0,2846.0,2820.0,300.0,17377.6,526.0,852.0,1142.0,2820.0,826.0
10,62166,1,1,291664.0,291024.0,75018.0,72916.0,7570.0,17320.600000000002,16958.0,17989.0,30399.0,72756.0,24527.0
10,62166,1,2,290816.0,289960.0,75020.0,72704.0,6047.0,17234.8,11501.0,19658.0,35499.0,72490.0,17551.0
