County Code,District Code,Subgroup ID,Test Id,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Total Standard Exceeded,Mean Scale Score,Total Standard Met,Total Standard Nearly Met,Total Standard Not Met,Students with Scores,Total Standard Met and Above
27,66191,77,1,222.0,222.0,37.0,37.0,10.0,0.0,12.0,11.0,4.0,37.0,22.0
27,66191,77,2,222.0,222.0,37.0,37.0,10.0,0.0,5.0,14.0,8.0,37.0,15.0
27,66191,78,1,13706.0,13699.0,4058.0,3916.0,298.0,14804.0,948.0,1122.0,1547.0,3914.0,1246.0
27,66191,78,2,13685.0,13685.0,4062.0,3910.0,206.0,14743.5,552.0,1338.0,1814.0,3910.0,758.0
27,66191,79,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,66191,79,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,66191,80,1,1582.0,1582.0,458.0,452.0,74.0,15026.499999999998,154.0,106.0,118.0,452.0,228.0
27,66191,80,2,1582.0,1582.0,458.0,452.0,62.0,14926.199999999999,92.0,146.0,152.0,452.0,154.0
27,66191,144,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,66191,144,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,66225,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,66225,74,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,66225,75,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,66225,75,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,66225,76,1,161.0,161.0,23.0,23.0,6.0,0.0,13.0,2.0,2.0,23.0,19.0
27,66225,76,2,161.0,161.0,23.0,23.0,9.0,0.0,7.0,5.0,2.0,23.0,16.0
27,66225,77,1,91.0,91.0,13.0,13.0,5.0,0.0,6.0,1.0,1.0,13.0,11.0
27,66225,77,2,91.0,91.0,13.0,13.0,4.0,0.0,7.0,2.0,0.0,13.0,11.0
27,66225,78,1,1302.0,1302.0,384.0,372.0,36.0,14909.399999999998,120.0,104.0,112.0,372.0,156.0
27,66225,78,2,1302.0,1302.0,384.0,372.0,44.0,14936.300000000001,84.0,140.0,104.0,372.0,128.0
27,66225,80,1,2380.0,2380.0,702.0,680.0,142.0,15124.999999999998,238.0,202.0,98.0,680.0,380.0
27,66225,80,2,2366.0,2366.0,702.0,676.0,144.0,15157.900000000001,224.0,190.0,118.0,676.0,368.0
27,66225,144,1,392.0,392.0,74.0,73.0,23.0,2620.8,29.0,11.0,10.0,73.0,52.0
27,66225,144,2,392.0,392.0,74.0,73.0,25.0,2610.8,22.0,18.0,8.0,73.0,47.0
27,66233,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,66233,74,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,66233,75,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,66233,75,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,66233,76,1,350.0,350.0,62.0,62.0,41.0,2653.3,12.0,7.0,2.0,62.0,53.0
27,66233,76,2,350.0,350.0,62.0,62.0,34.0,2648.2,17.0,8.0,3.0,62.0,51.0
27,66233,77,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,66233,77,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,66233,78,1,791.0,791.0,226.0,226.0,70.0,15231.8,74.0,54.0,28.0,226.0,144.0
27,66233,78,2,791.0,791.0,226.0,226.0,54.0,15086.2,48.0,72.0,52.0,226.0,102.0
27,66233,79,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,66233,79,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,66233,80,1,2632.0,2632.0,762.0,752.0,280.0,15376.5,326.0,112.0,34.0,752.0,606.0
27,66233,80,2,2632.0,2632.0,762.0,752.0,254.0,15315.5,228.0,216.0,54.0,752.0,482.0
27,66233,144,1,266.0,266.0,49.0,49.0,22.0,2562.0,14.0,10.0,3.0,49.0,36.0
27,66233,144,2,266.0,266.0,49.0,49.0,27.0,2552.3,10.0,6.0,6.0,49.0,37.0
27,73825,74,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
