School Name,Agency Name,Agency ID,County Number,American Indian/Alaska Native,Asian or Asian/Pacific Islander,Hispanic,Black,White,Hawaiian Nat./Pacific Isl.,Two or More Races,Total Race/Ethnicity,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio
DOWNTOWN BUSINESS HIGH,Los Angeles Unified,622710,6037,1,323,596,70,30,8,6,,45,22.98
DOWNTOWN CHARTER ACADEMY,Oakland Unified,628050,6001,,183,32,6,,,2,,13,17.15
DOWNTOWN COLLEGE PREP - ALUM ROCK,Santa Clara County Office of Education,691035,6085,2,35,572,9,16,4,4,,26.5,24.23
DOWNTOWN COLLEGE PREPARATORY,San Jose Unified,634590,6085,10,5,345,1,6,1,7,,15.8,23.73
DOWNTOWN COLLEGE PREPARATORY MIDDLE,San Jose Unified,634590,6085,,3,487,9,7,1,4,,10,51.1
DOWNTOWN ELEMENTARY,Bakersfield City,603630,6029,,16,135,22,127,,8,,14,22
DOWNTOWN HIGH,San Francisco Unified,634410,6075,1,7,74,45,2,9,5,,10.6,13.49
DOWNTOWN VALUE,Los Angeles Unified,622710,6037,,2,359,,,,89,,17.17,26.21
DOYLE ELEMENTARY,San Diego Unified,634320,6073,5,302,139,17,211,,64,,33,22.36
DOZIER-LIBBEY MEDICAL HIGH,Antioch Unified,602850,6013,12,122,312,124,112,7,23,,27.73,25.68
DR BOB FORINASH COMMUNITY DAY,Lompoc Unified,622410,6083,0,0,6,2,3,0,0,,2.17,5.07
DR. ALBERT SCHWEITZER,Magnolia Elementary,623430,6059,4,63,491,20,33,8,11,,25,25.2
DR. AUGUSTINE RAMIREZ INTERMEDIATE,Corona-Norco Unified,609850,6065,2,263,504,143,300,2,32,,48,25.96
DR. BERNICE JAMESON TODD ACADEMY,Corona-Norco Unified,609850,6065,2,113,368,64,392,4,31,,36.5,26.68
DR. DOUG SEARS LEARNING CENTER,Temple City Unified,638980,6037,0,10,18,0,7,0,0,,4,8.75
DR. DOUGLAS K. FLETCHER ELEMENTARY,Bakersfield City,603630,6029,2,15,406,13,166,,22,,31,20.13
DR. J. MICHAEL MCGRATH ELEMENTARY,Newhall,627180,6037,2,41,568,36,39,1,16,,27,26.04
DR. JAMES EDWARD JONES PRIMARY CENTER,Los Angeles Unified,622710,6037,,,164,19,3,,2,,8,23.5
DR. JULIAN NAVA LEARNING ACADEMY,Los Angeles Unified,622710,6037,,,444,18,5,,3,,,
DR. JULIAN NAVA LRNG ACADS-SCH OF ARTS AND CULTURE,Los Angeles Unified,622710,6037,,,452,23,3,,,,,
DR. JULIET THORNER ELEMENTARY,Bakersfield City,603630,6029,8,11,544,63,207,2,41,,38,23.05
DR. LAWRENCE H. MOORE MATH SCIENCE TECHNOLOGY ACADEMY,Los Angeles Unified,622710,6037,,,704,20,1,,,,31,23.39
DR. LEWIS DOLPHIN STALLWORTH SR. CHARTER,Stockton Unified,638010,6077,3,2,119,74,10,,25,,7,33.29
DR. MARTIN LUTHER KING JR. ACADEMY,Alisal Union,601950,6053,,,589,,4,,5,,22,27.18
DR. MAYA ANGELOU COMMUNITY HIGH,Los Angeles Unified,622710,6037,,,1009,99,5,,6,,46,24.33
DR. MILDRED DALTON HENRY ELEMENTARY,San Bernardino City Unified,634170,6071,1,3,363,11,3,3,11,,13,30.38
DR. OWEN LLOYD KNOX ELEMENTARY,Los Angeles Unified,622710,6037,,,617,186,11,,11,,35,23.57
DR. PETER MARSHALL,Magnolia Elementary,623430,6059,5,91,490,22,82,4,3,,27,25.81
DR. REYNALDO J. CARREON JR. ACADEMY,Desert Sands Unified,611110,6065,3,21,641,15,28,1,3,,30,23.73
DR. RICHARD A. VLADOVIC HARBOR TEACHER PREPARATION ACADEMY,Los Angeles Unified,622710,6037,,113,244,47,21,13,10,,18,24.89
DR. SAMMY LEE MEDICAL AND HEALTH SCIENCE MAGNET ELEMENTARY,Los Angeles Unified,622710,6037,,225,367,24,11,1,9,,25,25.48
DR. THEODORE T. ALEXANDER JR. SCIENCE CENTER,Los Angeles Unified,622710,6037,,2,515,92,29,,4,,27,23.78
DR. TJ OWENS GILROY EARLY COLLEGE ACADEMY,Gilroy Unified,615180,6085,1,69,130,5,61,,7,,8.51,32.08
DR. WALTER C. RALSTON INTERMEDIATE,Garden Grove Unified,614880,6059,3,259,312,8,48,1,12,,26.67,24.11
DREW (CHARLES) COLLEGE PREPARATORY ACADEMY,San Francisco Unified,634410,6075,3,2,29,125,2,12,33,,7,29.43
DRIFFILL ELEMENTARY,Oxnard,629220,6111,2,3,1150,4,16,1,5,,49.5,23.86
DRY CREEK ELEMENTARY,Clovis Unified,609030,6019,7,112,164,14,508,3,27,,29,28.79
DRY CREEK ELEMENTARY,Twin Rivers Unified,601332,6067,4,27,164,12,194,,38,,17,25.82
DUAL LANGUAGE ACADEMY OF THE MONTEREY PENINSULA,Monterey Peninsula Unified,625530,6053,,4,355,19,45,1,17,,22,20.05
DUARTE HIGH,Duarte Unified,611520,6037,6,72,675,33,101,,61,,43.61,21.74
DUBLIN ELEMENTARY,Dublin Unified,600019,6001,5,281,156,21,321,8,91,,35.19,25.09
DUBLIN HIGH,Dublin Unified,600019,6001,2,1099,355,120,693,9,221,,109.99,22.72
DUCOR UNION ELEMENTARY,Ducor Union Elementary,611550,6107,1,,162,,5,,,,8,21
DUNBAR ELEMENTARY,Sonoma Valley Unified,637200,6097,1,1,166,3,41,,20,,11,21.09
DUNCAN-RUSSELL CONTINUATION,Tracy Joint Unified,600047,6077,0,1,11,0,2,0,0,,1,14
DUNHAM CHARTER,Dunham Elementary,611610,6097,,,35,,130,,13,,7.5,23.73
DUNHAM ELEMENTARY,Dunham Elementary,611610,6097,0,0,1,0,6,0,1,,0.5,16
DUNLAP ELEMENTARY,Yucaipa-Calimesa Joint Unified,643560,6071,7,4,269,7,116,1,1,,17.5,23.14
DUNLAP ELEMENTARY,Kings Canyon Joint Unified,619700,6019,7,7,83,2,224,1,42,,17,21.53
DUNLAP LEADERSHIP ACADEMY,Kings Canyon Joint Unified,619700,6019,,2,30,,22,,7,,4,15.25
DUNN ELEMENTARY,Rialto Unified,632370,6071,3,3,559,26,6,4,5,,26,23.31
DUNSMORE ELEMENTARY,Glendale Unified,615240,6037,1,124,60,1,252,,69,,20,25.35
DUNSMUIR ELEMENTARY,Dunsmuir Elementary,611670,6093,3,,20,,54,,13,,5,18
DUNSMUIR HIGH,Dunsmuir Joint Union High,611700,6093,3,,15,2,39,,6,,7.2,9.03
DUNSMUIR JOINT UNION HIGH COMMUNITY DAY,Dunsmuir Joint Union High,611700,6093,0,0,0,0,0,0,0,,,
DURFEE ELEMENTARY,El Rancho Unified,612180,6037,,13,390,,4,,1,,15,27.2
DURFEE ELEMENTARY,El Monte City,612090,6037,,249,725,4,13,,,,41.33,23.98
DURHAM ELEMENTARY,Durham Unified,611730,6007,3,2,93,1,329,,25,,20,22.65
DURHAM HIGH,Durham Unified,611730,6007,6,,57,2,226,,9,,16.6,18.07
DURHAM INTERMEDIATE,Durham Unified,611730,6007,2,1,50,2,170,,8,,12.12,19.22
DUVENECK ELEMENTARY,Palo Alto Unified,629610,6085,,149,42,4,174,4,69,,24.02,18.4
DWIGHT D. EISENHOWER ELEMENTARY,Cupertino Union,610290,6085,1,434,61,8,121,1,34,,27.55,23.96
DWIGHT D. EISENHOWER ELEMENTARY,Corona-Norco Unified,609850,6065,2,133,250,38,414,,25,,31,27.81
DWIGHT D. EISENHOWER ELEMENTARY,Garden Grove Unified,614880,6059,,61,632,4,3,8,1,,29,24.45
DWIGHT EISENHOWER ELEMENTARY,Desert Sands Unified,611110,6065,1,,424,1,16,,14,,20,22.8
DYER STREET ELEMENTARY,Los Angeles Unified,622710,6037,,7,705,4,12,,5,,30,24.43
DYER-KELLY ELEMENTARY,San Juan Unified,634620,6067,8,63,170,91,88,1,24,,17,26.18
E. A. HALL MIDDLE,Pajaro Valley Unified,629490,6087,1,9,638,,14,,,,23.93,27.66
E. G. GARRISON ELEMENTARY,Oceanside Unified,628250,6073,2,10,293,11,58,5,11,,19,20.53
E. HALE CURRAN ELEMENTARY,Murrieta Valley Unified,600029,6065,2,20,264,26,194,6,50,,20.5,27.41
E. J. MARSHALL ELEMENTARY,Chino Valley Unified,608460,6071,,18,399,6,33,,3,,18.17,25.26
E. L. MUSICK ELEMENTARY,Newark Unified,627060,6001,,51,183,10,21,7,13,,11,25.91
E. LOS ANGELES RENAISS ACAD AT ESTEBAN E. TORRES HIGH #2,Los Angeles Unified,622710,6037,2,1,398,2,3,,,,20,20.3
E. M. GRIMMER ELEMENTARY,Fremont Unified,614400,6001,2,138,269,5,40,3,19,,24,19.83
E. NEAL ROBERTS ELEMENTARY,San Bernardino City Unified,634170,6071,1,7,419,37,11,,24,,19,26.26
E. O. GREEN JUNIOR HIGH,Hueneme Elementary,617850,6111,1,36,1081,20,79,4,27,,51.34,24.31
E. P. FOSTER ELEMENTARY,Ventura Unified,640980,6111,1,2,400,5,27,,2,,17,25.71
E. RUTH SHELDON ACADEMY OF INNOVATIVE LEARNING,Fairfield-Suisun Unified,613360,6095,2,34,474,69,60,1,26,,22.5,29.6
E3 CIVIC HIGH,San Diego Unified,634320,6073,,16,311,65,53,3,10,,20.04,22.85
EAGLE CANYON ELEMENTARY,Chino Valley Unified,608460,6071,,169,256,12,96,2,19,,21,26.38
EAGLE CANYON HIGH,Templeton Unified,639000,6079,0,0,1,0,6,0,0,,1,7
EAGLE CREEK,Cloverdale Unified,608970,6097,0,0,3,0,0,0,0,,1,3
EAGLE MOUNTAIN ELEMENTARY,Desert Center Unified,611100,6065,,,10,,9,,,,2,9.5
EAGLE PEAK MIDDLE,Ukiah Unified,640300,6045,58,2,196,4,188,,8,,22,20.73
EAGLE PEAK MONTESSORI,Mt. Diablo Unified,626370,6013,,35,36,6,122,,35,,10.5,22.29
EAGLE PRAIRIE ELEMENTARY,Rio Dell Elementary,632730,6023,6,,49,2,140,,17,,9.5,22.53
EAGLE RANCH ELEMENTARY,Adelanto Elementary,601710,6071,6,9,397,128,94,2,37,,25,26.92
EAGLE ROCK ELEMENTARY,Los Angeles Unified,622710,6037,3,182,380,8,140,2,36,,33,22.76
EAGLE ROCK HIGH,Los Angeles Unified,622710,6037,14,622,1385,45,267,4,36,,97.51,24.34
EAGLE SUMMIT COMMUNITY DAY,Snowline Joint Unified,636970,6071,,,5,3,16,,4,,3,9.33
EAGLE TREE CONTINUATION,Los Angeles Unified,622710,6037,,3,60,8,1,,2,,3,24.67
EARL E. EDMONDSON ELEMENTARY,Norwalk-La Mirada Unified,627690,6037,,8,464,1,5,,2,,18.8,25.53
EARL F. JOHNSON HIGH (CONTINUATION),Hanford Joint Union High,616500,6031,1,1,63,7,15,0,0,,4.82,18.05
EARL LEGETTE ELEMENTARY,San Juan Unified,634620,6067,2,26,66,11,404,3,31,,18.85,28.81
EARL WARREN ELEMENTARY,Sacramento City Unified,633840,6067,3,86,320,18,27,6,11,,19,24.79
EARL WARREN ELEMENTARY,Lake Elsinore Unified,600027,6065,,44,588,47,172,1,53,,36.5,24.79
EARL WARREN ELEMENTARY,Garden Grove Unified,614880,6059,,66,375,6,21,2,20,,22,22.27
EARL WARREN JUNIOR HIGH,Panama-Buena Vista Union,606390,6029,4,186,361,58,265,4,9,,39.17,22.64
EARL WARREN MIDDLE,San Dieguito Union High,634380,6073,3,37,88,,393,,16,,22.2,24.19
EARLE E. WILLIAMS MIDDLE,Tracy Joint Unified,600047,6077,2,144,541,77,230,10,13,,47.21,21.54
EARLE JAMIESON EDUCATIONAL OPTIONS,Nevada County Office of Education,691023,6057,1,0,0,0,5,0,0,,2,3
EARLIMART COMMUNITY DAY,Earlimart Elementary,611760,6107,0,0,7,0,0,0,1,,0.7,11.43
EARLIMART ELEMENTARY,Earlimart Elementary,611760,6107,,22,670,,1,,7,,31,22.58
EARLIMART MIDDLE,Earlimart Elementary,611760,6107,,12,611,2,7,,4,,28,22.71
EARLY CHILDHOOD EDUCATION,Lancaster Elementary,620880,6037,,,,,,,,,,
EARLY CHILDHOOD LEARNING CENTER,Irvine Unified,684500,6059,,,,,,,,,,
EARLY COLLEGE ACADEMY-LA TRADE TECH COLLEGE,Los Angeles Unified,622710,6037,0,0,177,7,1,1,3,,9,21
EARLY COLLEGE HIGH,Newport-Mesa Unified,627240,6059,4,15,162,3,59,1,2,,10.1,24.36
EARLY LEARNING PROGRAM,El Rancho Unified,612180,6037,,,,,,,,,,
EAST AVENUE ELEMENTARY,Hayward Unified,616740,6001,,64,311,102,64,26,44,,23,26.57
EAST AVENUE MIDDLE,Livermore Valley Joint Unified,622110,6001,1,55,194,14,304,,50,,25.84,23.92
EAST BAKERSFIELD HIGH,Kern High,619540,6029,24,19,1829,100,161,5,7,,88.93,24.12
EAST BAY ARTS HIGH,San Lorenzo Unified,634710,6001,,16,122,47,31,5,5,,12.36,18.28
EAST BAY INNOVATION ACADEMY,Oakland Unified,628050,6001,0,27,125,68,129,1,69,,17.35,24.15
EAST COUNTY ELEMENTARY SPECIAL EDUCATION,Contra Costa County Office of Education,691005,6013,1,4,17,9,9,0,2,,5,8.4
EAST HERITAGE ELEMENTARY,Etiwanda Elementary,612960,6071,,68,286,88,73,,40,,23.82,23.3
EAST HIGH (CONTINUATION),Fortuna Union High,614190,6023,8,2,22,0,32,0,9,,4,18.25
EAST HILLS ACADEMY,Sweetwater Union High,638640,6073,,9,54,5,8,,2,,12.3,6.34
EAST LAKE,Konocti Unified,620070,6033,7,2,41,2,82,0,11,,5.5,26.36
EAST LOS ANGELES COUNTY COMMUNITY,Los Angeles County Office of Education,691078,6037,0,3,65,8,2,0,0,,6.48,12.04
EAST NICOLAUS HIGH,East Nicolaus Joint Union High,611780,6101,4,10,75,3,210,3,10,,15.28,20.62
EAST OAKLAND LEADERSHIP ACADEMY,Oakland Unified,628050,6001,,4,39,68,,,4,,6.25,18.4
EAST OAKLAND PRIDE ELEMENTARY,Oakland Unified,628050,6001,,8,252,82,1,5,14,,15,24.13
EAST PALO ALTO ACADEMY,Sequoia Union High,636390,6081,3,6,260,26,,15,1,,21.6,14.4
EAST SAN GABRIEL VALLEY ROP,East San Gabriel Valley ROP,600105,6037,0,0,0,0,0,0,0,,,
EAST STANISLAUS HIGH,Oakdale Joint Unified,600062,6099,2,1,46,0,44,0,0,,3.9,23.85
EAST UNION HIGH,Manteca Unified,623610,6077,13,134,913,39,486,14,23,,71.83,22.58
EAST VALLEY SENIOR HIGH,Los Angeles Unified,622710,6037,2,13,504,34,28,,5,,34.01,17.23
EAST VILLAGE HIGH,San Diego Unified,634320,6073,,3,77,7,7,,3,,8.5,11.41
EAST WHITTIER MIDDLE,East Whittier City Elementary,611850,6037,,18,1099,8,99,1,10,,44,28.07
EASTBLUFF ELEMENTARY,Newport-Mesa Unified,627240,6059,,33,49,1,291,2,33,,19,21.53
EASTERBROOK DISCOVERY,Moreland,625770,6085,2,346,231,17,343,2,64,,44.5,22.58
EASTERBY ELEMENTARY,Fresno Unified,614550,6019,4,151,377,57,41,2,24,,28,23.43
EASTIN ARCOLA,Madera Unified,623340,6039,,,212,1,28,,2,,10.54,23.06
EASTLAKE ELEMENTARY,Chula Vista Elementary,608610,6073,2,74,435,37,80,3,17,,30.5,21.25
EASTLAKE HIGH,Sweetwater Union High,638640,6073,5,521,1735,120,386,5,291,,120.48,25.42
EASTLAKE MIDDLE,Sweetwater Union High,638640,6073,,294,887,60,226,2,156,,62.88,25.84
EASTMAN AVENUE ELEMENTARY,Los Angeles Unified,622710,6037,,2,831,,30,,1,,38,22.74
EASTMONT INTERMEDIATE,Montebello Unified,625470,6037,2,4,814,1,1,,2,,27.25,30.24
EASTON COMMUNITY DAY,Washington Unified,601415,6019,0,0,1,2,2,0,0,,1.25,4
EASTON CONTINUATION HIGH,Washington Unified,601415,6019,0,0,6,2,1,0,0,,2.5,3.6
EASTSHORE ELEMENTARY,Irvine Unified,684500,6059,,244,76,14,211,,76,,21,29.57
EASTSIDE ACADEMY/TRANSITIONAL LEARNING CENTER,Eastside Union Elementary,611910,6037,0,0,1,2,0,0,0,,1,3
EASTSIDE ELEMENTARY,Eastside Union Elementary,611910,6037,3,3,443,60,70,,14,,25,23.72
EASTSIDE HIGH,Antelope Valley Union High,602820,6037,6,42,1370,617,142,4,102,,95.19,23.98
EASTVALE ELEMENTARY,Corona-Norco Unified,609850,6065,5,430,456,116,236,3,33,,45,28.42
EASTWOOD ELEMENTARY,Westminster,642150,6059,2,140,157,4,206,2,49,,23,24.35
EASTWOOD ELEMENTARY,Norwalk-La Mirada Unified,627690,6037,,169,178,9,68,4,26,,17,26.71
EATON ELEMENTARY,Fresno Unified,614550,6019,4,34,202,17,128,2,17,,18,22.44
ECADEMY CHARTER AT CRANE,Turlock Unified,600158,6099,2,2,69,6,76,,11,,6.2,26.77
ECHO VALLEY ELEMENTARY,North Monterey County Unified,627590,6053,,4,480,1,59,1,10,,22,25.23
ED DONALDSON EDUCATION CENTER,Kelseyville Unified,619320,6033,1,0,9,0,7,0,1,,0.75,24
EDEN AREA ROP,Eden Area ROP,600085,6001,0,0,0,0,0,0,0,,,
EDEN GARDENS ELEMENTARY,Hayward Unified,616740,6001,1,139,302,47,23,27,50,,22.5,26.18
EDENDALE MIDDLE,San Lorenzo Unified,634710,6001,1,76,447,136,17,11,18,,32.78,21.54
EDENVALE ELEMENTARY,Oak Grove Elementary,627810,6085,,43,417,8,8,5,2,,19,25.42
EDGEMONT ELEMENTARY,Moreno Valley Unified,625800,6065,1,3,541,36,5,9,11,,24,25.25
EDGEWATER ELEMENTARY,Marysville Joint Unified,624090,6115,1,65,216,20,146,1,27,,15.5,30.71
EDGEWOOD ACADEMY,Bassett Unified,604110,6037,,46,530,6,9,,,,24.5,24.12
EDGEWOOD HIGH,West Covina Unified,642000,6037,,163,608,18,52,1,19,,38.79,22.2
EDGEWOOD MIDDLE,West Covina Unified,642000,6037,1,84,396,20,30,2,2,,25.47,21.01
EDISON (THOMAS) ELEMENTARY,Anaheim Elementary,602610,6059,,21,867,3,16,1,7,,35,26.14
EDISON CHARTER ACADEMY,San Francisco Unified,634410,6075,2,24,591,52,27,11,8,,34,21.03
EDISON COMPUTECH,Fresno Unified,614550,6019,2,119,480,27,173,1,4,,31.51,25.58
EDISON ELEMENTARY,Long Beach Unified,622500,6037,,7,573,62,10,1,7,,26,25.38
EDISON ELEMENTARY,Torrance Unified,639420,6037,1,98,229,31,94,8,34,,19,26.05
EDISON ELEMENTARY,Santa Monica-Malibu Unified,635700,6037,2,15,319,13,97,,2,,19,23.58
EDISON ELEMENTARY,Alameda Unified,601770,6001,1,70,63,6,239,1,72,,18,25.11
EDISON ELEMENTARY,San Diego Unified,634320,6073,,21,447,32,7,2,6,,23,22.39
EDISON ELEMENTARY,Ontario-Montclair,628470,6071,8,29,611,10,85,4,20,,30.1,25.48
EDISON HIGH,Stockton Unified,638010,6077,63,415,1311,258,36,6,25,,74.33,28.44
EDISON HIGH,Huntington Beach Union High,618060,6059,69,306,443,21,1584,15,92,,109.68,23.07
EDISON HIGH,Fresno Unified,614550,6019,9,280,1572,388,266,11,29,,96.4,26.5
EDISON MIDDLE,Edison Elementary,611940,6029,3,2,405,5,50,,9,,23,20.61
EDISON-BETHUNE CHARTER ACADEMY,Fresno County Office of Education,691007,6019,,22,383,160,7,,4,,27.13,21.23
EDITH B. STOREY ELEMENTARY,Fresno Unified,614550,6019,7,329,564,45,51,2,18,,42,24.19
EDITH LANDELS ELEMENTARY,Mountain View Whisman,626280,6085,,108,193,10,186,2,68,,25.04,22.64
EDNA BATEY ELEMENTARY,Elk Grove Unified,612330,6067,11,356,141,59,312,19,99,,42,23.74
EDNA BEAMAN ELEMENTARY,Eastern Sierra Unified,611870,6051,3,,3,,10,,,,2,8
EDNA BREWER MIDDLE,Oakland Unified,628050,6001,6,254,163,206,122,4,55,,37.1,21.83
EDNA HILL MIDDLE,Brentwood Union Elementary,605910,6013,4,60,373,64,431,10,46,,40.49,24.4
EDNA MAGUIRE ELEMENTARY,Mill Valley Elementary,624870,6041,4,25,58,2,424,2,58,,27,21.22
EDNOVATE - EAST COLLEGE PREP,Los Angeles Unified,622710,6037,1,7,197,7,2,0,4,,10,21.8
EDNOVATE - USC HYBRID HIGH COLLEGE PREP,Los Angeles Unified,622710,6037,1,15,384,102,2,,4,,19.21,26.44
EDUCATIONAL PARTNERSHIP HIGH,Long Beach Unified,622500,6037,4,53,549,105,75,10,8,,20,40.2
EDUCATIONAL TRAINING CENTER,Needles Unified,626760,6071,1,0,4,1,11,0,0,,0.68,25
EDUHSD VIRTUAL ACADEMY AT SHENANDOAH,El Dorado Union High,612070,6017,1,2,5,2,60,,10,,3.25,24.62
EDWARD B. COLE ACADEMY,Santa Ana Unified,635310,6059,11,,383,1,2,,6,,16,25.19
EDWARD C. MERLO INSTITUTE OF ENVIRONMENTAL STUDIES,Stockton Unified,638010,6077,2,6,192,4,7,,1,,11,19.27
EDWARD FITZGERALD ELEMENTARY,Rialto Unified,632370,6071,2,13,343,52,35,,9,,19,23.89
EDWARD HARRIS JR. MIDDLE,Elk Grove Unified,612330,6067,2,439,294,181,87,27,75,,53.17,20.78
EDWARD J. RICHARDSON MIDDLE,Torrance Unified,639420,6037,3,199,116,9,281,1,82,,26.82,25.76
EDWARD KEMBLE ELEMENTARY,Sacramento City Unified,633840,6067,2,123,278,106,14,15,9,,23.2,23.58
EDWARD M. DOWNER ELEMENTARY,West Contra Costa Unified,632550,6013,1,25,526,36,16,2,3,,25,24.36
EDWARD R. ROYBAL LEARNING CENTER,Los Angeles Unified,622710,6037,6,90,1055,30,13,1,5,,54,22.22
EDWARD RUSSELL ELEMENTARY,Garden Grove Unified,614880,6059,,17,556,1,7,1,,,25,23.28
EDWIN MARKHAM ELEMENTARY,Vacaville Unified,640590,6095,6,25,672,46,117,5,22,,36.8,24.27
EDWIN MARKHAM MIDDLE,Placerville Union Elementary,630780,6017,2,5,99,1,225,1,25,,18.6,19.25
EDWIN MARKHAM MIDDLE,Los Angeles Unified,622710,6037,,3,580,173,4,,2,,40,19.05
EDWIN RHODES ELEMENTARY,Chino Valley Unified,608460,6071,,247,344,47,178,2,10,,31,26.71
EEL RIVER CHARTER,Round Valley Unified,633720,6045,11,,22,,12,,1,,3,15.33
EEL RIVER COMMUNITY,Humboldt County Office of Education,691009,6023,1,0,9,0,39,0,9,,2,29
EISENHOWER SENIOR HIGH,Rialto Unified,632370,6071,3,23,2074,241,64,18,20,,107.38,22.75
EJE ELEMENTARY ACADEMY CHARTER,Cajon Valley Union,606810,6073,,5,456,28,44,2,2,,22,24.41
EJE MIDDLE ACADEMY,Cajon Valley Union,606810,6073,,,184,5,4,,2,,8,24.38
EL CAJON VALLEY HIGH,Grossmont Union High,616230,6073,4,88,748,133,788,7,47,,74.99,24.2
EL CAMINO CREEK ELEMENTARY,Encinitas Union Elementary,612750,6073,,42,50,6,504,,13,,24.5,25.1
EL CAMINO ELEMENTARY,Ontario-Montclair,628470,6071,5,11,401,13,13,,4,,21,21.29
EL CAMINO ELEMENTARY,Goleta Union Elementary,615510,6083,,14,199,2,25,,4,,12,20.33
EL CAMINO FUNDAMENTAL HIGH,San Juan Unified,634620,6067,14,66,372,154,829,17,42,,62.51,23.9
EL CAMINO HIGH,Oceanside Unified,628250,6073,5,293,1587,181,670,69,107,,115.57,25.2
EL CAMINO HIGH,South San Francisco Unified,637530,6081,1,651,457,18,127,13,90,,57.2,23.72
EL CAMINO HIGH,Cotati-Rohnert Park Unified,609940,6097,1,2,36,2,29,1,0,,1.1,64.55
EL CAMINO HIGH,Ventura Unified,640980,6111,2,11,69,4,167,1,8,,9,29.11
EL CAMINO HIGH (CONTINUATION),Norwalk-La Mirada Unified,627690,6037,1,4,221,5,25,1,3,,19.25,13.51
EL CAMINO JUNIOR HIGH,Santa Maria-Bonita,605580,6083,1,8,778,2,9,,,,36.9,21.63
EL CAMINO REAL CHARTER HIGH,Los Angeles Unified,622710,6037,14,499,1019,220,1641,10,257,,125.99,29.05
EL CAMINO REAL CONTINUATION HIGH,Placentia-Yorba Linda Unified,630660,6059,0,3,131,6,45,0,1,,13.23,14.06
EL CAMINO REAL ELEMENTARY,Arvin Union,603270,6029,,3,830,2,42,,2,,39,22.54
EL CAPITAN ELEMENTARY,Delhi Unified,600039,6047,,9,268,,22,,2,,17,17.71
EL CAPITAN HIGH,Merced Union High,624660,6047,6,221,1001,94,286,1,18,,69.2,23.51
EL CAPITAN HIGH,Grossmont Union High,616230,6073,32,22,479,28,946,4,89,,74.3,21.53
EL CAPITAN MIDDLE,Central Unified,607970,6019,2,110,471,59,63,6,4,,30.22,23.66
EL CARMELO ELEMENTARY,Palo Alto Unified,629610,6085,,129,52,4,119,3,52,,17.1,20.99
EL CENTRO DISTRICT WIDE PRESCHOOL,El Centro Elementary,612030,6025,,,,,,,,,,
EL CENTRO ELEMENTARY,Napa Valley Unified,626640,6055,,4,108,,85,,1,,10,19.8
EL CENTRO JR./SR. HIGH,Sacramento County Office of Education,691027,6067,0,1,28,40,14,2,14,,12,8.25
EL CERRITO ELEMENTARY,La Habra City Elementary,620190,6059,,4,325,3,14,,2,,13,26.77
EL CERRITO HIGH,West Contra Costa Unified,632550,6013,7,296,406,370,343,12,26,,60.01,24.33
EL CERRITO MIDDLE,Corona-Norco Unified,609850,6065,7,147,498,88,462,10,41,,47.05,26.63
EL CRYSTAL ELEMENTARY,San Bruno Park Elementary,634230,6081,,46,108,2,59,11,31,,9,28.56
EL DIAMANTE HIGH,Visalia Unified,641160,6107,23,113,1203,49,591,2,44,,80.77,25.07
EL DORADO AVENUE ELEMENTARY,Los Angeles Unified,622710,6037,2,7,486,4,21,,,,24,21.67
EL DORADO COE ADULT EDUCATION,,691006,,,,,,,,,,,
EL DORADO ELEMENTARY,Lancaster Elementary,620880,6037,4,4,385,212,50,4,24,,26,26.27
EL DORADO ELEMENTARY,Stockton Unified,638010,6077,15,21,343,120,58,3,29,,21.5,27.4
EL DORADO ELEMENTARY,San Francisco Unified,634410,6075,,40,81,54,5,11,23,,10,21.4
EL DORADO HIGH,El Dorado Union High,612070,6017,22,16,224,11,823,7,40,,55.68,20.53
EL DORADO HIGH,Placentia-Yorba Linda Unified,630660,6059,3,216,615,26,1005,7,58,,78.03,24.73
EL DORADO MIDDLE,Mt. Diablo Unified,626370,6013,5,67,538,30,212,5,44,,44.6,20.2
EL GABILAN ELEMENTARY,Salinas City Elementary,633930,6053,,4,768,8,8,,7,,30,26.5
EL GRANADA ELEMENTARY,Cabrillo Unified,606780,6081,,11,265,1,130,3,20,,18.5,23.24
EL MARINO ELEMENTARY,Culver City Unified,610260,6037,,133,328,29,179,,154,,35,23.51
EL MIRAGE,Adelanto Elementary,601710,6071,,3,111,5,18,1,4,,5,28.4
EL MODENA HIGH,Orange Unified,628650,6059,5,156,1333,34,532,2,30,,93.61,22.35
EL MOLINO HIGH,West Sonoma County Union High,602670,6097,7,11,149,10,408,2,13,,31.8,18.87
EL MONTE ELEMENTARY,Mt. Diablo Unified,626370,6013,2,36,212,20,124,6,43,,21,21.1
EL MONTE HIGH,El Monte Union High,612120,6037,,258,1597,3,7,,1,,83.87,22.25
EL MONTE MIDDLE,Cutler-Orosi Joint Unified,610350,6107,2,32,898,,8,1,,,44.32,21.23
EL MONTE UNION HIGH SCHOOL COMMUNITY DAY,El Monte Union High,612120,6037,0,0,30,1,2,0,0,,4.15,7.95
EL MONTE/ROSEMEAD ADULT,,612120,,,,,,,,,,,
EL MORRO ELEMENTARY,Laguna Beach Unified,620370,6059,3,36,72,7,371,2,38,,27,19.59
EL NIDO ELEMENTARY,El Nido Elementary,612150,6047,2,2,138,,22,,,,9,18.22
