School Name,Agency Name,Agency ID,County Number,American Indian/Alaska Native,Asian or Asian/Pacific Islander,Hispanic,Black,White,Hawaiian Nat./Pacific Isl.,Two or More Races,Total Race/Ethnicity,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio
ACALANES CENTER FOR INDEPENDENT STUDY,Acalanes Union High,601650,6013,,3,4,1,25,1,1,,3.2,10.94
ACALANES HIGH,Acalanes Union High,601650,6013,,160,103,13,987,3,94,,67,20.3
ACCELERATED,Los Angeles Unified,622710,6037,,4,746,21,9,,2,,30,26.07
ACCELERATED ACHIEVEMENT ACADEMY,Hollister,617340,6069,,5,90,1,35,1,7,,6.03,23.05
ACCELERATED ACHIEVEMENT ACADEMY,Ukiah Unified,640300,6045,5,2,71,,65,,10,,7.46,20.51
ACCELERATED CHARTER ELEMENTARY,Los Angeles Unified,622710,6037,1,,434,7,2,,,,19,23.37
ACCELERATED CHARTER HIGH,Tulare Joint Union High,639930,6107,3,1,127,6,17,0,2,,2,78
ACCESS COUNTY COMMUNITY,Orange County Department of Education,691024,6059,13,45,1589,48,373,11,58,,106,20.16
ACCESS JUVENILE HALL,Orange County Department of Education,691024,6059,3,7,328,10,32,4,4,,42,9.24
ACE CHARTER HIGH,East Side Union High,611820,6085,,3,294,2,3,,,,12.3,24.55
ACE EMPOWER ACADEMY,Santa Clara County Office of Education,691035,6085,,6,350,,3,,,,16,22.44
ACE ESPERANZA MIDDLE,Franklin-McKinley Elementary,614370,6085,,4,264,1,6,,3,,11,25.27
ACE INSPIRE ACADEMY,San Jose Unified,634590,6085,2,1,177,4,2,2,0,,8,23.5
ACHIEVE ACADEMY,Oakland Unified,628050,6001,1,31,638,23,20,2,4,,30,23.97
ACHIEVE CHARTER SCHOOL OF PARADISE INC.,Paradise Unified,629820,6007,9,5,31,4,180,,4,,9.2,25.33
ACORN WOODLAND ELEMENTARY,Oakland Unified,628050,6001,,4,261,23,7,,3,,16,18.63
ADA CLEGG ELEMENTARY,Westminster,642150,6059,2,168,212,3,133,3,33,,23.5,23.57
ADA GIVENS ELEMENTARY,Merced City Elementary,624600,6047,,38,306,18,118,,10,,19,25.79
ADA S. NELSON ELEMENTARY,Los Nietos,622890,6037,,3,424,1,4,,4,,16.83,25.91
ADA W. HARRIS ELEMENTARY,Cardiff Elementary,607470,6073,,6,68,,273,,20,,17,21.59
ADALINE E. KENT MIDDLE,Kentfield Elementary,619380,6041,2,33,62,7,419,1,76,,36.4,16.48
ADAM (WILLIAM LAIRD) ELEMENTARY,Santa Maria-Bonita,605580,6083,,2,973,1,14,,,,37,26.76
ADAMS (J. DOUGLAS) MIDDLE,Brentwood Union Elementary,605910,6013,2,189,295,126,468,9,74,,46.3,25.12
ADAMS ELEMENTARY,Newport-Mesa Unified,627240,6059,,15,349,8,62,2,7,,19,23.32
ADAMS ELEMENTARY,Santa Ana Unified,635310,6059,,23,463,,2,,2,,20,24.5
ADAMS ELEMENTARY,Riverside Unified,633150,6065,3,12,422,28,62,4,5,,21.9,24.47
ADAMS ELEMENTARY,Stockton Unified,638010,6077,4,89,267,115,43,4,33,,17.24,32.19
ADAMS ELEMENTARY,Santa Barbara Unified,601414,6083,1,9,405,8,132,,,,21,26.43
ADAMS ELEMENTARY,San Diego Unified,634320,6073,1,5,216,25,21,,15,,13.8,20.51
ADAMS MIDDLE,Redondo Beach Unified,600032,6037,2,108,293,62,396,4,139,,41.17,24.39
ADDAMS ELEMENTARY,Long Beach Unified,622500,6037,2,45,675,125,12,17,21,,34,26.38
ADDAMS ELEMENTARY,Fresno Unified,614550,6019,3,56,617,55,59,3,10,,32,25.09
ADDISON ELEMENTARY,Palo Alto Unified,629610,6085,,86,65,5,218,3,60,,23.28,18.77
ADELANTE CHARTER,Santa Barbara Unified,601414,6083,,2,245,,34,,2,,13,21.77
ADELANTE DUAL LANGUAGE ACADEMY,Alum Rock Union Elementary,602310,6085,,9,561,9,17,1,6,,27.5,21.93
ADELANTE HIGH,Riverbank Unified,600061,6099,,,47,,8,,,,3.25,16.92
ADELANTE HIGH,Reef-Sunset Unified,632270,6031,0,0,2,0,0,0,0,,0.5,4
ADELANTE HIGH (CONTINUATION),Roseville Joint Union High,633630,6061,4,5,41,3,39,0,6,,10.72,9.14
ADELANTE SPANISH IMMERSION,Redwood City Elementary,632130,6081,,3,331,3,114,,12,,18,25.72
ADELANTO ELEMENTARY,Adelanto Elementary,601710,6071,8,,189,134,38,2,14,,16,24.06
ADELANTO HIGH,Victor Valley Union High,636972,6071,6,28,1190,441,83,3,46,,66,27.23
ADELE HARRISON MIDDLE,Sonoma Valley Unified,637200,6097,4,7,202,1,200,1,10,,24.72,17.19
ADOBE BLUFFS ELEMENTARY,Poway Unified,631530,6073,,120,39,1,152,2,31,,15,23
ADOLFO CAMARILLO HIGH,Oxnard Union High,629270,6111,2,230,940,46,1064,9,75,,91.38,25.89
ADRIAN WILCOX HIGH,Santa Clara Unified,635430,6085,7,681,711,50,401,15,77,,85.53,22.71
ADULT EDUCATION,,608130,,,,,,,,,,,
ADULT EDUCATION,,614880,,,,,,,,,,,
ADULT TRANSITION PROGRAM,Bonita Unified,605610,6037,,1,9,,5,,1,,1,16
ADVANCED LEARNING ACADEMY,Santa Ana Unified,635310,6059,1,2,224,1,5,0,3,,10,23.6
AEOLIAN ELEMENTARY,Los Nietos,622890,6037,2,2,459,3,16,1,12,,22.83,21.68
AFFLERBAUGH-PAIGE CAMP,Los Angeles County Office of Education,691078,6037,1,1,58,20,5,0,0,,12.56,6.77
AGGELER COMMUNITY DAY,Los Angeles Unified,622710,6037,1,1,50,18,10,1,,,9,9
AGNES J. JOHNSON  ELEMENTARY,Southern Humboldt Joint Unified,637590,6023,,,15,1,52,6,2,,4,19
AGNES L. SMITH ELEMENTARY,Huntington Beach City Elementary,618030,6059,4,55,180,9,496,1,84,,29,28.59
AGNES M. BAPTIST ELEMENTARY,Stanislaus Union Elementary,637950,6099,6,102,263,42,151,8,50,,23,27.04
AGNES WARE STANLEY ELEMENTARY,Garden Grove Unified,614880,6059,,117,190,1,33,2,11,,14,25.29
AGOURA HIGH,Las Virgenes Unified,621000,6037,13,140,221,41,1589,3,80,,84,24.85
AGUA CALIENTE ELEMENTARY,Palm Springs Unified,629550,6065,,4,552,1,2,1,7,,22,25.77
AHWAHNEE HIGH,Yosemite Unified,600160,6039,2,0,5,0,12,0,2,,1.15,18.26
AHWAHNEE MIDDLE,Fresno Unified,614550,6019,7,68,460,68,92,6,14,,38.4,18.62
AILEEN COLBURN ELEMENTARY,Atwater Elementary,603420,6047,3,8,346,7,46,,1,,16,25.69
AKERS ELEMENTARY,Central Union Elementary,607980,6031,9,43,158,77,321,9,64,,35.5,19.18
AKIRA YOKOMI ELEMENTARY,Fresno Unified,614550,6019,3,30,663,50,40,2,12,,32,25
ALAIN LEROY LOCKE COLLEGE PREPARATORY ACADEMY,Los Angeles Unified,622710,6037,6,,1134,422,4,,20,,87.01,18.23
ALAMEDA COMMUNITY LEARNING CENTER,Alameda Unified,601770,6001,1,92,64,27,149,,41,,15.86,23.58
ALAMEDA COUNTY COMMUNITY,Alameda County Office of Education,691051,6001,0,12,109,95,13,2,11,,14.5,16.69
ALAMEDA COUNTY JUVENILE HALL/COURT,Alameda County Office of Education,691051,6001,0,1,21,58,2,0,5,,9,9.67
ALAMEDA COUNTY SPECIAL EDUCATION,Alameda County Office of Education,691051,6001,,,,,,,,,,
ALAMEDA ELEMENTARY,Downey Unified,611460,6037,2,17,546,16,24,3,2,,26,23.46
ALAMEDA HIGH,Alameda Unified,601770,6001,4,819,201,111,556,9,86,,77.13,23.16
ALAMEDA SCIENCE AND TECHNOLOGY INSTITUTE,Alameda Unified,601770,6001,,119,17,7,30,4,6,,6.1,30
ALAMITOS INTERMEDIATE,Garden Grove Unified,614880,6059,1,253,450,8,37,10,6,,32.17,23.78
ALAMO ELEMENTARY,San Ramon Valley Unified,635130,6013,1,48,33,5,232,,43,,15.07,24.02
ALAMO ELEMENTARY,San Francisco Unified,634410,6075,,258,52,6,139,6,72,,25,21.32
