School Name,State Name [Public School] Latest available year,Agency Name [Public School] 2016-17,Agency ID - NCES Assigned [Public School] Latest available year,American Indian/Alaska Native Students [Public School] 2016-17,Asian or Asian/Pacific Islander Students [Public School] 2016-17,Hispanic Students [Public School] 2016-17,Black Students [Public School] 2016-17,White Students [Public School] 2016-17,Hawaiian Nat./Pacific Isl. Students [Public School] 2016-17,Two or More Races Students [Public School] 2016-17,Total Race/Ethnicity [Public School] 2016-17
ACCELERATED ACHIEVEMENT ACADEMY,California,Ukiah Unified,640300,5,2,71,–,65,–,10,†
ACCELERATED CHARTER ELEMENTARY,California,Los Angeles Unified,622710,1,–,434,7,2,–,–,†
ACCELERATED CHARTER HIGH,CALIFORNIA,Tulare Joint Union High,639930,3,1,127,6,17,0,2,†
ACCESS COUNTY COMMUNITY,California,Orange County Department of Education,691024,13,45,1589,48,373,11,58,†
ACCESS JUVENILE HALL,California,Orange County Department of Education,691024,3,7,328,10,32,4,4,†
ACE CHARTER HIGH,California,East Side Union High,611820,–,3,294,2,3,–,–,†
ACE EMPOWER ACADEMY,California,Santa Clara County Office of Education,691035,–,6,350,–,3,–,–,†
ACE ESPERANZA MIDDLE,CALIFORNIA,Franklin-McKinley Elementary,614370,–,4,264,1,6,–,3,†
ACE INSPIRE ACADEMY,CALIFORNIA,San Jose Unified,634590,2,1,177,4,2,2,0,†
ACHIEVE ACADEMY,California,Oakland Unified,628050,1,31,638,23,20,2,4,†
ACHIEVE CHARTER SCHOOL OF PARADISE INC.,California,Paradise Unified,629820,9,5,31,4,180,–,4,†
ACORN WOODLAND ELEMENTARY,California,Oakland Unified,628050,–,4,261,23,7,–,3,†
ADA CLEGG ELEMENTARY,California,Westminster,642150,2,168,212,3,133,3,33,†
ADA GIVENS ELEMENTARY,California,Merced City Elementary,624600,–,38,306,18,118,–,10,†
ADA S. NELSON ELEMENTARY,California,Los Nietos,622890,–,3,424,1,4,–,4,†
ADA W. HARRIS ELEMENTARY,California,Cardiff Elementary,607470,–,6,68,–,273,–,20,†
ADALINE E. KENT MIDDLE,California,Kentfield Elementary,619380,2,33,62,7,419,1,76,†
ADAM (WILLIAM LAIRD) ELEMENTARY,California,Santa Maria-Bonita,605580,–,2,973,1,14,–,–,†
ADAMS (J. DOUGLAS) MIDDLE,California,Brentwood Union Elementary,605910,2,189,295,126,468,9,74,†
ADAMS ELEMENTARY,California,Newport-Mesa Unified,627240,–,15,349,8,62,2,7,†
ADAMS ELEMENTARY,California,Santa Ana Unified,635310,–,23,463,–,2,–,2,†
ADAMS ELEMENTARY,California,Riverside Unified,633150,3,12,422,28,62,4,5,†
ADAMS ELEMENTARY,California,Stockton Unified,638010,4,89,267,115,43,4,33,†
ADAMS ELEMENTARY,California,Santa Barbara Unified,601414,1,9,405,8,132,–,–,†
ADAMS ELEMENTARY,California,San Diego Unified,634320,1,5,216,25,21,–,15,†
ADAMS MIDDLE,California,Redondo Beach Unified,600032,2,108,293,62,396,4,139,†
ADDAMS ELEMENTARY,California,Long Beach Unified,622500,2,45,675,125,12,17,21,†
ADDAMS ELEMENTARY,California,Fresno Unified,614550,3,56,617,55,59,3,10,†
ADDISON ELEMENTARY,California,Palo Alto Unified,629610,–,86,65,5,218,3,60,†
ADELANTE CHARTER,California,Santa Barbara Unified,601414,–,2,245,–,34,–,2,†
ADELANTE DUAL LANGUAGE ACADEMY,California,Alum Rock Union Elementary,602310,–,9,561,9,17,1,6,†
