School Name,State Name [Public School] Latest available year,Agency Name [Public School] 2016-17,Agency ID - NCES Assigned [Public School] Latest available year,American Indian/Alaska Native Students [Public School] 2016-17,Asian or Asian/Pacific Islander Students [Public School] 2016-17,Hispanic Students [Public School] 2016-17,Black Students [Public School] 2016-17,White Students [Public School] 2016-17,Hawaiian Nat./Pacific Isl. Students [Public School] 2016-17,Two or More Races Students [Public School] 2016-17,Total Race/Ethnicity [Public School] 2016-17
FARB MIDDLE,California,San Diego Unified,634320,1,28,164,41,137,–,44,†
FARJARDO - LA SEDA PRESCHOOL,California,Rowland Unified,633750,†,†,†,†,†,†,†,†
FARMDALE ELEMENTARY,California,Weaver Union,641880,1,173,601,32,47,5,20,†
FARMDALE ELEMENTARY,California,Los Angeles Unified,622710,3,21,472,1,24,–,2,†
FARMERSVILLE HIGH,California,Farmersville Unified,600035,2,2,690,2,27,1,–,†
FARMERSVILLE JUNIOR HIGH,California,Farmersville Unified,600035,–,2,360,2,24,–,1,†
FARMINGTON ELEMENTARY,California,Escalon Unified,612840,–,–,85,–,20,–,1,†
FARNHAM CHARTER,California,Cambrian,607140,3,114,103,21,214,–,62,†
FARR AVENUE ELEMENTARY,California,Escondido Union,612880,1,10,643,12,18,–,3,†
FARRAGUT ACADEMY,California,Vallejo City Unified,640740,0,2,9,27,2,0,0,†
FARRAGUT ELEMENTARY,California,Culver City Unified,610260,1,87,111,46,279,1,47,†
FATHER KEITH B. KENNY,California,Sacramento City Unified,633840,7,48,198,109,10,5,21,†
FAY ELEMENTARY,California,San Diego Unified,634320,2,125,407,124,15,3,20,†
FAYLANE ELEMENTARY,California,Garden Grove Unified,614880,–,188,273,3,74,1,4,†
FEASTER (MAE L.) CHARTER,California,Chula Vista Elementary,608610,2,32,1122,31,40,2,6,†
FEATHER FALLS ELEMENTARY,California,Feather Falls Union Elementary,613710,3,0,2,1,3,0,4,†
FEATHER RIVER ACADEMY,California,Sutter County Office of Education,691042,3,2,47,2,42,–,8,†
FEDDE (PHARIS F.) MIDDLE,California,ABC Unified,601620,3,21,365,22,5,5,3,†
FEDERAL TERRACE ELEMENTARY,California,Vallejo City Unified,640740,–,50,165,114,24,8,30,†
FEINSTEIN (DIANNE) ELEMENTARY,California,San Francisco Unified,634410,1,184,60,12,161,–,81,†
FELICITA ELEMENTARY,California,Escondido Union,612880,–,5,604,5,11,–,6,†
FELICITAS AND GONZALO MENDEZ HIGH,California,Los Angeles Unified,622710,5,3,974,6,6,–,2,†
FELIX J. APPLEBY ELEMENTARY,California,Palo Verde Unified,629640,3,3,537,48,118,1,16,†
FELTON ELEMENTARY,California,Lennox,621420,–,5,552,8,2,4,15,†
FENTON AVENUE CHARTER,California,Los Angeles Unified,622710,1,8,725,35,4,–,–,†
FENTON CHARTER LEADERSHIP ACADEMY,CALIFORNIA,Los Angeles Unified,622710,1,8,193,5,22,0,3,†
FENTON PRIMARY CENTER,California,Los Angeles Unified,622710,–,14,732,44,15,1,1,†
FENTON STEM ACAD: ELEM CENTER FOR SCI TECH ENGR AND MATH,CALIFORNIA,Los Angeles Unified,622710,0,14,212,7,25,0,2,†
FERN BACON MIDDLE,California,Sacramento City Unified,633840,3,158,409,129,20,24,16,†
FERN DRIVE ELEMENTARY,California,Fullerton Elementary,614730,9,89,232,4,164,1,35,†
FERN ELEMENTARY,California,Torrance Unified,639420,1,127,244,21,148,3,54,†
FERNANDO R. LEDESMA CONTINUATION HIGH,California,El Monte Union High,612120,–,3,350,–,4,–,2,†
FERNANDO RIVERA INTERMEDIATE,California,Jefferson Elementary,618870,1,325,124,5,17,4,30,†
FERNANGELES ELEMENTARY,California,Los Angeles Unified,622710,–,4,651,8,23,–,1,†
FERNDALE ELEMENTARY,California,Ferndale Unified,600037,17,2,88,3,245,2,3,†
FERNDALE HIGH,California,Ferndale Unified,600037,4,1,28,–,120,–,–,†
FERRIS SPANGER ELEMENTARY,California,Roseville City Elementary,633600,4,15,120,4,264,2,31,†
FESLER (ISAAC) JUNIOR HIGH,California,Santa Maria-Bonita,605580,2,15,870,7,38,1,1,†
FIDDYMENT FARM,California,Roseville City Elementary,633600,4,97,108,12,339,–,92,†
FIELD (EUGENE) ELEMENTARY,California,Pasadena Unified,629940,–,200,93,41,64,3,98,†
FIELD ELEMENTARY,California,San Diego Unified,634320,2,11,224,11,26,0,22,†
FIELDBROOK ELEMENTARY,California,Fieldbrook Elementary,613740,9,2,6,2,112,–,15,†
FIESTA GARDENS INTERNATIONAL ELEMENTARY,California,San Mateo-Foster City,634920,–,4,436,2,81,4,20,†
FIFTEENTH STREET ELEMENTARY,California,Los Angeles Unified,622710,2,6,462,42,30,2,7,†
FIFTY-FOURTH STREET ELEMENTARY,California,Los Angeles Unified,622710,2,1,60,265,4,–,10,†
FIFTY-NINTH STREET ELEMENTARY,California,Los Angeles Unified,622710,1,1,225,128,3,1,2,†
FIFTY-SECOND STREET ELEMENTARY,California,Los Angeles Unified,622710,–,2,716,136,21,–,6,†
FIGARDEN ELEMENTARY,California,Fresno Unified,614550,3,47,394,82,127,3,36,†
FIGUEROA STREET ELEMENTARY,California,Los Angeles Unified,622710,1,1,344,94,–,–,7,†
FILLMORE ELEMENTARY,California,Stockton Unified,638010,5,39,647,28,68,–,14,†
FILLMORE MIDDLE,California,Fillmore Unified,613800,3,6,813,1,51,–,6,†
FILLMORE SENIOR HIGH,California,Fillmore Unified,613800,2,1,888,–,107,1,5,†
FINE ARTS ACADEMY,California,Atascadero Unified,603300,5,7,37,1,203,2,12,†
FINLEY ELEMENTARY,California,Westminster,642150,2,95,255,3,19,7,–,†
FINNEY (MYRTLE S.) ELEMENTARY,California,Chula Vista Elementary,608610,1,40,290,5,11,3,13,†
FIPPS PRIMARY,California,Riverdale Joint Unified,600040,3,2,391,3,71,1,–,†
FIREBAUGH COMMUNITY DAY,California,Firebaugh-Las Deltas Unified,613840,0,0,0,0,0,0,0,†
FIREBAUGH HIGH,California,Firebaugh-Las Deltas Unified,613840,–,–,619,1,38,–,–,†
FIREBAUGH MIDDLE,California,Firebaugh-Las Deltas Unified,613840,–,1,484,2,20,–,2,†
FIRST AVENUE MIDDLE,California,Arcadia Unified,602970,1,554,112,18,90,1,10,†
FIRST STREET,California,Western Placer Unified,642140,1,12,292,2,126,–,–,†
FIRST STREET ELEMENTARY,California,Los Angeles Unified,622710,–,1,637,3,13,–,1,†
FISHBURN AVENUE ELEMENTARY,California,Los Angeles Unified,622710,2,1,517,2,19,–,1,†
FIVE KEYS ADULT SCHOOL (SF SHERIFF'S),California,San Francisco Unified,634410,2,9,41,51,36,4,11,†
FIVE KEYS CHARTER (SF SHERIFF'S),California,San Francisco Unified,634410,1,15,155,101,58,3,4,†
FIVE KEYS INDEPENDENCE HS (SF SHERIFF'S),California,San Francisco Unified,634410,40,87,1637,638,234,20,70,†
FLETCHER DRIVE ELEMENTARY,California,Los Angeles Unified,622710,–,25,311,3,6,–,–,†
FLETCHER ELEMENTARY,California,Orange Unified,628650,3,82,221,3,78,1,23,†
FLETCHER ELEMENTARY,California,San Diego Unified,634320,–,29,75,24,53,3,15,†
FLETCHER HILLS ELEMENTARY,California,La Mesa-Spring Valley,620250,–,32,148,15,410,5,50,†
FLETCHER WALKER ELEMENTARY,California,Westwood Unified,642300,6,2,5,4,74,0,1,†
FLORA VISTA ELEMENTARY,California,Encinitas Union Elementary,612750,5,21,51,2,351,–,27,†
FLORENCE AVENUE ELEMENTARY,California,Los Angeles Unified,622710,–,–,724,9,17,–,3,†
FLORENCE E. RATA,California,Fresno Unified,614550,–,4,34,2,7,–,–,†
FLORENCE ELEMENTARY,California,San Diego Unified,634320,1,9,148,33,30,–,23,†
FLORENCE GRIFFITH JOYNER ELEMENTARY,California,Los Angeles Unified,622710,–,–,369,158,25,–,6,†
FLORENCE MARKOFER ELEMENTARY,California,Elk Grove Unified,612330,5,54,180,39,353,5,68,†
FLORENCE NIGHTINGALE MIDDLE,California,Los Angeles Unified,622710,2,187,525,8,6,1,5,†
FLORIDA STREET DISCOVERY CENTER,California,Banning Unified,603840,3,3,50,6,12,–,1,†
FLORIN ELEMENTARY,California,Elk Grove Unified,612330,2,191,274,57,34,3,26,†
FLORIN HIGH,California,Elk Grove Unified,612330,5,571,483,185,79,41,45,†
FLORY ACADEMY OF SCIENCES AND TECHNOLOGY,California,Moorpark Unified,625690,1,63,268,4,98,1,27,†
FLOURNOY ELEMENTARY,California,Flournoy Union Elementary,613860,–,–,3,–,18,–,–,†
FLOWERY ELEMENTARY,California,Sonoma Valley Unified,637200,–,5,232,–,80,–,13,†
FLOYD A. SCHELBY,California,Merced County Office of Education,691020,0,2,42,0,14,0,1,†
FLOYD I. MARCHUS,California,Contra Costa County Office of Education,691005,–,4,17,19,65,1,3,†
FLOYD M. STORK ELEMENTARY,California,Alta Loma Elementary,602160,6,68,263,28,376,5,4,†
FLYING HILLS ELEMENTARY,California,Cajon Valley Union,606810,1,10,198,42,258,5,57,†
FLYNN (LEONARD R.) ELEMENTARY,California,San Francisco Unified,634410,1,7,287,51,60,4,38,†
FOLSOM CORDOVA K-8 COMMUNITY CHARTER,California,Folsom-Cordova Unified,613890,–,8,19,20,91,–,13,†
FOLSOM HIGH,California,Folsom-Cordova Unified,613890,7,452,314,84,1448,6,108,†
FOLSOM HILLS ELEMENTARY,California,Folsom-Cordova Unified,613890,1,61,97,5,389,–,39,†
FOLSOM LAKE HIGH,California,Folsom-Cordova Unified,613890,2,10,15,6,61,0,10,†
FOLSOM MIDDLE,California,Folsom-Cordova Unified,613890,7,229,157,26,965,2,59,†
FONTANA A. B. MILLER HIGH,California,Fontana Unified,613920,8,33,1963,171,84,7,9,†
FONTANA HIGH,California,Fontana Unified,613920,1,12,2317,61,64,9,7,†
FONTANA MIDDLE,California,Fontana Unified,613920,–,4,1117,35,29,1,5,†
FOOTHILL ALTERNATIVE HIGH,California,Carpinteria Unified,607560,0,0,9,0,3,0,0,†
FOOTHILL COMMUNITY DAY,California,Newman-Crows Landing Unified,627200,0,0,5,0,4,0,0,†
FOOTHILL ELEMENTARY,California,Corona-Norco Unified,609850,4,117,439,51,293,3,24,†
FOOTHILL ELEMENTARY,California,Alvord Unified,602430,–,14,513,8,25,–,7,†
FOOTHILL ELEMENTARY,California,Goleta Union Elementary,615510,–,21,116,3,273,–,35,†
FOOTHILL ELEMENTARY,California,Saratoga Union Elementary,635910,1,176,21,2,102,–,37,†
FOOTHILL ELEMENTARY,California,Sierra Unified,636805,102,16,126,6,397,–,6,†
FOOTHILL ELEMENTARY,California,Monterey Peninsula Unified,625530,2,15,195,11,78,11,10,†
FOOTHILL ELEMENTARY,California,Pittsburg Unified,630600,2,46,361,79,53,6,30,†
FOOTHILL HIGH,California,Pleasanton Unified,600020,7,842,197,42,986,7,67,†
FOOTHILL HIGH,California,Twin Rivers Unified,601332,6,82,478,210,339,16,52,†
FOOTHILL HIGH,California,East Side Union High,611820,1,22,285,9,4,3,3,†
FOOTHILL HIGH,California,Shasta Union High,636600,43,25,144,6,1049,3,62,†
FOOTHILL HIGH,California,Tustin Unified,640150,9,195,1082,27,1154,5,63,†
FOOTHILL HIGH,California,Kern High,619540,10,15,1821,57,129,5,8,†
FOOTHILL HIGH (ALTERNATIVE),California,Yosemite Unified,600160,0,0,0,0,0,0,0,†
FOOTHILL INTERMEDIATE,California,Marysville Joint Unified,624090,20,3,28,5,125,1,25,†
FOOTHILL KNOLLS STEM ACADEMY OF INNOVATION,California,Upland Unified,600016,4,41,344,40,146,2,10,†
FOOTHILL LEADERSHIP ACADEMY,CALIFORNIA,Tuolumne County Superintendent of Schools,691046,–,5,21,2,99,–,6,†
FOOTHILL MIDDLE,California,Azusa Unified,603600,1,9,521,12,21,–,1,†
FOOTHILL MIDDLE,California,Mt. Diablo Unified,626370,2,176,118,10,556,9,119,†
FOOTHILL OAK ELEMENTARY,California,Vista Unified,641190,1,6,638,12,18,3,9,†
FOOTHILL OAKS ELEMENTARY,California,Twin Rivers Unified,601332,2,20,192,74,201,4,43,†
FOOTHILL PLUS,California,Shasta Union High,636600,2,–,6,1,22,–,2,†
FOOTHILL RANCH ELEMENTARY,California,Saddleback Valley Unified,633860,–,314,169,13,520,1,131,†
FOOTHILL RANCH MIDDLE,California,Twin Rivers Unified,601332,3,47,280,126,150,8,39,†
FOOTHILL TECHNOLOGY HIGH,California,Ventura Unified,640980,8,49,351,7,564,4,44,†
FOOTHILLS HIGH,California,San Marcos Unified,634880,1,–,35,2,15,–,–,†
FOOTHILLS MIDDLE,California,Arcadia Unified,602970,–,465,104,17,149,–,7,†
FORD BOULEVARD ELEMENTARY,California,Los Angeles Unified,622710,0,1,1038,0,28,0,2,†
FORD ELEMENTARY,California,West Contra Costa Unified,632550,1,25,386,34,18,5,7,†
FOREST CHARTER,California,Nevada County Office of Education,691023,15,10,57,5,630,3,11,†
FOREST GROVE ELEMENTARY,California,Pacific Grove Unified,629370,1,42,92,8,285,2,43,†
FOREST HILL ELEMENTARY,California,Campbell Union,607200,–,252,85,23,219,1,74,†
FOREST PARK ELEMENTARY,California,Fremont Unified,614400,–,919,32,4,33,8,15,†
FOREST RANCH CHARTER,California,Chico Unified,608370,7,–,2,2,109,–,8,†
FORESTHILL DIVIDE,California,Foresthill Union Elementary,613980,8,5,41,6,322,2,14,†
FORESTHILL HIGH,California,Placer Union High,630750,4,–,26,1,154,–,15,†
FORESTVILLE ACADEMY,California,Forestville Union Elementary,614010,3,2,77,–,161,1,20,†
FORESTVILLE ELEMENTARY,California,Forestville Union Elementary,614010,1,–,21,1,50,–,3,†
FORKNER ELEMENTARY,California,Fresno Unified,614550,4,44,235,62,186,2,32,†
FORKS OF SALMON ELEMENTARY,California,Forks of Salmon Elementary,614040,0,0,1,0,8,0,1,†
FORT BRAGG HIGH,California,Fort Bragg Unified,614070,7,8,207,5,242,–,25,†
FORT BRAGG MIDDLE,California,Fort Bragg Unified,614070,5,3,165,4,201,–,25,†
FORT IRWIN MIDDLE,California,Silver Valley Unified,636820,5,9,75,49,103,15,32,†
FORT JONES ELEMENTARY,California,Scott Valley Unified,600159,38,2,15,–,71,–,8,†
FORT MILLER MIDDLE,California,Fresno Unified,614550,7,35,443,88,65,2,15,†
FORT ROSS ELEMENTARY,California,Fort Ross Elementary,614130,0,0,12,0,12,0,0,†
FORT SAGE MIDDLE,California,Fort Sage Unified,600011,1,–,2,–,13,–,1,†
FORT WASHINGTON ELEMENTARY,California,Clovis Unified,609030,5,50,253,20,267,–,26,†
FORTUNA MIDDLE,California,Fortuna Elementary,601420,8,5,129,1,108,–,6,†
FORTUNA UNION HIGH,California,Fortuna Union High,614190,33,10,228,3,517,1,74,†
FORTUNE,California,Sacramento County Office of Education,691027,29,46,324,891,21,15,45,†
FORTY-NINER ROP,California,Forty-Niner ROP,600082,0,0,0,0,0,0,0,†
FORTY-NINTH STREET ELEMENTARY,California,Los Angeles Unified,622710,–,1,685,40,11,–,18,†
FORTY-SECOND STREET ELEMENTARY,California,Los Angeles Unified,622710,–,–,64,151,1,1,3,†
FOSHAY LEARNING CENTER,California,Los Angeles Unified,622710,4,8,1603,335,5,1,5,†
FOSKETT RANCH ELEMENTARY,California,Western Placer Unified,642140,4,21,97,10,315,2,5,†
FOSTER CITY ELEMENTARY,California,San Mateo-Foster City,634920,1,528,58,7,211,1,74,†
FOSTER ELEMENTARY,California,San Diego Unified,634320,1,34,124,43,122,4,53,†
FOSTER ELEMENTARY,California,Baldwin Park Unified,603690,3,27,640,2,9,1,–,†
FOSTER ELEMENTARY,California,Compton Unified,609620,–,1,640,133,6,1,7,†
FOSTER ROAD ELEMENTARY,California,Norwalk-La Mirada Unified,627690,–,26,304,6,12,4,8,†
FOULKS RANCH ELEMENTARY,California,Elk Grove Unified,612330,10,115,270,97,297,1,138,†
FOUNTAIN VALLEY HIGH,California,Huntington Beach Union High,618060,28,1967,483,35,993,22,84,†
FOUR CREEKS ELEMENTARY,California,Visalia Unified,641160,8,32,574,20,50,1,19,†
FOURTH STREET ELEMENTARY,California,Los Angeles Unified,622710,2,–,559,3,4,1,4,†
FOURTH STREET PRIMARY CENTER,CALIFORNIA,Los Angeles Unified,622710,–,–,262,–,6,–,3,†
FOWLER ACADEMY COMMUNITY DAY,California,Fowler Unified,614250,0,0,5,0,1,0,0,†
FOWLER ACADEMY COMMUNITY DAY (9-12),California,Fowler Unified,614250,0,0,13,0,0,0,1,†
FOWLER ACADEMY CONTINUATION,California,Fowler Unified,614250,0,0,11,0,0,0,1,†
FOWLER ACADEMY INDEPENDENT STUDY,California,Fowler Unified,614250,0,0,0,1,1,0,0,†
FOWLER HIGH,California,Fowler Unified,614250,1,71,602,11,73,–,–,†
FOX ELEMENTARY,California,Belmont-Redwood Shores Elementary,604530,–,169,33,8,220,3,70,†
FOX ROAD ELEMENTARY,California,Hughson Unified,600060,–,1,201,–,122,1,3,†
FOXBORO ELEMENTARY,California,Travis Unified,639630,2,61,166,45,324,9,85,†
FRANCES ELLEN WATKINS HARPER JUNIOR HIGH,California,Davis Joint Unified,610620,1,114,179,17,295,2,28,†
FRANCIS HOPKINSON ELEMENTARY,California,Los Alamitos Unified,622590,–,73,158,10,398,1,61,†
FRANCIS J. WHITE LEARNING CENTER,California,Woodlake Unified,601418,1,5,497,–,32,–,–,†
FRANCISCO BRAVO MEDICAL MAGNET HIGH,California,Los Angeles Unified,622710,2,243,1474,31,87,2,8,†
FRANCISCO MIDDLE,California,San Francisco Unified,634410,1,413,85,30,50,2,36,†
FRANCISCO SEPULVEDA MIDDLE,California,Los Angeles Unified,622710,4,97,1239,48,43,7,4,†
FRANCOPHONE CHARTER SCHOOL OF OAKLAND,CALIFORNIA,Oakland Unified,628050,0,10,32,34,62,2,31,†
FRANK AUGUSTUS MILLER MIDDLE,California,Riverside Unified,633150,5,107,405,63,385,–,36,†
FRANK D. PARENT,California,Inglewood Unified,618390,4,2,72,445,6,–,10,†
FRANK DEL OLMO ELEMENTARY,California,Los Angeles Unified,622710,3,66,688,16,18,2,3,†
FRANK E. WOODRUFF ELEMENTARY,California,Bellflower Unified,604440,3,29,426,65,28,–,11,†
FRANK J. ZAMBONI,California,Paramount Unified,629850,2,2,854,44,6,2,5,†
FRANK KOHN ELEMENTARY,California,Tulare City,639870,2,10,467,15,137,1,7,†
FRANK L. HUFF ELEMENTARY,California,Mountain View Whisman,626280,–,204,57,4,229,1,77,†
FRANK LANTERMAN,California,Los Angeles Unified,622710,0,9,74,8,1,0,0,†
FRANK LEDESMA ELEMENTARY,California,Soledad Unified,637050,1,7,545,4,14,1,3,†
FRANK M. WRIGHT MIDDLE,California,Imperial Unified,618210,3,18,812,12,133,1,9,†
FRANK OTIS ELEMENTARY,California,Alameda Unified,601770,1,131,86,19,237,–,108,†
FRANK PAUL ELEMENTARY,California,Alisal Union,601950,–,2,743,–,2,–,63,†
FRANK S. GREENE JR. MIDDLE,California,Palo Alto Unified,629610,5,350,151,18,567,16,69,†
FRANK SPARKES ELEMENTARY,California,Winton,642960,1,11,384,1,38,–,1,†
FRANK VESSELS ELEMENTARY,California,Cypress Elementary,610440,3,202,193,9,228,4,43,†
FRANK WEST ELEMENTARY,California,Bakersfield City,603630,1,13,586,82,40,–,15,†
FRANK ZEEK ELEMENTARY,California,Ukiah Unified,640300,17,13,247,2,189,–,16,†
FRANKLIN (BENJAMIN) ELEMENTARY,California,Anaheim Elementary,602610,–,35,740,5,31,4,6,†
FRANKLIN AVENUE ELEMENTARY,California,Los Angeles Unified,622710,0,36,97,6,350,0,11,†
FRANKLIN CLASSICAL MIDDLE,California,Long Beach Unified,622500,2,106,989,144,30,7,20,†
FRANKLIN DELANO ROOSEVELT ELEMENTARY,California,Jefferson Elementary,618870,–,205,131,14,24,3,24,†
FRANKLIN ELEMENTARY,California,Burlingame Elementary,606480,–,214,31,3,207,–,39,†
FRANKLIN ELEMENTARY,California,Oakland Unified,628050,1,427,149,92,12,5,29,†
FRANKLIN ELEMENTARY,California,Alameda Unified,601770,1,58,64,9,167,–,39,†
FRANKLIN ELEMENTARY,California,San Diego Unified,634320,–,63,188,30,26,–,17,†
FRANKLIN ELEMENTARY,California,Loomis Union Elementary,622560,3,13,42,4,395,–,32,†
FRANKLIN ELEMENTARY,California,Elk Grove Unified,612330,1,205,235,66,173,7,82,†
FRANKLIN ELEMENTARY,California,Redlands Unified,632070,3,16,503,43,113,2,25,†
FRANKLIN ELEMENTARY,California,Franklin-McKinley Elementary,614370,2,329,362,12,13,–,8,†
FRANKLIN ELEMENTARY,California,Franklin Elementary,614340,2,45,104,3,277,–,47,†
FRANKLIN ELEMENTARY,California,Santa Barbara Unified,601414,3,1,534,2,23,–,23,†
FRANKLIN ELEMENTARY,California,Bakersfield City,603630,6,7,293,53,116,–,28,†
FRANKLIN ELEMENTARY,California,Santa Ana Unified,635310,1,1,442,1,1,–,–,†
FRANKLIN ELEMENTARY,California,Pasadena Unified,629940,–,4,183,45,9,–,4,†
FRANKLIN ELEMENTARY,California,Santa Monica-Malibu Unified,635700,–,90,70,22,574,–,52,†
FRANKLIN ELEMENTARY,California,Modesto City Elementary,625130,3,48,663,40,57,7,59,†
FRANKLIN ELEMENTARY,California,Merced City Elementary,624600,1,133,348,30,71,–,32,†
FRANKLIN HIGH,California,Stockton Unified,638010,58,129,1648,131,121,6,17,†
FRANKLIN HIGH,California,Elk Grove Unified,612330,10,990,519,340,467,21,189,†
FRANKLIN MIDDLE,California,Vallejo City Unified,640740,4,63,344,216,35,14,17,†
FRAZIER MOUNTAIN HIGH,California,El Tejon Unified,600026,8,7,108,2,143,2,15,†
FRAZIER PARK ELEMENTARY,California,El Tejon Unified,600026,2,2,105,4,138,1,24,†
FRED C. BEYER HIGH,California,Modesto City High,625150,6,84,679,61,672,13,156,†
FRED E. LULL SPECIAL EDUCATION CENTER,California,Los Angeles Unified,622710,0,0,0,0,0,0,0,†
FRED E. WEIBEL ELEMENTARY,California,Fremont Unified,614400,–,719,36,5,56,7,13,†
FRED EKSTRAND ELEMENTARY,California,Bonita Unified,605610,3,26,283,25,88,–,39,†
FRED L. THOMPSON JUNIOR HIGH,California,Panama-Buena Vista Union,606390,3,28,521,107,83,3,8,†
FRED L. WILLIAMS ELEMENTARY,California,Hueneme Elementary,617850,–,58,510,–,3,3,47,†
FRED T. KOREMATSU DISCOVERY ACADEMY,California,Oakland Unified,628050,1,11,308,54,6,8,3,†
FRED T. KOREMATSU ELEMENTARY AT MACE RANCH,California,Davis Joint Unified,610620,2,105,75,14,241,2,47,†
FRED T. KOREMATSU MIDDLE,California,West Contra Costa Unified,632550,–,131,185,119,192,5,11,†
FREDERICK JOYCE ELEMENTARY,California,Twin Rivers Unified,601332,5,41,224,114,128,1,53,†
FREDERIKSEN ELEMENTARY,California,Dublin Unified,600019,2,267,181,44,258,2,91,†
FREEDOM ACADEMY OF IMPERIAL VALLEY,California,Holtville Unified,617430,0,0,7,1,14,0,0,†
FREEDOM CREST ELEMENTARY,California,Menifee Union Elementary,624540,6,33,366,63,237,9,45,†
FREEDOM ELEMENTARY,California,Sylvan Union Elementary,638670,1,114,223,17,270,14,45,†
FREEDOM ELEMENTARY,California,Clovis Unified,609030,2,147,239,17,279,1,39,†
FREEDOM ELEMENTARY,California,Farmersville Unified,600035,1,2,566,–,27,–,–,†
FREEDOM ELEMENTARY,California,Pajaro Valley Unified,629490,–,10,621,2,17,1,1,†
FREEDOM HIGH,California,Liberty Union High,621600,13,222,1094,305,942,20,47,†
FREEDOM HIGH,California,Shasta Union High,636600,0,0,4,3,10,0,2,†
FREEDOM HOME,CALIFORNIA,Golden Valley Unified,600068,3,0,3,0,6,0,0,†
FREEDOM MIDDLE,California,Rosedale Union Elementary,633480,7,42,218,22,350,1,15,†
FREEMAN ELEMENTARY,California,Woodland Joint Unified,643080,5,13,383,6,58,1,9,†
FREESE ELEMENTARY,California,San Diego Unified,634320,–,46,176,53,9,6,29,†
FREMONT ACADEMY OF ENGINEERING AND DESIGN,California,Pomona Unified,631320,1,21,788,10,7,1,2,†
FREMONT ACADEMY OF ENVIRONMENTAL SCIENCE & INNOVATIVE DESIGN,California,Oxnard,629220,4,48,924,49,62,3,20,†
FREMONT ELEMENTARY,California,Riverside Unified,633150,2,12,443,29,48,2,9,†
FREMONT ELEMENTARY,California,Montebello Unified,625470,1,1,425,2,6,–,1,†
FREMONT ELEMENTARY,California,Santa Ana Unified,635310,2,3,631,1,1,1,1,†
FREMONT ELEMENTARY,California,Delano Union Elementary,610890,–,43,495,1,1,–,3,†
FREMONT ELEMENTARY,California,Fowler Unified,614250,–,59,346,2,45,–,3,†
FREMONT ELEMENTARY,California,Fresno Unified,614550,7,16,451,57,49,1,7,†
FREMONT ELEMENTARY,California,Bakersfield City,603630,2,4,732,86,23,–,5,†
FREMONT ELEMENTARY,California,Alhambra Unified,600153,1,137,429,8,17,2,7,†
FREMONT ELEMENTARY,California,Long Beach Unified,622500,1,45,144,25,213,4,91,†
FREMONT ELEMENTARY,California,Antioch Unified,602850,4,9,300,107,35,5,29,†
FREMONT ELEMENTARY,California,Alisal Union,601950,–,–,723,–,1,–,123,†
FREMONT HIGH,California,Fremont Union High,614430,1,599,881,35,381,17,108,†
FREMONT HIGH,California,Oakland Unified,628050,–,34,492,170,16,32,20,†
FREMONT PRIMARY,California,Calipatria Unified,606990,–,2,307,9,20,–,3,†
FRENCH CAMP ELEMENTARY,California,Manteca Unified,623610,3,17,526,4,49,1,12,†
FRENCH GULCH-WHISKEYTOWN ELEMENTARY,California,French Gulch-Whiskeytown Elementary,614490,–,–,5,–,18,–,8,†
FRENCH VALLEY ELEMENTARY,California,Temecula Valley Unified,600028,5,51,324,35,399,3,106,†
FRESHWATER CHARTER MIDDLE,California,Freshwater Elementary,614520,–,1,3,–,45,–,1,†
FRESHWATER ELEMENTARY,California,Freshwater Elementary,614520,9,5,38,2,205,–,33,†
FRESNO CITY AND FRESNO STATE PRESCHOOLS,California,Fresno Unified,614550,†,†,†,†,†,†,†,†
FRESNO COE DISTRICT-WIDE PRESCHOOL,California,Fresno County Office of Education,691007,†,†,†,†,†,†,†,†
FRESNO COUNTY SPECIAL EDUCATION LOCAL PLAN AREA,California,Fresno County Office of Education,691007,7,53,412,37,80,1,37,†
FRESNO FLATS COMMUNITY DAY,California,Bass Lake Joint Union Elementary,604080,0,0,0,1,4,0,1,†
FRESNO HIGH,California,Fresno Unified,614550,14,138,1697,221,210,13,26,†
FRESNO ROP,California,Fresno ROP,600098,0,0,0,0,0,0,0,†
FRICK MIDDLE,California,Oakland Unified,628050,–,5,105,104,5,3,5,†
FRIDA KAHLO HIGH,California,Los Angeles Unified,622710,–,–,126,9,–,–,–,†
FRIENDLY HILLS ELEMENTARY,California,Morongo Unified,625860,–,6,107,22,255,1,16,†
FRIES AVENUE ELEMENTARY,California,Los Angeles Unified,622710,–,2,519,7,19,2,2,†
FRISBIE MIDDLE,California,Rialto Unified,632370,–,6,1061,126,17,6,7,†
FRONTIER ELEMENTARY,California,Twin Rivers Unified,601332,2,12,162,54,213,5,45,†
FRONTIER ELEMENTARY,California,Pioneer Union Elementary,630510,10,52,214,19,148,5,6,†
FRONTIER HIGH,California,Kern High,619540,17,160,784,52,1258,12,77,†
FRONTIER HIGH,California,Oxnard Union High,629270,1,0,387,6,18,0,3,†
FRONTIER HIGH (CONTINUATION),California,Whittier Union High,642480,1,2,454,6,44,1,6,†
FROST (EARL) ELEMENTARY,California,Oak Grove Elementary,627810,3,125,248,17,229,2,59,†
FRUITVALE ELEMENTARY,California,Oakland Unified,628050,6,67,164,86,23,3,23,†
FRUITVALE ELEMENTARY,California,Hemet Unified,616920,4,15,578,138,190,3,48,†
