School Name,School Name [Public School] 201617,Agency Name,Agency ID,County Number,American Indian/Alaska Native,Asian or Asian/Pacific Islander,Hispanic,Black,White,Hawaiian Nat./Pacific Isl.,Two or More Races,FullTime Equivalent (FTE) Teachers,Pupil/Teacher Ratio ,Total Students All Grades (Includes AE)
ALICE BIRNEY WALDORFINSPIRED,Alice Birney WaldorfInspired,Sacramento City Unified,633840,6067,3,15,129,34,324,1,48,26,21.31,554
ALICE C. STELLE MIDDLE,Alice C. Stelle Middle,Las Virgenes Unified,621000,6037,5,64,47,19,657,1,14,35.37,22.82,807
ALICE M. ELLINGTON ELEMENTARY,Alice M. Ellington Elementary,Azusa Unified,603600,6037,1,19,477,4,31,,1,23,23.17,533
ALICE M. WORSLEY,Fresno County Court,Fresno County Office of Education,691007,6019,1,7,123,58,27,1,2,18,12.17,219
ALICE N. STROUD ELEMENTARY,Alice N. Stroud Elementary,Empire Union Elementary,612690,6099,1,23,312,15,129,2,21,20,25.15,503
ALICE SHAW ELEMENTARY,Alice Shaw Elementary,Orcutt Union Elementary,628710,6083,,14,351,5,215,2,50,23.5,27.11,637
ALICIA CORTEZ ELEMENTARY,Alicia Cortez Elementary,Chino Valley Unified,608460,6071,,17,538,9,77,1,13,23.1,28.35,655
ALICIA REYES ELEMENTARY,Alicia Reyes Elementary,Merced City Elementary,624600,6047,1,45,588,30,18,,3,27,25.37,685
ALILA,Alila,Earlimart Elementary,611760,6107,,4,573,3,5,,10,27,22.04,595
ALISAL COMMUNITY,Alisal Community,Alisal Union,601950,6053,,2,752,,,,14,30,25.6,768
ALISAL ELEMENTARY,Alisal Elementary,Pleasanton Unified,600020,6001,,187,64,7,275,,41,25.66,22.37,574
ALISAL HIGH,Alisal High,Salinas Union High,633980,6053,2,18,2690,4,35,,,101.66,27.04,2749
ALISO ELEMENTARY,Aliso Elementary,Carpinteria Unified,607560,6083,1,2,355,2,60,,4,17,24.94,424
ALISO NIGUEL HIGH,Aliso Niguel High,Capistrano Unified,607440,6059,5,444,554,49,1735,8,265,113.37,26.99,3060
ALISO VIEJO MIDDLE,Aliso Viejo Middle,Capistrano Unified,607440,6059,2,141,213,23,634,2,81,43.41,25.25,1096
ALL TRIBES CHARTER,All Tribes Charter,Warner Unified,600042,6073,45,,5,,1,,,3,17,51
ALL TRIBES ELEMENTARY CHARTER,All Tribes Elementary Charter,Warner Unified,600042,6073,37,,9,,2,,1,3,16.33,49
ALLAN ORRENMAA ELEMENTARY,Allan Orrenmaa Elementary,Alvord Unified,602430,6065,2,26,450,13,83,1,10,24,24.38,585
ALLAN PETERSON ELEMENTARY,Allan Peterson Elementary,Merced City Elementary,624600,6047,3,68,319,12,199,1,37,25,25.56,639
ALLEN (DECIMA M.) ELEMENTARY,Allen (Decima M.) Elementary,San Bruno Park Elementary,634230,6081,,53,190,2,55,24,22,13,26.62,346
ALLEN (ELLA B.) ELEMENTARY,Allen (Ella B.) Elementary,Chula Vista Elementary,608610,6073,,34,241,9,98,,11,16,24.56,393
ALLEN AT STEINBECK,Allen at Steinbeck,San Jose Unified,634590,6085,,51,422,20,119,1,40,31.9,20.47,653
ALLEN AVENUE ELEMENTARY,Allen Avenue Elementary,Bonita Unified,605610,6037,,35,273,12,128,,36,20.42,23.7,484
