School Name,School Name [Public School] 201617,Agency Name,Agency ID,County Number,American Indian/Alaska Native,Asian or Asian/Pacific Islander,Hispanic,Black,White,Hawaiian Nat./Pacific Isl.,Two or More Races,FullTime Equivalent (FTE) Teachers,Pupil/Teacher Ratio ,Total Students All Grades (Includes AE)
CARMEL ELEMENTARY,Carmel Elementary,Hesperia Unified,600014,6071,1,2,449,10,59,1,244,31,24.71,766
CARMEL HIGH,Carmel High,Carmel Unified,607530,6053,2,39,152,6,536,4,131,51.04,17.05,870
CARMEL MIDDLE,Carmel Middle,Carmel Unified,607530,6053,1,29,109,2,344,,90,37.27,15.43,575
CARMEL RIVER ELEMENTARY,Carmel River Elementary,Carmel Unified,607530,6053,3,36,58,1,307,,57,22,21,462
CARMEL VALLEY HIGH,Carmel Valley High,Carmel Unified,607530,6053,0,0,5,0,15,0,2,2.4,9.17,22
CARMEL VALLEY MIDDLE,Carmel Valley Middle,San Dieguito Union High,634380,6073,3,415,129,5,561,1,62,44,26.73,1176
CARMELA ELEMENTARY,Carmela Elementary,South Whittier Elementary,637560,6037,,,431,3,6,,,20,22,440
CARMEN DRAGON ELEMENTARY,Carmen Dragon Elementary,Antioch Unified,602850,6013,1,69,178,152,49,5,42,21.4,23.18,496
CARMENITA MIDDLE,Carmenita Middle,ABC Unified,601620,6037,1,412,171,59,39,3,17,26,27,702
CARMICHAEL (BESSIE)/FEC,Carmichael (Bessie)/FEC,San Francisco Unified,634410,6075,3,266,159,88,33,2,63,28.3,21.7,614
CARMICHAEL ELEMENTARY,Carmichael Elementary,San Juan Unified,634620,6067,3,11,112,51,158,1,43,16,23.69,379
CARNELIAN ELEMENTARY,Carnelian Elementary,Alta Loma Elementary,602160,6071,1,21,244,23,146,,4,16,27.44,439
CAROLDALE LEARNING COMMUNITY,Caroldale Learning Community,Los Angeles Unified,622710,6037,1,256,458,92,34,55,42,39,24.05,938
CAROLINE HARRIS ELEMENTARY,Caroline Harris Elementary,Bakersfield City,603630,6029,4,6,304,74,72,2,15,26,18.35,477
CAROLINE WENZEL ELEMENTARY,Caroline Wenzel Elementary,Sacramento City Unified,633840,6067,1,42,120,80,45,6,19,13.6,23.01,313
CAROLYN A. CLARK ELEMENTARY,Carolyn A. Clark Elementary,Evergreen Elementary,613140,6085,1,556,45,1,36,3,36,26,26.08,678
CARPE DIEM HIGH (CONTINUATION),Carpe Diem High (Continuation),Petaluma Joint Union High,630250,6097,0,0,10,0,16,0,2,2.13,13.15,28
CARPENTER (C. C.) ELEMENTARY,Carpenter Elementary,Downey Unified,611460,6037,2,9,445,19,14,,2,17,28.88,491
CARPENTER COMMUNITY CHARTER,Carpenter Community Charter,Los Angeles Unified,622710,6037,1,65,101,36,710,,75,39,25.33,988
CARPINTERIA FAMILY,Carpinteria Family,Carpinteria Unified,607560,6083,2,7,15,1,46,,2,3,24.33,73
CARPINTERIA MIDDLE,Carpinteria Middle,Carpinteria Unified,607560,6083,3,7,384,1,114,,7,25,20.64,516
CARPINTERIA SENIOR HIGH,Carpinteria Senior High,Carpinteria Unified,607560,6083,4,14,465,4,140,1,8,33,19.27,636
CARQUINEZ MIDDLE,Carquinez Middle,John Swett Unified,618990,6013,2,72,110,74,67,1,25,19.71,17.81,351
CARR LAKE COMMUNITY DAY,Carr Lake Community Day,Salinas Union High,633980,6053,0,0,14,1,1,0,0,2,8,16
CARRIAGE DRIVE ELEMENTARY,Carriage Drive Elementary,San Juan Unified,634620,6067,1,13,129,20,385,2,33,22,26.5,583
CARRILLO ELEMENTARY,Carrillo Elementary,San Marcos Unified,634880,6073,,103,220,15,660,3,,39.9,25.09,1001
CARRILLO RANCH ELEMENTARY,Carrillo Ranch Elementary,Desert Sands Unified,611110,6065,1,4,612,12,32,,7,28,23.86,668
CARRISA PLAINS ELEMENTARY,Carrisa Plains Elementary,Atascadero Unified,603300,6079,,1,13,,9,,,2,11.5,23
CARROLL ELEMENTARY,Carroll Elementary,Elk Grove Unified,612330,6067,5,456,175,131,216,24,143,46.1,24.95,1150
CARROLL FOWLER ELEMENTARY,Carroll Fowler Elementary,Ceres Unified,608130,6099,3,20,446,9,158,4,9,26,24.96,649
CARSON ELEMENTARY,Carson Elementary,San Diego Unified,634320,6073,,82,264,17,25,,30,19,22,418
CARSON SENIOR HIGH,Carson Senior High,Los Angeles Unified,622710,6037,4,269,773,281,36,60,16,65.12,22.1,1439
CARSON STREET ELEMENTARY,Carson Street Elementary,Los Angeles Unified,622710,6037,1,159,374,60,73,48,14,30,24.3,729
CARSONGORE ACADEMY OF ENVIORNMENTAL STUDIES,CarsonGore Academy of Enviornmental Studies,Los Angeles Unified,622710,6037,,2,589,53,15,1,7,30,22.23,667
CARTER G. WOODSON PUBLIC CHARTER,Carter G. Woodson Public Charter,Fresno Unified,614550,6019,5,16,248,48,31,1,3,14.4,24.44,352
CARTHAY ELEMENTARY OF ENVIRONMENTAL STUDIES MAGNET,Carthay Elementary Of Environmental Studies Magnet,Los Angeles Unified,622710,6037,,39,148,98,65,3,14,13,28.23,367
CARUTHERS ELEMENTARY,Caruthers Elementary,Caruthers Unified,600067,6019,2,36,712,3,68,1,8,43,19.3,830
CARUTHERS HIGH,Caruthers High,Caruthers Unified,600067,6019,4,40,477,1,65,1,6,27.4,21.68,594
CARVER (CHARLES J.) ELEMENTARY,Carver (Charles J.) Elementary,ABC Unified,601620,6037,4,194,282,84,49,3,12,23,27.3,628
CARVER (GEORGE WASHINGTON) ELEMENTARY,Carver (George Washington) Elementary,San Francisco Unified,634410,6075,,,,,,,,7.33,,
CARVER ELEMENTARY,Carver Elementary,San Diego Unified,634320,6073,,45,102,52,12,3,10,11,20.36,224
CARVER ELEMENTARY,Carver Elementary,Compton Unified,609620,6037,,,311,113,3,,10,14.5,30.14,437
CARVER ELEMENTARY,Carver Elementary,Long Beach Unified,622500,6037,1,41,138,16,229,2,78,18.5,27.3,505
CARVER ELEMENTARY,Carver Elementary,San Marino Unified,634860,6037,2,403,30,4,109,3,67,29,21.31,618
CARYN ELEMENTARY,Caryn Elementary,Etiwanda Elementary,612960,6071,,83,249,23,188,,33,22.2,25.95,576
CASA DE ORO ELEMENTARY,Casa de Oro Elementary,La MesaSpring Valley,620250,6073,2,9,218,46,55,8,28,15,24.4,366
CASA GRANDE HIGH,Casa Grande High,Petaluma Joint Union High,630250,6097,7,88,654,17,827,6,71,73.47,22.73,1670
CASA LOMA ELEMENTARY,Casa Loma Elementary,Bakersfield City,603630,6029,1,5,664,89,14,,5,35,22.23,778
CASA RAMONA ACADEMY FOR TECHNOLOGY COMMUNITY AND EDUCATION,Casa Ramona Academy for Technology Community and Education,San Bernardino City Unified,634170,6071,0,0,176,4,4,0,1,11.5,16.09,185
CASA ROBLE FUNDAMENTAL HIGH,Casa Roble Fundamental High,San Juan Unified,634620,6067,25,39,158,20,985,7,15,55,22.71,1249
CASCADE HIGH,Cascade High,Butte Valley Unified,606580,6093,0,0,0,0,0,0,0,,,0
CASEY ELEMENTARY,Casey Elementary,Rialto Unified,632370,6071,1,1,696,33,26,,6,30.9,24.69,763
CASILLAS (JOSEPH) ELEMENTARY,Casillas (Joseph) Elementary,Chula Vista Elementary,608610,6073,1,79,277,30,84,2,32,25,20.2,505
CASIMIR MIDDLE,Casimir Middle,Torrance Unified,639420,6037,1,264,282,22,60,3,60,28.1,24.63,692
CASITA CENTER FOR SCIENCE/MATH/TECHNOLOGY,Casita Center for Science/Math/Technology,Vista Unified,641190,6073,,26,347,10,175,,30,22,26.73,588
CASTAIC ELEMENTARY,Castaic Elementary,Castaic Union,607740,6037,1,70,141,16,262,2,19,20,25.55,511
CASTAIC MIDDLE,Castaic Middle,Castaic Union,607740,6037,1,53,243,16,245,,20,24.86,23.25,578
CASTELAR STREET ELEMENTARY,Castelar Street Elementary,Los Angeles Unified,622710,6037,,431,176,20,15,1,17,28,23.57,660
CASTERLIN ELEMENTARY,Casterlin Elementary,Southern Humboldt Joint Unified,637590,6023,1,,5,1,21,,6,3,11.33,34
CASTILLE ELEMENTARY,Castille Elementary,Capistrano Unified,607440,6059,,38,111,8,354,,54,20,28.25,565
CASTILLERO MIDDLE,Castillero Middle,San Jose Unified,634590,6085,3,210,381,22,439,3,79,55.08,20.64,1137
CASTLE HEIGHTS ELEMENTARY,Castle Heights Elementary,Los Angeles Unified,622710,6037,,52,186,66,218,,40,22,25.55,562
CASTLE PARK ELEMENTARY,Castle Park Elementary,Chula Vista Elementary,608610,6073,1,15,330,11,19,2,3,17,22.41,381
CASTLE PARK MIDDLE,Castle Park Middle,Sweetwater Union High,638640,6073,,29,786,25,23,3,11,35.77,24.52,877
CASTLE PARK SENIOR HIGH,Castle Park Senior High,Sweetwater Union High,638640,6073,4,44,1459,34,37,1,28,68.27,23.54,1607
CASTLE ROCK,Castle Rock,Del Norte County Office of Education,691063,6015,47,9,61,2,235,1,29,16.34,23.5,384
CASTLE ROCK ELEMENTARY,Castle Rock Elementary,Walnut Valley Unified,641280,6037,1,437,137,10,50,3,38,26,26,676
CASTLE ROCK ELEMENTARY,Castle Rock Elementary,Castle Rock Union Elementary,607770,6089,3,,9,2,30,,6,3.8,13.16,50
CASTLE ROCK ELEMENTARY,Castle Rock Elementary,Woodlake Unified,601418,6107,3,4,426,2,31,,1,19.24,24.27,467
CASTLE VIEW ELEMENTARY,Castle View Elementary,Riverside Unified,633150,6065,1,23,424,40,161,1,11,26,25.42,661
CASTLEBAY LANE CHARTER,Castlebay Lane Charter,Los Angeles Unified,622710,6037,,237,124,16,309,,49,30,24.5,735
CASTLEMONT ELEMENTARY,Castlemont Elementary,Campbell Union,607200,6085,2,63,390,23,135,6,70,29,23.76,689
CASTLEMONT HIGH,Castlemont High,Oakland Unified,628050,6001,1,14,457,242,7,25,13,52.41,14.48,759
CASTLEMONT PRIMARY ACADEMY,Castlemont Primary Academy,Oakland Unified,628050,6001,0,1,7,64,0,0,0,,,72
CASTRO VALLEY ELEMENTARY,Castro Valley Elementary,Castro Valley Unified,607800,6001,1,87,183,34,108,4,61,19.1,25.03,478
CASTRO VALLEY HIGH,Castro Valley High,Castro Valley Unified,607800,6001,12,901,678,208,837,14,270,122.92,23.76,2920
CASTRO VALLEY VIRTUAL ACADEMY,Castro Valley Virtual Academy,Castro Valley Unified,607800,6001,0,0,2,0,4,0,0,0.6,10,6
CASTROVILLE ELEMENTARY,Castroville Elementary,North Monterey County Unified,627590,6053,,1,593,1,46,1,2,24,26.83,644
CASWELL ELEMENTARY,Caswell Elementary,Ceres Unified,608130,6099,5,9,475,8,42,4,,23,23.61,543
CASWELL STATE PRESCHOOL,Caswell State Preschool,Ceres Unified,608130,6099,,,,,,,,,,
CATCH PREP CHARTER HIGH INC.,Crenshaw ArtsTechnology Charter High,Los Angeles Unified,622710,6037,,1,29,130,1,,1,10.08,16.07,162
CATHEDRAL CITY ELEMENTARY,Cathedral City Elementary,Palm Springs Unified,629550,6065,1,7,662,12,23,,10,28,25.54,715
CATHEDRAL CITY HIGH,Cathedral City High,Palm Springs Unified,629550,6065,3,55,1368,51,83,2,7,74.6,21.03,1569
CATHERINE EVERETT ELEMENTARY,Catherine Everett Elementary,Modesto City Elementary,625130,6099,1,30,205,9,78,7,43,15,24.87,373
CATHERINE L. ZANE MIDDLE,Catherine L. Zane Middle,Eureka City Schools,600052,6023,35,70,105,18,343,10,60,29.64,21.63,641
CATHERYN GATES ELEMENTARY,Catheryn Gates Elementary,Roseville City Elementary,633600,6061,3,65,119,20,307,1,69,23,25.39,584
CATSKILL AVENUE ELEMENTARY,Catskill Avenue Elementary,Los Angeles Unified,622710,6037,,63,425,53,21,7,4,24,23.88,573
CAVE LANGUAGE ACADEMY,Cave Language Academy,Vallejo City Unified,640740,6095,1,10,213,42,24,2,12,14,21.71,304
CAWSTON ELEMENTARY,Cawston Elementary,Hemet Unified,616920,6065,7,15,470,87,213,,52,34.5,24.46,844
CAYUCOS ELEMENTARY,Cayucos Elementary,Cayucos Elementary,607840,6079,,5,47,,138,,21,13.5,15.63,211
CDS ELEMENTARY,CDS Elementary,Los Angeles Unified,622710,6037,0,0,6,2,0,0,0,3,2.67,8
CDS SECONDARY,CDS Secondary,Los Angeles Unified,622710,6037,0,0,24,7,1,0,0,7,4.57,32
CECIL AVENUE MATH AND SCIENCE ACADEMY,Cecil Avenue Math and Science Academy,Delano Union Elementary,610890,6029,,69,625,1,16,,5,30,23.87,716
CECILIA LUCERO SOLORIO ELEMENTARY,Cecilia Lucero Solorio Elementary,Etiwanda Elementary,612960,6071,,120,493,103,165,1,50,37.8,24.66,932
CEDAR GROVE ELEMENTARY,Cedar Grove Elementary,Evergreen Elementary,613140,6085,3,345,208,16,28,10,34,25,25.76,644
CEDAR LANE ELEMENTARY,Cedar Lane Elementary,Marysville Joint Unified,624090,6115,12,62,251,15,165,5,18,23,22.96,528
CEDAR MIDDLE,Cedar Middle,Hesperia Unified,600014,6071,2,9,758,43,217,4,134,43.01,27.13,1167
CEDARCREEK ELEMENTARY,Cedarcreek Elementary,Saugus Union,635970,6037,,9,418,8,49,,4,18,27.11,488
CEDARGROVE ELEMENTARY,Cedargrove Elementary,Charter Oak Unified,608190,6037,4,56,543,19,106,3,27,29,26.14,758
CEDARLANE ACADEMY,Cedarlane Academy,Hacienda la Puente Unified,616325,6037,,146,391,6,27,,9,26.33,21.99,579
CEDARWOOD ELEMENTARY,Cedarwood Elementary,Paradise Unified,629820,6007,8,2,26,2,209,,10,11.6,22.16,257
CEDARWOOD ELEMENTARY,Cedarwood Elementary,Clovis Unified,609030,6019,7,73,213,13,405,1,21,25.5,28.75,733
CEIBA COLLEGE PREPARATORY ACADEMY,Ceiba College Preparatory Academy,Pajaro Valley Unified,629490,6087,,3,496,2,7,1,,24.6,20.69,509
CELERITY ACHERNAR CHARTER,Celerity Achernar Charter,Compton Unified,609620,6037,,,281,205,,2,3,20,24.55,491
CELERITY CARDINAL CHARTER,Celerity Cardinal Charter,Los Angeles Unified,622710,6037,0,3,360,3,3,0,1,15,24.67,370
CELERITY DYAD CHARTER,Celerity Dyad Charter,Los Angeles Unified,622710,6037,,2,690,2,,,,29,23.93,694
CELERITY NASCENT CHARTER,Celerity Nascent Charter,Los Angeles Unified,622710,6037,,2,454,178,,3,2,31,20.61,639
CELERITY OCTAVIA CHARTER,Celerity Octavia Charter,Los Angeles Unified,622710,6037,1,40,362,4,5,,3,16,25.94,415
CELERITY PALMATI CHARTER,Celerity Palmati Charter,Los Angeles Unified,622710,6037,1,25,400,12,14,,2,19,23.89,454
CELERITY TROIKA CHARTER,Celerity Troika Charter,Los Angeles Unified,622710,6037,2,63,403,13,10,1,24,26,19.85,516
CENTENNIAL CONTINUATION HIGH,Centennial Continuation High,Corning Union High,609810,6103,1,0,19,1,16,0,0,4.8,7.71,37
CENTENNIAL ELEMENTARY,Centennial Elementary,Fresno Unified,614550,6019,6,114,530,74,44,2,27,32.05,24.87,797
CENTENNIAL ELEMENTARY,Centennial Elementary,Rosedale Union Elementary,633480,6029,,27,124,8,319,2,10,23,21.3,490
CENTENNIAL HIGH,Centennial High,Kern High,619540,6029,18,96,625,52,1147,4,59,70.71,28.3,2001
CENTENNIAL HIGH,Centennial High,Compton Unified,609620,6037,1,1,675,258,2,3,10,46.58,20.4,950
CENTENNIAL HIGH,Centennial High,CoronaNorco Unified,609850,6065,8,396,1799,319,620,27,70,128.3,25.25,3239
CENTENNIAL INDEPENDENT STUDY,Centennial Independent Study,Golden Valley Unified,600068,6039,0,0,4,0,4,0,0,0.47,17.02,8
CENTER ELEMENTARY,Center Elementary,Travis Unified,639630,6095,4,161,121,67,105,9,64,21,25.29,531
CENTER FOR ADVANCED LEARNING,Center for Advanced Learning,Los Angeles Unified,622710,6037,,2,338,19,,,1,14,25.71,360
CENTER FOR ALTERNATIVE LEARNING,Center for Alternative Learning,Chico Unified,608370,6007,0,0,9,1,10,0,2,2.35,9.36,22
CENTER FOR LEARNING AND EDUCATIONAL SUCCESS,Center For Learning and Educational Success,San Bernardino City Unified,634170,6071,,,62,20,4,,4,,,90
CENTER HIGH,Center High,Center Joint Unified,607900,6067,15,158,320,171,604,15,47,59.49,22.36,1330
CENTER MIDDLE,Center Middle,Azusa Unified,603600,6037,,13,450,6,6,,4,25.33,18.91,479
CENTER STREET ELEMENTARY,Center Street Elementary,El Segundo Unified,612210,6037,1,63,137,33,433,3,121,30,26.37,791
CENTERVILLE ELEMENTARY,Centerville Elementary,Sanger Unified,635250,6019,4,3,156,,88,,14,11.25,23.56,265
CENTERVILLE HIGH (CONTINUATION),Centerville High (Continuation),Potter Valley Community Unified,631400,6045,0,0,0,0,0,0,0,,,0
CENTERVILLE JUNIOR HIGH,Centerville Junior High,Fremont Unified,614400,6001,5,440,211,35,196,8,53,39.66,23.9,948
CENTINELA ELEMENTARY,Centinela Elementary,Inglewood Unified,618390,6037,4,1,576,82,3,1,1,28.33,23.58,668
CENTINELA VALLEY INDEPENDENT STUDY,Centinela Valley Independent Study,Centinela Valley Union High,607920,6037,0,1,44,3,3,2,1,5,10.8,54
CENTRAL BAY HIGH (CONTINUATION),Central Bay High (Continuation),North Monterey County Unified,627590,6053,0,0,56,0,7,0,0,5,12.6,63
CENTRAL CITY VALUE,Central City Value,Los Angeles Unified,622710,6037,,13,456,6,2,,,22.05,21.63,477
CENTRAL COAST HIGH,Central Coast High,Monterey Peninsula Unified,625530,6053,0,2,58,2,10,0,3,14.33,5.23,75
CENTRAL COAST NEW TECH HIGH,Central Coast New Tech High,Lucia Mar Unified,623080,6079,6,9,67,2,226,,11,20.5,15.66,321
CENTRAL COUNTY SPECIAL EDUCATION PROGRAMS,Central County Special Education Programs,Contra Costa County Office of Education,691005,6013,0,5,12,1,9,0,5,4,8,32
CENTRAL ELEMENTARY,Central Elementary,South Bay Union,637380,6073,2,18,448,29,39,3,18,24,23.21,557
CENTRAL ELEMENTARY,Central Elementary,National Elementary,626670,6073,,42,541,8,13,3,16,28.5,21.86,623
CENTRAL ELEMENTARY,Central Elementary,San Diego Unified,634320,6073,,103,538,47,9,2,8,30.3,23.33,707
CENTRAL ELEMENTARY,Central Elementary,BelmontRedwood Shores Elementary,604530,6081,,99,48,4,217,2,78,16,28,448
CENTRAL ELEMENTARY,Central Elementary,Escondido Union,612880,6073,1,9,624,4,18,,11,27.5,24.25,667
CENTRAL ELEMENTARY,Central Elementary,Central Elementary,607950,6071,,19,303,46,133,,10,21,24.33,511
CENTRAL ELEMENTARY,Central Elementary,Tracy Joint Unified,600047,6077,2,31,375,10,51,,14,21,23,483
CENTRAL ELEMENTARY,Central Elementary,Central Union Elementary,607980,6031,101,,142,5,36,,11,14,21.07,295
CENTRAL ELEMENTARY,Central Elementary,Baldwin Park Unified,603690,6037,,21,475,4,6,,,22,23,506
CENTRAL ELEMENTARY,Central Elementary,Banning Unified,603840,6065,6,24,608,34,61,,17,32,23.44,750
CENTRAL GAITHER ELEMENTARY,Central Gaither Elementary,Yuba City Unified,643470,6101,,7,135,1,43,,4,11.5,16.52,190
CENTRAL HIGH,Central High,Los Angeles Unified,622710,6037,3,4,407,46,10,1,2,24,19.71,473
CENTRAL HIGH (CONTINUATION),Central High (Continuation),Morgan Hill Unified,625830,6085,1,3,100,2,34,,7,11,13.36,147
CENTRAL HIGH (CONTINUATION),Central High (Continuation),Barstow Unified,604020,6071,,3,66,27,28,,5,9.8,13.16,129
CENTRAL HIGH EAST CAMPUS,Central High East Campus,Central Unified,607970,6019,29,648,2337,401,717,11,58,191.62,21.92,4201
CENTRAL JUVENILE HALL,Central Juvenile Hall,Los Angeles County Office of Education,691078,6037,,2,97,60,12,,,14.83,11.53,171
CENTRAL LANGUAGE ACADEMY,Central Language Academy,OntarioMontclair,628470,6071,5,2,632,28,29,1,9,28.6,24.69,706
CENTRAL MIDDLE,Central Middle,San Carlos Elementary,634290,6081,1,42,72,4,345,1,61,26.47,19.87,526
CENTRAL MIDDLE,Central Middle,Oroville City Elementary,629100,6007,14,39,50,17,132,1,23,14.73,18.74,276
CENTRAL MIDDLE,Central Middle,Riverside Unified,633150,6065,5,11,467,47,88,1,24,28.1,22.88,643
CENTRAL ORANGE COUNTY CTE PARTNERSHIP (CTEP),Central Orange County CTE Partnership (CTEp),Central Orange County CTE Partnership (CTEp),600124,6059,0,0,0,0,0,0,0,,,0
CENTRAL PARK ELEMENTARY,Central Park Elementary,Santa Clara Unified,635430,6085,1,111,34,3,57,1,32,4.5,53.11,239
CENTRAL SIERRA ROP,Central Sierra ROP,Central Sierra ROP,600096,6017,0,0,0,0,0,0,0,,,0
CENTRAL UNIFIED ALTERNATIVE/OPPORTUNITY,Central Unified Alternative/Opportunity,Central Unified,607970,6019,1,6,143,16,57,0,3,10,22.6,226
CENTRAL UNION ADULT,,,608010,,,,,,,,,,,
CENTRAL UNION HIGH,Central Union High,Central Union High,608010,6025,4,8,1778,24,53,1,4,79.8,23.46,1872
CENTRAL VALLEY HIGH,Central Valley High,Gateway Unified,614950,6089,49,19,95,15,400,4,13,32.9,18.09,595
CENTRAL VALLEY HIGH,Central Valley High,Ceres Unified,608130,6099,9,109,1571,27,175,11,12,82.9,23.09,1914
CENTRAL VALLEY HIGH (CONTINUATION),Central Valley High (Continuation),Kern High,619540,6029,0,0,72,1,7,0,1,4,20.25,81
CENTRAL VALLEY HOME,Kingsburg Community Charter Extension,Kingsburg Elementary Charter,619800,6019,,1,53,2,79,1,10,5.25,27.81,146
CENTRALIA ELEMENTARY,Centralia Elementary,Centralia Elementary,608070,6059,,45,480,8,26,,8,23,24.65,567
CENTURY ACADEMY,Century Academy,Conejo Valley Unified,609640,6111,1,9,10,2,53,0,2,4.6,16.74,77
CENTURY ACADEMY FOR EXCELLENCE,Century Academy for Excellence,Lennox,621420,6037,,,36,189,,,1,9.1,24.84,226
CENTURY COMMUNITY CHARTER,Century Community Charter,Lennox,621420,6037,1,1,413,41,1,1,1,14.6,31.44,459
CENTURY ELEMENTARY,Century Elementary,Clovis Unified,609030,6019,2,51,202,15,339,,31,22,29.09,640
CENTURY HIGH,Century High,Alhambra Unified,600153,6037,0,11,92,2,4,1,6,8,14.5,116
CENTURY HIGH,Century High,Santa Ana Unified,635310,6059,3,32,1785,1,13,2,2,86.5,21.25,1838
CENTURY PARK ELEMENTARY,Century Park Elementary,Los Angeles Unified,622710,6037,,1,130,190,6,1,,16,20.5,328
CERES ELEMENTARY,Ceres Elementary,East Whittier City Elementary,611850,6037,,4,366,,19,3,3,15.5,25.48,395
CERES HIGH,Ceres High,Ceres Unified,608130,6099,9,99,1267,28,300,25,13,77,22.61,1741
CERES SPECIAL EDUCATION,Ceres Special Education,Ceres Unified,608130,6099,0,0,0,0,2,0,0,,,2
CERRA VISTA ELEMENTARY,Cerra Vista Elementary,Hollister,617340,6069,,21,346,3,215,1,2,25.2,23.33,588
CERRITOS ELEMENTARY,Cerritos Elementary,Savanna Elementary,636030,6059,,94,243,12,128,2,25,23,21.91,504
CERRITOS ELEMENTARY,Cerritos Elementary,Glendale Unified,615240,6037,,50,264,11,71,,4,15,26.67,400
CERRITOS ELEMENTARY,Cerritos Elementary,ABC Unified,601620,6037,6,435,115,34,44,3,34,24,27.96,671
CERRITOS HIGH,Cerritos High,ABC Unified,601620,6037,2,1296,526,146,141,10,59,85.8,25.41,2180
CERRO VILLA MIDDLE,Cerro Villa Middle,Orange Unified,628650,6059,3,139,520,14,373,3,30,42.61,25.39,1082
CESAR CHAVEZ ACADEMY,Cesar Chavez Academy,CoronaNorco Unified,609850,6065,3,58,602,14,223,4,17,35.05,26.28,921
CESAR CHAVEZ COMMUNITY,Cesar Chavez Community School,Yolo County Office of Education,691049,6113,0,0,70,4,12,1,0,3.2,27.19,87
CESAR CHAVEZ CONTINUATION HIGH,Cesar Chavez Continuation High,Compton Unified,609620,6037,1,1,508,114,2,0,2,27.77,22.61,628
CESAR CHAVEZ ELEMENTARY,Cesar Chavez Elementary,Los Angeles Unified,622710,6037,1,9,278,3,13,,1,16,19.06,305
CESAR CHAVEZ ELEMENTARY,Cesar Chavez Elementary,Madera Unified,623340,6039,2,21,759,13,31,,2,29.6,27.97,828
CESAR CHAVEZ ELEMENTARY,Cesar Chavez Elementary,Calexico Unified,606900,6025,,6,929,,6,,1,37,25.46,942
CESAR CHAVEZ ELEMENTARY,Cesar Chavez Elementary,Coachella Valley Unified,609070,6065,2,1,934,2,3,,8,44.2,21.49,950
CESAR CHAVEZ ELEMENTARY,Cesar Chavez Elementary,NorwalkLa Mirada Unified,627690,6037,,5,359,5,6,1,7,14.5,26.41,383
CESAR CHAVEZ ELEMENTARY,Cesar Chavez Elementary,Alum Rock Union Elementary,602310,6085,1,57,334,,2,2,1,17,23.35,397
CESAR CHAVEZ ELEMENTARY,Cesar Chavez Elementary,Greenfield Union Elementary,616080,6053,2,1,722,,17,,,28.2,26.31,742
CESAR CHAVEZ ELEMENTARY,Cesar Chavez Elementary,Davis Joint Unified,610620,6113,2,42,187,7,336,1,53,23.81,26.38,628
CESAR CHAVEZ ELEMENTARY,Cesar Chavez Elementary,Ravenswood City Elementary,631860,6081,,,152,10,,22,1,10.25,18.05,185
CESAR CHAVEZ HIGH,Cesar Chavez High,Stockton Unified,638010,6077,49,548,1055,338,94,17,26,79.99,26.59,2127
CESAR CHAVEZ INTERMEDIATE,Cesar Chavez Intermediate,Sacramento City Unified,633840,6067,,64,229,76,9,17,11,15,27.07,406
CESAR CHAVEZ JUNIOR HIGH,Cesar Chavez Junior High,Ceres Unified,608130,6099,5,57,482,19,87,5,7,27.33,24.22,662
CESAR CHAVEZ LANGUAGE ACADEMY,Cesar Chavez Language Academy,Santa Rosa Elementary,635810,6097,0,3,231,0,17,0,5,12,21.33,256
CESAR CHAVEZ MIDDLE,Cesar Chavez Middle,New Haven Unified,626910,6001,3,290,765,58,62,27,50,51.2,24.51,1255
CESAR CHAVEZ MIDDLE,Cesar Chavez Middle,Hayward Unified,616740,6001,2,86,396,40,15,23,5,27.77,20.42,567
CESAR CHAVEZ MIDDLE,Cesar Chavez Middle,Oceanside Unified,628250,6073,2,47,535,26,89,29,25,33.22,22.67,753
CESAR CHAVEZ MIDDLE,Cesar Chavez Middle,Lynwood Unified,623160,6037,,2,725,8,2,,,26,28.35,737
CESAR E CHAVEZ ELEMENTARY,Cesar E Chavez Elementary,Parlier Unified,629910,6019,,,388,,5,,,16,24.56,393
CESAR E. CHAVEZ ELEMENTARY,Cesar E. Chavez Elementary,Bakersfield City,603630,6029,1,36,380,21,168,1,21,30,20.93,628
CESAR E. CHAVEZ ELEMENTARY,Cesar E. Chavez Elementary,Montebello Unified,625470,6037,1,1,903,,3,,15,34.5,26.75,923
CESAR E. CHAVEZ ELEMENTARY,Cesar E. Chavez Elementary,Oxnard,629220,6111,,2,895,1,10,,,35.6,25.51,908
CESAR E. CHAVEZ ELEMENTARY,Cesar E. Chavez Elementary,West Contra Costa Unified,632550,6013,,17,491,28,14,,4,21.5,25.77,554
CESAR E. CHAVEZ ELEMENTARY,Cesar E. Chavez Elementary,Alisal Union,601950,6053,1,1,750,,3,,61,31,26.32,816
CESAR E. CHAVEZ HIGH,Cesar E. Chavez High,Santa Ana Unified,635310,6059,0,1,291,0,4,2,0,15.54,19.18,298
CESAR E. CHAVEZ HIGH,Cesar E. Chavez High,Delano Joint Union High,610860,6029,1,149,1221,6,26,,6,58.41,24.12,1409
CESAR E. CHAVEZ LRNG ACADS  ARTS/THEATRE/ENTERTAIN MAG,Cesar E. Chavez Lrng Acad  Arts/Theatre/Entertain Mag,Los Angeles Unified,622710,6037,5,4,452,29,10,,1,29,17.28,501
