,Unnamed: 0,District Code,Agency Name,American Indian/Alaska Native,Black,Hispanic,White,Hawaiian Nat./Pacific Isl.,Two or More Races,Asian or Asian/Pacific Islander,Total Enrollment,Total Revenue,Revenue per student
885,896,69849.0,SOQUEL UNION ELEMENTARY,9.0,12.0,631.0,1151.0,3.0,128.0,47.0,1981.0,13470000.0,6799.6
886,897,72397.0,SOULSBYVILLE ELEMENTARY,5.0,2.0,82.0,371.0,0.0,33.0,1.0,494.0,3874000.0,7842.11
887,898,68395.0,SOUTH BAY UNION,12.0,207.0,6137.0,503.0,30.0,193.0,295.0,7377.0,93379000.0,12658.13
888,899,63032.0,SOUTH BAY UNION ELEMENTARY,42.0,6.0,166.0,578.0,3.0,97.0,23.0,915.0,10397000.0,11362.84
889,900,63784.0,SOUTH FORK UNION,9.0,0.0,43.0,180.0,0.0,9.0,0.0,241.0,2876000.0,11933.61
890,901,66068.0,SOUTH MONTEREY COUNTY JOINT UNION HIGH,10.0,10.0,2102.0,115.0,0.0,22.0,14.0,2273.0,27322000.0,12020.24
891,902,65029.0,SOUTH PASADENA UNIFIED,12.0,86.0,1148.0,1348.0,5.0,501.0,1679.0,4779.0,47583000.0,9956.69
892,903,69070.0,SOUTH SAN FRANCISCO UNIFIED,18.0,128.0,4270.0,586.0,187.0,512.0,3178.0,8879.0,50811000.0,5722.6
893,904,65037.0,SOUTH WHITTIER ELEMENTARY,4.0,19.0,2753.0,89.0,4.0,4.0,45.0,2918.0,35212000.0,12067.17
894,905,63040.0,SOUTHERN HUMBOLDT JOINT UNIFIED,12.0,8.0,112.0,559.0,7.0,41.0,8.0,747.0,6369000.0,8526.1
895,906,63776.0,SOUTHERN KERN UNIFIED,29.0,348.0,1794.0,1081.0,12.0,89.0,53.0,3406.0,35988000.0,10566.06
896,907,73833.0,SOUTHERN TRINITY JOINT UNIFIED,2.0,0.0,6.0,86.0,0.0,9.0,0.0,103.0,2230000.0,21650.49
897,908,67553.0,SOUTHSIDE ELEMENTARY,0.0,2.0,131.0,43.0,0.0,60.0,0.0,236.0,1630000.0,6906.78
898,909,68403.0,SPENCER VALLEY ELEMENTARY,19.0,193.0,709.0,1004.0,17.0,222.0,112.0,2276.0,4030000.0,1770.65
899,910,66225.0,SPRECKELS UNION ELEMENTARY,2.0,4.0,305.0,525.0,0.0,80.0,57.0,973.0,6870000.0,7060.64
900,911,72132.0,SPRINGVILLE UNION ELEMENTARY,10.0,0.0,65.0,234.0,0.0,1.0,7.0,317.0,2230000.0,7034.7
901,912,63792.0,STANDARD ELEMENTARY,40.0,32.0,914.0,2033.0,0.0,76.0,35.0,3130.0,30617000.0,9781.79
903,914,71282.0,STANISLAUS UNION ELEMENTARY,28.0,201.0,1775.0,746.0,36.0,273.0,399.0,3458.0,31090000.0,8990.75
904,915,68676.0,STOCKTON UNIFIED,765.0,4453.0,26645.0,2472.0,213.0,1107.0,5326.0,40981.0,479084000.0,11690.39
905,916,72140.0,STONE CORRAL ELEMENTARY,4.0,9.0,568.0,122.0,1.0,24.0,13.0,741.0,10489000.0,14155.2
906,917,62653.0,STONY CREEK JOINT UNIFIED,43.0,0.0,7.0,40.0,0.0,7.0,0.0,97.0,1866000.0,19237.11
907,918,72157.0,STRATHMORE UNION ELEMENTARY,16.0,1.0,719.0,76.0,3.0,2.0,0.0,817.0,10213000.0,12500.61
908,919,65045.0,SULPHUR SPRINGS UNION,15.0,291.0,2909.0,1425.0,8.0,215.0,507.0,5370.0,48464000.0,9024.95
909,920,72405.0,SUMMERVILLE ELEMENTARY,33.0,3.0,71.0,253.0,0.0,42.0,0.0,402.0,3681000.0,9156.72
910,921,72413.0,SUMMERVILLE UNION HIGH,44.0,16.0,159.0,791.0,2.0,35.0,9.0,1056.0,10044000.0,9511.36
911,922,72173.0,SUNDALE UNION ELEMENTARY,3.0,3.0,389.0,419.0,0.0,1.0,6.0,821.0,7674000.0,9347.14
912,923,72181.0,SUNNYSIDE UNION ELEMENTARY,0.0,0.0,321.0,33.0,0.0,0.0,1.0,355.0,4580000.0,12901.41
913,924,69690.0,SUNNYVALE,146.0,88.0,1969.0,1455.0,54.0,682.0,2142.0,6536.0,33937000.0,5192.32
914,925,75119.0,SUNOL GLEN UNIFIED,1.0,3.0,57.0,123.0,3.0,36.0,55.0,278.0,2004000.0,7208.63
915,926,65896.0,SURPRISE VALLEY JOINT UNIFIED,16.0,0.0,26.0,72.0,0.0,1.0,1.0,116.0,1712000.0,14758.62
916,927,64196.0,SUSANVILLE ELEMENTARY,53.0,15.0,261.0,604.0,50.0,88.0,25.0,1096.0,9087000.0,8291.06
918,929,71449.0,SUTTER UNION HIGH,17.0,4.0,198.0,492.0,0.0,43.0,22.0,776.0,6609000.0,8516.75
919,930,68411.0,SWEETWATER UNION HIGH,61.0,1057.0,31293.0,2322.0,136.0,1903.0,3899.0,40671.0,461617000.0,11350.03
920,931,71290.0,SYLVAN UNION ELEMENTARY,32.0,347.0,3500.0,3095.0,96.0,560.0,769.0,8399.0,73520000.0,8753.42
921,932,63800.0,TAFT CITY,9.0,17.0,1213.0,887.0,7.0,68.0,15.0,2216.0,25907000.0,11690.88
922,933,63818.0,TAFT UNION HIGH,18.0,8.0,454.0,520.0,9.0,20.0,5.0,1034.0,20958000.0,20268.86
923,934,66944.0,TAHOE-TRUCKEE UNIFIED,19.0,11.0,1532.0,2453.0,0.0,102.0,31.0,4148.0,45517000.0,10973.24
924,935,65482.0,TAMALPAIS UNION HIGH,14.0,110.0,530.0,3412.0,20.0,272.0,331.0,4689.0,29174000.0,6221.8
925,936,63826.0,TEHACHAPI UNIFIED,32.0,70.0,1402.0,2753.0,5.0,67.0,67.0,4396.0,38329000.0,8719.06
927,938,75192.0,TEMECULA VALLEY UNIFIED,187.0,998.0,10000.0,12981.0,74.0,3030.0,2575.0,29845.0,242257000.0,8117.17
