County Code,District Code,Subgroup ID,Test Id,Mean Scale Score,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Students with Scores,Total Standard Exceeded,Total Standard Met,Total Standard Met and Above,Total Standard Nearly Met,Total Standard Not Met
19,10199,78,2,2374.3250000000003,3168.0,3080.0,1382.0,770.0,748.0,26.0,60.0,86.0,130.0,554.0
19,10199,78,1,2402.05,3432.0,3320.0,1369.0,835.0,807.0,110.0,143.0,253.0,93.0,490.0
19,10199,77,2,2598.8,39.0,39.0,29.0,25.0,25.0,6.0,4.0,10.0,4.0,11.0
19,10199,77,1,2652.2,42.0,42.0,29.0,27.0,27.0,8.0,12.0,20.0,6.0,1.0
19,10199,76,1,2670.8,266.0,266.0,78.0,71.0,71.0,34.0,22.0,56.0,9.0,6.0
19,10199,74,2,2384.2,952.0,872.0,495.0,223.0,205.0,0.0,13.0,13.0,2.0,207.0
19,10199,74,1,2441.2,1048.0,976.0,498.0,244.0,228.0,10.0,8.0,20.0,40.0,184.0
19,10199,76,2,2651.4,238.0,238.0,77.0,64.0,64.0,16.0,26.0,42.0,10.0,12.0
20,10207,80,2,2464.5,320.0,320.0,66.0,57.0,57.0,0.0,0.0,0.0,8.0,49.0
20,10207,80,1,2491.6,328.0,328.0,66.0,58.0,58.0,4.0,8.0,12.0,13.0,33.0
20,10207,78,2,2419.566666666667,1656.0,1656.0,442.0,402.0,402.0,1.0,0.0,1.0,30.0,371.0
20,10207,78,1,2457.1666666666665,1664.0,1664.0,440.0,401.0,401.0,2.0,26.0,28.0,116.0,257.0
23,10231,78,1,2444.1,54.0,54.0,34.0,31.0,31.0,2.0,0.0,2.0,7.0,22.0
23,10231,78,2,2397.4,76.0,76.0,35.0,32.0,32.0,0.0,0.0,0.0,0.0,32.0
24,10249,78,1,2435.766666666667,1360.0,1336.0,526.0,327.0,321.0,6.0,32.0,38.0,62.0,227.0
24,10249,80,2,2449.3,308.0,308.0,105.0,64.0,64.0,1.0,2.0,3.0,7.0,54.0
24,10249,80,1,2528.1,315.0,315.0,105.0,65.0,65.0,2.0,12.0,14.0,18.0,33.0
24,10249,78,2,2392.3333333333335,1328.0,1328.0,534.0,319.0,319.0,2.0,8.0,10.0,26.0,283.0
27,10272,80,2,2492.3,448.0,448.0,106.0,87.0,87.0,4.0,5.0,9.0,23.0,55.0
27,10272,80,1,2530.9,448.0,448.0,106.0,87.0,87.0,12.0,15.0,27.0,24.0,36.0
27,10272,78,2,2466.9666666666667,1272.0,1272.0,407.0,297.0,297.0,9.0,19.0,28.0,55.0,214.0
27,10272,78,1,2495.0333333333333,1312.0,1312.0,412.0,307.0,307.0,30.0,57.0,87.0,89.0,131.0
28,10280,78,2,2429.3,188.0,184.0,98.0,78.0,77.0,0.0,0.0,0.0,5.0,73.0
28,10280,78,1,2456.15,196.0,192.0,113.0,93.0,91.0,0.0,21.0,21.0,18.0,54.0
29,10298,80,2,2507.842857142857,3776.0,3760.0,1110.0,944.0,940.0,148.0,239.0,387.0,251.0,306.0
29,10298,80,1,2526.442857142857,3792.0,3792.0,1112.0,948.0,948.0,218.0,320.0,538.0,202.0,208.0
30,10306,76,2,2456.15,712.0,712.0,163.0,134.0,134.0,27.0,18.0,45.0,21.0,68.0
30,10306,78,2,2407.7166666666667,6272.0,6272.0,2059.0,1559.0,1559.0,21.0,48.0,69.0,112.0,1378.0
30,10306,80,1,2529.04,1848.0,1848.0,778.0,443.0,443.0,71.0,132.0,203.0,104.0,136.0
30,10306,80,2,2507.04,1832.0,1832.0,782.0,438.0,438.0,29.0,82.0,111.0,72.0,255.0
30,10306,78,1,2424.566666666667,6344.0,6344.0,2053.0,1577.0,1577.0,45.0,136.0,181.0,300.0,1096.0
30,10306,74,2,2388.5,264.0,264.0,72.0,51.0,51.0,1.0,0.0,1.0,4.0,46.0
30,10306,76,1,2525.6,728.0,728.0,177.0,148.0,148.0,36.0,38.0,74.0,35.0,39.0
30,10306,144,1,2567.9,304.0,304.0,79.0,59.0,59.0,12.0,20.0,32.0,11.0,16.0
30,10306,144,2,2493.8,296.0,296.0,79.0,57.0,57.0,2.0,10.0,12.0,15.0,30.0
30,10306,74,1,2452.1,272.0,272.0,72.0,53.0,53.0,3.0,0.0,3.0,13.0,37.0
31,10314,78,2,2447.0,208.0,208.0,54.0,39.0,39.0,1.0,1.0,2.0,6.0,31.0
31,10314,80,1,2510.566666666667,928.0,920.0,271.0,224.0,222.0,36.0,70.0,107.0,73.0,43.0
31,10314,78,1,2444.0,216.0,208.0,54.0,41.0,39.0,1.0,5.0,6.0,7.0,28.0
31,10314,80,2,2514.8500000000004,936.0,936.0,272.0,226.0,226.0,60.0,52.0,112.0,52.0,62.0
33,10330,74,2,2380.45,608.0,608.0,159.0,140.0,140.0,2.0,2.0,4.0,4.0,132.0
33,10330,74,1,2417.05,539.0,539.0,159.0,141.0,141.0,4.0,2.0,6.0,24.0,111.0
33,10330,80,1,2448.3999999999996,784.0,776.0,190.0,157.0,155.0,3.0,13.0,16.0,43.0,97.0
33,10330,80,2,2401.0,744.0,744.0,188.0,148.0,148.0,0.0,4.0,4.0,15.0,129.0
33,10330,78,2,2351.585714285714,3200.0,3192.0,876.0,800.0,798.0,2.0,8.0,10.0,46.0,744.0
33,10330,78,1,2354.600000000001,3160.0,3160.0,870.0,790.0,790.0,10.0,60.0,70.0,150.0,570.0
34,10348,80,2,2461.45,504.0,496.0,144.0,110.0,109.0,0.0,6.0,6.0,19.0,85.0
34,10348,80,1,2475.15,520.0,512.0,145.0,114.0,112.0,0.0,15.0,15.0,32.0,67.0
34,10348,78,2,2397.6,544.0,544.0,211.0,133.0,133.0,0.0,2.0,2.0,6.0,125.0
34,10348,74,1,2434.433333333333,441.0,434.0,211.0,117.0,115.0,2.0,2.0,4.0,18.0,95.0
34,10348,78,1,2431.4666666666667,536.0,528.0,205.0,131.0,129.0,0.0,6.0,6.0,26.0,99.0
34,10348,74,2,2398.733333333333,399.0,399.0,213.0,105.0,105.0,0.0,2.0,2.0,9.0,94.0
35,10355,78,2,2413.5,120.0,120.0,41.0,41.0,41.0,0.0,0.0,0.0,6.0,35.0
35,10355,78,1,2466.2,120.0,120.0,41.0,41.0,41.0,0.0,2.0,2.0,14.0,25.0
36,10363,74,2,2361.1499999999996,848.0,848.0,265.0,175.0,175.0,0.0,1.0,1.0,6.0,168.0
36,10363,74,1,2403.15,856.0,840.0,259.0,176.0,172.0,1.0,2.0,3.0,8.0,165.0
36,10363,78,2,2362.085714285714,2416.0,2416.0,792.0,604.0,604.0,2.0,8.0,10.0,32.0,562.0
36,10363,80,2,2399.366666666667,584.0,576.0,173.0,121.0,119.0,0.0,4.0,4.0,19.0,98.0
36,10363,80,1,2487.8500000000004,592.0,592.0,156.0,111.0,111.0,4.0,13.0,17.0,31.0,63.0
36,10363,78,1,2372.871428571429,2472.0,2472.0,792.0,618.0,618.0,2.0,18.0,20.0,90.0,508.0
37,10371,74,2,2396.05,704.0,704.0,196.0,151.0,151.0,0.0,1.0,1.0,13.0,137.0
37,10371,74,1,2426.6499999999996,712.0,704.0,190.0,153.0,151.0,0.0,6.0,6.0,29.0,118.0
37,10371,80,2,2431.4,600.0,592.0,186.0,131.0,129.0,0.0,9.0,9.0,15.0,107.0
37,10371,80,1,2498.15,560.0,544.0,182.0,124.0,122.0,6.0,23.0,29.0,39.0,56.0
37,10371,78,2,2387.214285714286,2608.0,2592.0,906.0,652.0,648.0,0.0,14.0,14.0,76.0,562.0
37,10371,78,1,2393.5714285714284,2672.0,2616.0,894.0,668.0,654.0,6.0,53.0,59.0,122.0,487.0
39,10397,74,2,2401.0,472.0,472.0,194.0,103.0,103.0,0.0,0.0,0.0,3.0,100.0
39,10397,74,1,2428.2,432.0,432.0,194.0,93.0,93.0,0.0,4.0,4.0,16.0,73.0
39,10397,80,2,2469.7,456.0,456.0,171.0,85.0,85.0,0.0,2.0,2.0,14.0,69.0
39,10397,78,2,2388.4666666666667,1392.0,1392.0,653.0,330.0,330.0,2.0,0.0,2.0,16.0,312.0
39,10397,78,1,2411.5,1344.0,1336.0,643.0,318.0,316.0,2.0,19.0,21.0,57.0,240.0
39,10397,80,1,2495.2,464.0,464.0,174.0,87.0,87.0,4.0,7.0,11.0,25.0,51.0
40,10405,80,2,2416.5,360.0,360.0,88.0,73.0,73.0,0.0,4.0,4.0,4.0,65.0
40,10405,80,1,2464.7,352.0,352.0,86.0,71.0,71.0,0.0,13.0,13.0,13.0,45.0
40,10405,78,2,2432.0,1064.0,1064.0,276.0,244.0,244.0,0.0,2.0,2.0,12.0,230.0
40,10405,78,1,2467.5,1080.0,1064.0,274.0,248.0,245.0,2.0,18.0,20.0,78.0,150.0
41,10413,78,2,2440.7,186.0,186.0,79.0,49.0,49.0,0.0,0.0,0.0,2.0,47.0
41,10413,78,1,2472.7,198.0,198.0,81.0,53.0,53.0,0.0,10.0,10.0,5.0,38.0
42,10421,78,2,2377.55,536.0,536.0,137.0,127.0,127.0,1.0,0.0,1.0,3.0,123.0
42,10421,78,1,2426.1000000000004,520.0,512.0,139.0,123.0,121.0,1.0,6.0,7.0,20.0,96.0
43,10439,78,2,2373.3,976.0,976.0,327.0,222.0,222.0,0.0,1.0,1.0,13.0,208.0
43,10439,78,1,2392.2333333333336,1048.0,1040.0,325.0,239.0,237.0,0.0,6.0,6.0,40.0,193.0
44,10447,80,2,2604.0333333333333,1168.0,1168.0,676.0,584.0,584.0,196.0,132.0,328.0,108.0,148.0
44,10447,80,1,2619.9666666666667,1180.0,1176.0,676.0,590.0,588.0,212.0,196.0,410.0,104.0,76.0
44,10447,78,2,2478.7333333333336,584.0,584.0,430.0,292.0,292.0,14.0,38.0,52.0,36.0,204.0
44,10447,78,1,2503.9666666666667,616.0,612.0,430.0,308.0,306.0,40.0,44.0,84.0,66.0,158.0
48,10488,78,2,2427.4,85.0,85.0,41.0,28.0,28.0,0.0,0.0,0.0,3.0,25.0
48,10488,78,1,2431.7,85.0,85.0,41.0,28.0,28.0,0.0,2.0,2.0,4.0,22.0
49,10496,80,2,2417.5,256.0,256.0,67.0,43.0,43.0,0.0,1.0,1.0,7.0,35.0
49,10496,80,1,2484.2,272.0,272.0,67.0,46.0,46.0,1.0,8.0,9.0,7.0,30.0
49,10496,78,2,2422.2,344.0,344.0,101.0,64.0,64.0,0.0,2.0,2.0,0.0,62.0
49,10496,78,1,2449.4,352.0,352.0,101.0,67.0,67.0,0.0,1.0,1.0,16.0,50.0
50,10504,80,1,2438.366666666667,504.0,488.0,230.0,110.0,108.0,0.0,15.0,15.0,13.0,81.0
50,10504,80,2,2410.0,456.0,456.0,231.0,100.0,100.0,0.0,3.0,3.0,20.0,77.0
50,10504,78,1,2385.62,928.0,896.0,504.0,226.0,219.0,4.0,4.0,8.0,22.0,195.0
50,10504,78,2,2376.54,880.0,880.0,498.0,214.0,214.0,0.0,2.0,2.0,6.0,206.0
52,10520,80,2,2490.0000000000005,696.0,696.0,155.0,145.0,145.0,10.0,18.0,28.0,31.0,86.0
52,10520,80,1,2516.5666666666666,680.0,680.0,155.0,141.0,141.0,8.0,48.0,56.0,32.0,53.0
54,10546,78,1,2445.733333333333,984.0,984.0,355.0,327.0,327.0,18.0,34.0,52.0,64.0,211.0
54,10546,80,1,2635.5,324.0,318.0,104.0,95.0,93.0,34.0,20.0,56.0,15.0,24.0
54,10546,80,2,2593.6,306.0,306.0,103.0,90.0,90.0,16.0,18.0,34.0,9.0,47.0
54,10546,78,2,2409.5333333333333,966.0,966.0,359.0,321.0,321.0,8.0,14.0,22.0,36.0,263.0
56,10561,78,2,2347.075,968.0,968.0,288.0,232.0,232.0,0.0,0.0,0.0,13.0,219.0
56,10561,78,1,2380.25,976.0,960.0,290.0,234.0,231.0,0.0,9.0,9.0,16.0,209.0
57,10579,78,1,2377.8,147.0,147.0,134.0,34.0,34.0,0.0,1.0,1.0,2.0,31.0
57,10579,78,2,2371.5,140.0,133.0,134.0,34.0,32.0,0.0,0.0,0.0,1.0,33.0
58,10587,78,1,2465.7,156.0,152.0,80.0,72.0,70.0,0.0,12.0,12.0,14.0,46.0
58,10587,80,2,2470.0,399.0,392.0,108.0,93.0,92.0,1.0,1.0,2.0,15.0,76.0
58,10587,80,1,2519.35,406.0,406.0,124.0,106.0,106.0,4.0,38.0,42.0,21.0,43.0
58,10587,78,2,2417.0,205.0,200.0,81.0,75.0,73.0,0.0,0.0,0.0,7.0,68.0
1,31617,80,2,2469.5,336.0,336.0,55.0,55.0,55.0,2.0,5.0,7.0,6.0,42.0
1,31617,80,1,2466.4,320.0,320.0,55.0,53.0,53.0,1.0,7.0,8.0,5.0,40.0
1,31617,78,1,2383.25,448.0,448.0,83.0,80.0,80.0,1.0,0.0,1.0,3.0,76.0
1,31617,78,2,2380.2,448.0,448.0,83.0,80.0,80.0,0.0,3.0,3.0,5.0,72.0
33,31625,78,2,2428.6,536.0,536.0,91.0,91.0,91.0,0.0,1.0,1.0,9.0,81.0
33,31625,78,1,2426.8,536.0,536.0,91.0,91.0,91.0,0.0,3.0,3.0,12.0,76.0
34,32276,78,1,2428.6,64.0,64.0,140.0,64.0,64.0,0.0,2.0,2.0,18.0,44.0
34,32276,74,1,2413.3,54.0,54.0,78.0,54.0,54.0,0.0,2.0,2.0,6.0,46.0
34,32276,74,2,2391.6,54.0,54.0,78.0,54.0,54.0,0.0,0.0,0.0,0.0,54.0
34,32276,78,2,2398.3,62.0,60.0,142.0,62.0,60.0,0.0,0.0,0.0,2.0,60.0
1,61119,77,1,2533.942857142857,2672.0,2672.0,682.0,668.0,668.0,162.0,242.0,404.0,142.0,122.0
1,61119,79,2,2481.5,400.0,400.0,64.0,62.0,62.0,5.0,8.0,13.0,12.0,37.0
1,61119,79,1,2485.5,400.0,392.0,64.0,62.0,60.0,3.0,18.0,21.0,9.0,31.0
1,61119,78,2,2508.0571428571425,6000.0,6000.0,1540.0,1500.0,1500.0,294.0,350.0,644.0,392.0,464.0
1,61119,78,1,2518.557142857143,5952.0,5952.0,1540.0,1488.0,1488.0,310.0,458.0,768.0,386.0,334.0
1,61119,77,2,2530.3571428571427,2664.0,2664.0,682.0,666.0,666.0,136.0,170.0,306.0,216.0,144.0
1,61119,144,1,2560.2714285714287,3760.0,3760.0,960.0,940.0,940.0,390.0,264.0,654.0,132.0,154.0
1,61119,74,2,2461.1428571428573,2760.0,2752.0,726.0,690.0,688.0,62.0,102.0,164.0,162.0,364.0
1,61119,74,1,2470.128571428571,2744.0,2744.0,726.0,686.0,686.0,86.0,148.0,234.0,134.0,318.0
1,61119,80,1,2574.4714285714285,10624.0,10624.0,2768.0,2656.0,2656.0,1142.0,852.0,1994.0,378.0,284.0
1,61119,76,1,2570.0714285714284,10944.0,10944.0,2828.0,2736.0,2736.0,1086.0,942.0,2028.0,412.0,296.0
1,61119,80,2,2565.5714285714284,10704.0,10704.0,2768.0,2676.0,2676.0,972.0,754.0,1726.0,588.0,362.0
1,61119,76,2,2581.3428571428567,11168.0,11168.0,2828.0,2792.0,2792.0,1184.0,814.0,1998.0,510.0,284.0
1,61119,144,2,2552.9,3760.0,3760.0,960.0,940.0,940.0,332.0,264.0,596.0,206.0,138.0
1,61127,80,2,2599.3571428571427,5904.0,5904.0,1548.0,1476.0,1476.0,760.0,412.0,1172.0,202.0,102.0
1,61127,80,1,2599.485714285714,5960.0,5960.0,1548.0,1490.0,1490.0,786.0,476.0,1262.0,150.0,78.0
1,61127,78,2,2544.714285714286,2512.0,2512.0,662.0,628.0,628.0,168.0,190.0,358.0,160.0,110.0
1,61127,78,1,2549.028571428571,2488.0,2488.0,662.0,622.0,622.0,164.0,248.0,412.0,122.0,88.0
1,61127,76,2,2614.871428571428,4240.0,4232.0,1110.0,1060.0,1058.0,588.0,288.0,876.0,114.0,70.0
1,61127,76,1,2591.914285714286,4072.0,4072.0,1110.0,1018.0,1018.0,478.0,366.0,844.0,116.0,58.0
1,61127,144,1,2580.2999999999997,2184.0,2176.0,554.0,546.0,544.0,237.0,192.0,430.0,66.0,50.0
1,61127,144,2,2580.7428571428572,2168.0,2168.0,554.0,542.0,542.0,256.0,122.0,378.0,96.0,68.0
1,61143,144,2,2562.5285714285715,5368.0,5360.0,1442.0,1342.0,1340.0,514.0,358.0,873.0,254.0,214.0
1,61143,144,1,2565.871428571428,5432.0,5416.0,1442.0,1358.0,1354.0,570.0,428.0,996.0,166.0,194.0
1,61143,80,1,2591.7428571428572,14816.0,14776.0,4064.0,3704.0,3694.0,1889.0,1158.0,3047.0,425.0,232.0
1,61143,78,2,2505.242857142857,8360.0,8360.0,2264.0,2090.0,2090.0,350.0,456.0,806.0,604.0,680.0
1,61143,74,1,2448.1142857142854,5856.0,5808.0,1634.0,1464.0,1452.0,70.0,250.0,320.0,405.0,738.0
1,61143,74,2,2444.7285714285717,5832.0,5824.0,1634.0,1458.0,1456.0,68.0,200.0,268.0,364.0,826.0
1,61143,78,1,2501.085714285714,8488.0,8440.0,2264.0,2122.0,2110.0,359.0,568.0,927.0,535.0,659.0
1,61143,80,2,2598.2571428571428,14768.0,14752.0,4064.0,3692.0,3688.0,1932.0,1022.0,2954.0,484.0,254.0
1,61143,76,1,2539.828571428571,2608.0,2608.0,720.0,652.0,652.0,184.0,216.0,400.0,132.0,120.0
1,61143,76,2,2554.7714285714287,2608.0,2608.0,720.0,652.0,652.0,230.0,164.0,394.0,132.0,126.0
1,61150,78,1,2517.628571428572,9272.0,9248.0,2356.0,2318.0,2312.0,419.0,744.0,1162.0,624.0,531.0
1,61150,80,1,2559.7428571428572,11352.0,11352.0,2906.0,2838.0,2838.0,930.0,1030.0,1960.0,550.0,328.0
1,61150,80,2,2560.3571428571427,11312.0,11296.0,2906.0,2828.0,2824.0,1001.0,733.0,1734.0,636.0,456.0
1,61150,144,1,2569.9714285714285,4144.0,4120.0,1064.0,1036.0,1030.0,410.0,372.0,782.0,158.0,94.0
1,61150,78,2,2509.985714285714,9216.0,9208.0,2356.0,2304.0,2302.0,418.0,560.0,978.0,636.0,688.0
1,61150,77,2,2557.957142857143,1312.0,1312.0,336.0,328.0,328.0,102.0,90.0,192.0,98.0,38.0
1,61150,144,2,2567.6142857142854,4144.0,4144.0,1064.0,1036.0,1036.0,386.0,302.0,688.0,208.0,140.0
1,61150,74,1,2505.7000000000003,2168.0,2152.0,578.0,542.0,538.0,92.0,129.0,222.0,176.0,145.0
1,61150,74,2,2496.3142857142857,2168.0,2168.0,578.0,542.0,542.0,66.0,116.0,182.0,152.0,208.0
1,61150,76,1,2590.057142857143,10528.0,10528.0,2670.0,2632.0,2632.0,1262.0,870.0,2132.0,340.0,160.0
1,61150,76,2,2610.9714285714285,10576.0,10576.0,2670.0,2644.0,2644.0,1470.0,662.0,2132.0,374.0,138.0
1,61150,77,1,2557.7714285714283,1312.0,1312.0,336.0,328.0,328.0,102.0,124.0,226.0,62.0,40.0
1,61168,74,1,2437.3142857142857,1320.0,1320.0,350.0,330.0,330.0,8.0,46.0,54.0,92.0,184.0
1,61168,78,1,2474.8,656.0,656.0,158.0,148.0,148.0,17.0,28.0,45.0,47.0,56.0
1,61168,78,2,2471.82,664.0,664.0,158.0,150.0,150.0,15.0,24.0,39.0,41.0,70.0
1,61168,74,2,2427.4285714285716,1328.0,1328.0,350.0,332.0,332.0,12.0,36.0,48.0,78.0,206.0
1,61176,76,2,2640.171428571429,91408.0,91376.0,23060.0,22852.0,22844.0,16020.0,3929.0,19950.0,1901.0,1003.0
1,61176,144,1,2566.914285714286,5592.0,5592.0,1420.0,1398.0,1398.0,516.0,464.0,980.0,240.0,178.0
1,61176,80,2,2546.828571428571,17816.0,17800.0,4564.0,4454.0,4450.0,1358.0,1090.0,2446.0,1064.0,943.0
1,61176,80,1,2548.4285714285716,17704.0,17696.0,4564.0,4426.0,4424.0,1340.0,1554.0,2896.0,816.0,714.0
1,61176,79,2,2479.1666666666665,752.0,752.0,180.0,178.0,178.0,31.0,28.0,59.0,53.0,66.0
1,61176,79,1,2481.9,752.0,752.0,180.0,178.0,178.0,22.0,48.0,70.0,53.0,55.0
1,61176,78,2,2488.2285714285717,21640.0,21624.0,5488.0,5410.0,5406.0,640.0,1058.0,1699.0,1701.0,2009.0
1,61176,144,2,2569.328571428571,5592.0,5592.0,1418.0,1398.0,1398.0,544.0,372.0,916.0,262.0,220.0
1,61176,74,1,2493.9428571428575,3264.0,3264.0,830.0,816.0,816.0,98.0,244.0,342.0,220.0,254.0
1,61176,74,2,2479.1142857142854,3248.0,3232.0,828.0,812.0,808.0,80.0,144.0,225.0,229.0,358.0
