County Code,District Code,Subgroup ID,Test Id,Mean Scale Score,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Students with Scores,Total Standard Exceeded,Total Standard Met,Total Standard Met and Above,Total Standard Nearly Met,Total Standard Not Met
1,10017,1,1,2435.4,220.0,220.0,325.0,82.0,82.0,0.0,4.0,4.0,16.0,62.0
1,10017,1,2,2412.8,255.0,255.0,328.0,95.0,95.0,0.0,0.0,0.0,4.0,91.0
3,10033,1,2,2377.8399999999997,1024.0,1024.0,286.0,240.0,240.0,2.0,16.0,18.0,46.0,176.0
3,10033,1,1,2392.2599999999998,1048.0,1048.0,286.0,246.0,246.0,4.0,36.0,40.0,42.0,164.0
4,10041,1,1,2451.5142857142855,1504.0,1504.0,394.0,376.0,376.0,20.0,74.0,94.0,114.0,168.0
4,10041,1,2,2424.157142857143,1496.0,1496.0,394.0,374.0,374.0,4.0,18.0,22.0,96.0,256.0
5,10058,1,2,2460.942857142857,2048.0,2048.0,574.0,512.0,512.0,38.0,60.0,98.0,150.0,264.0
5,10058,1,1,2495.7714285714283,2048.0,2048.0,574.0,512.0,512.0,60.0,134.0,194.0,178.0,140.0
7,10074,1,2,2384.675,1160.0,1152.0,324.0,272.0,270.0,2.0,3.0,5.0,20.0,247.0
7,10074,1,1,2418.866666666667,1136.0,1128.0,307.0,258.0,256.0,0.0,11.0,11.0,37.0,210.0
8,10082,1,2,2451.06,1432.0,1416.0,426.0,340.0,336.0,5.0,19.0,24.0,60.0,256.0
8,10082,1,1,2502.2,1432.0,1416.0,416.0,330.0,326.0,14.0,82.0,98.0,105.0,129.0
9,10090,1,2,2464.4857142857145,3328.0,3288.0,934.0,832.0,822.0,76.0,132.0,208.0,196.0,428.0
9,10090,1,1,2483.942857142857,3400.0,3360.0,938.0,850.0,840.0,145.0,212.0,358.0,204.0,288.0
10,10108,1,2,2363.1000000000004,1480.0,1480.0,446.0,351.0,351.0,0.0,0.0,0.0,16.0,335.0
10,10108,1,1,2392.15,1496.0,1496.0,442.0,355.0,355.0,0.0,18.0,18.0,31.0,306.0
11,10116,1,2,2473.4,392.0,392.0,91.0,65.0,65.0,0.0,7.0,7.0,13.0,45.0
11,10116,1,1,2509.8,376.0,376.0,91.0,61.0,61.0,6.0,12.0,18.0,15.0,28.0
12,10124,1,2,2362.1000000000004,255.0,255.0,127.0,96.0,96.0,0.0,0.0,0.0,2.0,94.0
12,10124,1,1,2397.8500000000004,260.0,260.0,127.0,98.0,98.0,0.0,0.0,0.0,14.0,84.0
13,10132,1,2,2409.55,364.0,364.0,181.0,100.0,100.0,0.0,0.0,0.0,5.0,95.0
13,10132,1,1,2454.45,448.0,448.0,184.0,124.0,124.0,0.0,15.0,15.0,32.0,77.0
14,10140,1,2,2398.6,290.0,285.0,878.0,112.0,110.0,0.0,0.0,0.0,0.0,112.0
14,10140,1,1,2453.3,300.0,300.0,876.0,116.0,116.0,0.0,10.0,10.0,25.0,81.0
15,10157,1,2,2411.5285714285715,11008.0,10888.0,3180.0,2752.0,2722.0,94.0,202.0,297.0,400.0,2055.0
15,10157,1,1,2434.1857142857143,11240.0,11104.0,3168.0,2810.0,2776.0,160.0,445.0,606.0,535.0,1670.0
16,10165,1,2,2407.3,328.0,328.0,86.0,65.0,65.0,0.0,0.0,0.0,0.0,65.0
16,10165,1,1,2450.2,368.0,368.0,86.0,72.0,72.0,0.0,2.0,2.0,10.0,60.0
19,10199,1,2,2378.1,5296.0,5120.0,2315.0,1299.0,1255.0,76.0,164.0,240.0,201.0,858.0
19,10199,1,1,2406.5800000000004,5800.0,5600.0,2331.0,1435.0,1385.0,274.0,236.0,510.0,193.0,732.0
20,10207,1,2,2417.333333333333,2064.0,2064.0,553.0,495.0,495.0,1.0,0.0,1.0,40.0,454.0
20,10207,1,1,2426.9249999999997,2096.0,2096.0,564.0,509.0,509.0,6.0,43.0,49.0,139.0,321.0
23,10231,1,2,2409.9,231.0,231.0,56.0,50.0,50.0,0.0,1.0,1.0,3.0,46.0
23,10231,1,1,2473.9,231.0,231.0,54.0,50.0,50.0,2.0,7.0,9.0,7.0,34.0
24,10249,1,2,2388.55,1896.0,1896.0,754.0,452.0,452.0,3.0,10.0,13.0,42.0,397.0
24,10249,1,1,2430.575,1944.0,1920.0,746.0,464.0,458.0,8.0,51.0,59.0,92.0,313.0
27,10272,1,2,2461.35,1928.0,1928.0,604.0,457.0,457.0,24.0,37.0,61.0,87.0,309.0
27,10272,1,1,2479.1000000000004,1968.0,1968.0,610.0,467.0,467.0,63.0,90.0,153.0,125.0,189.0
28,10280,1,2,2398.1499999999996,240.0,236.0,142.0,115.0,113.0,0.0,0.0,0.0,5.0,110.0
28,10280,1,1,2453.2,248.0,240.0,144.0,119.0,115.0,0.0,21.0,21.0,22.0,75.0
29,10298,1,2,2504.9857142857145,4608.0,4592.0,1354.0,1152.0,1148.0,174.0,272.0,447.0,331.0,373.0
29,10298,1,1,2522.4,4640.0,4640.0,1356.0,1160.0,1160.0,260.0,372.0,632.0,258.0,270.0
30,10306,1,1,2467.4999999999995,9776.0,9776.0,3456.0,2444.0,2444.0,196.0,362.0,558.0,498.0,1388.0
30,10306,1,2,2449.914285714286,9656.0,9656.0,3464.0,2414.0,2414.0,114.0,182.0,296.0,256.0,1862.0
31,10314,1,1,2497.8142857142857,1312.0,1296.0,400.0,328.0,324.0,44.0,91.0,135.0,95.0,98.0
31,10314,1,2,2497.9714285714285,1312.0,1312.0,402.0,328.0,328.0,68.0,64.0,132.0,72.0,124.0
33,10330,1,1,2367.557142857143,4704.0,4696.0,1324.0,1176.0,1174.0,18.0,78.0,96.0,234.0,846.0
33,10330,1,2,2354.6857142857143,4696.0,4688.0,1328.0,1174.0,1172.0,4.0,18.0,22.0,68.0,1084.0
34,10348,1,2,2409.1333333333337,1776.0,1768.0,702.0,418.0,416.0,0.0,12.0,12.0,38.0,368.0
34,10348,1,1,2444.4666666666667,1848.0,1824.0,696.0,438.0,432.0,2.0,30.0,32.0,88.0,317.0
35,10355,1,1,2468.4,130.0,130.0,45.0,45.0,45.0,0.0,2.0,2.0,16.0,27.0
35,10355,1,2,2422.7,130.0,130.0,45.0,45.0,45.0,0.0,0.0,0.0,8.0,37.0
36,10363,1,2,2357.1428571428573,4160.0,4152.0,1448.0,1040.0,1038.0,2.0,18.0,20.0,72.0,948.0
36,10363,1,1,2374.2714285714287,4216.0,4200.0,1434.0,1054.0,1050.0,10.0,46.0,56.0,146.0,852.0
37,10371,1,2,2389.2428571428572,4232.0,4208.0,1470.0,1058.0,1052.0,0.0,30.0,30.0,124.0,904.0
37,10371,1,1,2401.2,4280.0,4200.0,1448.0,1070.0,1050.0,12.0,96.0,108.0,214.0,748.0
38,10389,1,1,2508.3500000000004,360.0,344.0,225.0,73.0,69.0,7.0,20.0,28.0,9.0,36.0
39,10397,1,2,2368.54,2640.0,2640.0,1239.0,643.0,643.0,2.0,6.0,8.0,39.0,596.0
39,10397,1,1,2376.8166666666666,2568.0,2560.0,1245.0,635.0,633.0,6.0,36.0,42.0,112.0,481.0
40,10405,1,1,2453.75,1536.0,1520.0,416.0,365.0,362.0,2.0,35.0,37.0,102.0,226.0
40,10405,1,2,2418.25,1528.0,1528.0,418.0,363.0,363.0,0.0,7.0,7.0,17.0,339.0
41,10413,1,2,2439.6,306.0,306.0,125.0,83.0,83.0,0.0,1.0,1.0,6.0,76.0
41,10413,1,1,2491.0,300.0,300.0,127.0,81.0,81.0,0.0,20.0,20.0,11.0,50.0
42,10421,1,1,2433.1,720.0,712.0,177.0,161.0,159.0,5.0,7.0,12.0,30.0,119.0
42,10421,1,2,2383.1499999999996,720.0,720.0,175.0,161.0,161.0,6.0,2.0,8.0,7.0,146.0
43,10439,1,1,2411.65,1408.0,1392.0,485.0,328.0,324.0,4.0,21.0,25.0,53.0,249.0
43,10439,1,2,2390.625,1312.0,1312.0,487.0,306.0,306.0,0.0,5.0,5.0,26.0,275.0
44,10447,1,2,2573.066666666667,1948.0,1948.0,1230.0,974.0,974.0,256.0,184.0,440.0,152.0,382.0
44,10447,1,1,2591.0333333333333,1984.0,1976.0,1230.0,992.0,988.0,304.0,255.0,558.0,186.0,248.0
48,10488,1,1,2448.9,258.0,258.0,91.0,72.0,72.0,0.0,6.0,6.0,15.0,51.0
48,10488,1,2,2432.8,252.0,252.0,91.0,70.0,70.0,0.0,0.0,0.0,4.0,66.0
49,10496,1,2,2395.1,680.0,680.0,206.0,135.0,135.0,0.0,4.0,4.0,11.0,120.0
49,10496,1,1,2431.7,696.0,696.0,207.0,141.0,141.0,1.0,14.0,15.0,27.0,99.0
50,10504,1,1,2399.7,1640.0,1592.0,859.0,399.0,389.0,4.0,23.0,27.0,45.0,326.0
50,10504,1,2,2382.82,1544.0,1544.0,856.0,377.0,377.0,0.0,8.0,8.0,28.0,341.0
51,10512,1,1,2351.2000000000003,536.0,536.0,181.0,105.0,105.0,2.0,2.0,4.0,6.0,95.0
51,10512,1,2,2355.9,520.0,520.0,181.0,104.0,104.0,0.0,1.0,1.0,4.0,99.0
52,10520,1,1,2483.62,1000.0,984.0,257.0,237.0,233.0,13.0,67.0,81.0,51.0,104.0
52,10520,1,2,2462.2799999999997,1016.0,1016.0,257.0,241.0,241.0,13.0,31.0,44.0,49.0,148.0
54,10546,1,2,2430.2000000000003,1362.0,1362.0,511.0,453.0,453.0,26.0,38.0,64.0,50.0,339.0
54,10546,1,1,2464.8,1404.0,1398.0,509.0,467.0,465.0,58.0,64.0,122.0,88.0,256.0
56,10561,1,1,2391.825,1360.0,1344.0,401.0,319.0,316.0,0.0,11.0,11.0,33.0,275.0
56,10561,1,2,2355.95,1360.0,1360.0,399.0,319.0,319.0,0.0,0.0,0.0,25.0,294.0
57,10579,1,2,2372.8,240.0,224.0,167.0,46.0,42.0,0.0,0.0,0.0,2.0,44.0
57,10579,1,1,2384.1,248.0,248.0,167.0,46.0,46.0,0.0,1.0,1.0,4.0,41.0
58,10587,1,2,2430.433333333333,910.0,896.0,289.0,254.0,250.0,2.0,2.0,4.0,32.0,218.0
58,10587,1,1,2490.25,896.0,889.0,274.0,241.0,239.0,6.0,56.0,62.0,47.0,132.0
1,31617,1,1,2383.566666666667,1016.0,1016.0,260.0,244.0,244.0,4.0,16.0,20.0,25.0,199.0
1,31617,1,2,2404.6428571428573,1024.0,1024.0,272.0,256.0,256.0,2.0,18.0,20.0,30.0,206.0
33,31625,1,1,2400.2000000000003,1016.0,1016.0,256.0,254.0,254.0,10.0,24.0,34.0,40.0,180.0
33,31625,1,2,2407.285714285714,1016.0,1016.0,256.0,254.0,254.0,6.0,10.0,16.0,48.0,190.0
34,32276,1,1,2436.1,148.0,148.0,250.0,148.0,148.0,0.0,10.0,10.0,32.0,106.0
34,32276,1,2,2405.4,140.0,138.0,250.0,140.0,138.0,0.0,0.0,0.0,8.0,132.0
1,61119,1,2,2549.4428571428575,37640.0,37632.0,9658.0,9410.0,9408.0,2997.0,2476.0,5473.0,2116.0,1820.0
1,61119,1,1,2551.4999999999995,37280.0,37272.0,9658.0,9320.0,9318.0,3194.0,2950.0,6146.0,1612.0,1562.0
1,61127,1,2,2588.3571428571427,15576.0,15568.0,4078.0,3894.0,3892.0,1806.0,1070.0,2878.0,612.0,404.0
1,61127,1,1,2583.5,15424.0,15416.0,4078.0,3856.0,3854.0,1695.0,1364.0,3060.0,496.0,300.0
1,61143,1,1,2540.8142857142852,37736.0,37576.0,10332.0,9434.0,9394.0,3111.0,2653.0,5764.0,1698.0,1973.0
1,61143,1,2,2544.371428571428,37576.0,37544.0,10332.0,9394.0,9386.0,3136.0,2242.0,5379.0,1872.0,2144.0
1,61150,1,1,2555.4857142857145,39248.0,39184.0,10036.0,9812.0,9796.0,3249.0,3310.0,6558.0,1938.0,1314.0
1,61150,1,2,2559.171428571429,39208.0,39184.0,10036.0,9802.0,9796.0,3475.0,2493.0,5971.0,2139.0,1692.0
1,61168,1,2,2452.7571428571428,2808.0,2808.0,736.0,702.0,702.0,52.0,98.0,150.0,190.0,362.0
1,61168,1,1,2459.957142857143,2752.0,2752.0,736.0,688.0,688.0,48.0,126.0,174.0,196.0,318.0
1,61176,1,1,2580.871428571428,147328.0,147264.0,37504.0,36832.0,36816.0,17183.0,10489.0,27672.0,4935.0,4225.0
1,61176,1,2,2594.8857142857146,148168.0,148088.0,37502.0,37042.0,37022.0,19246.0,7235.0,26483.0,5638.0,4922.0
1,61192,1,2,2466.6142857142854,88520.0,88440.0,22594.0,22130.0,22110.0,1973.0,3249.0,5225.0,6136.0,10770.0
1,61192,1,1,2482.2142857142853,87400.0,87328.0,22596.0,21850.0,21832.0,2395.0,5390.0,7786.0,5570.0,8492.0
1,61200,1,1,2539.1428571428573,55536.0,55512.0,14202.0,13884.0,13878.0,3889.0,4603.0,8495.0,2772.0,2617.0
1,61200,1,2,2530.9857142857145,55496.0,55448.0,14206.0,13874.0,13862.0,3191.0,3693.0,6884.0,3702.0,3286.0
1,61234,1,1,2505.1428571428573,24056.0,24056.0,6194.0,6014.0,6014.0,980.0,1756.0,2736.0,1546.0,1732.0
1,61234,1,2,2501.8857142857137,24296.0,24280.0,6194.0,6074.0,6070.0,954.0,1274.0,2229.0,1717.0,2128.0
1,61242,1,1,2512.1428571428573,48504.0,48504.0,12444.0,12126.0,12126.0,2316.0,3698.0,6014.0,2742.0,3370.0
1,61242,1,2,2508.5714285714284,48752.0,48744.0,12442.0,12188.0,12186.0,2186.0,2610.0,4797.0,3356.0,4034.0
1,61259,1,2,2456.9285714285716,144104.0,143520.0,37778.0,36026.0,35880.0,4050.0,5132.0,9182.0,8363.0,18477.0
1,61259,1,1,2467.914285714286,141576.0,141176.0,37780.0,35394.0,35294.0,4218.0,7059.0,11278.0,7779.0,16339.0
1,61275,1,1,2602.5714285714284,11904.0,11896.0,3048.0,2976.0,2974.0,1598.0,962.0,2560.0,300.0,116.0
